p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
0,4.93743422944333,0.989,0.089,0,c1,Col8a1,0.9,0.8901
0,6.3583065626534,0.961,0.041,0,c1,Stra6,0.92,0.88412
0,6.17869368895676,0.951,0.048,0,c1,Mfrp,0.903,0.858753
0,5.39166053556012,0.968,0.088,0,c1,Rdh5,0.88,0.85184
0,5.00456909381924,0.972,0.101,0,c1,Itgb8,0.871,0.846612
0,5.42732808133256,0.946,0.062,0,c1,Gja1,0.884,0.836264
0,4.08575494168871,0.969,0.114,0,c1,Car14,0.855,0.828495
0,4.17464692469537,0.997,0.169,0,c1,Dct,0.828,0.825516
0,4.30018884063344,0.956,0.098,0,c1,Thbs1,0.858,0.820248
0,5.16711791583253,0.967,0.12,0,c1,Rgr,0.847,0.819049
0,6.00601541729681,0.922,0.044,0,c1,Cpxm2,0.878,0.809516
0,3.46385797935739,0.987,0.175,0,c1,Timp3,0.812,0.801444
0,4.50273099297409,0.954,0.115,0,c1,Col9a3,0.839,0.800406
0,5.40605276400947,0.929,0.068,0,c1,Cltrn,0.861,0.799869
0,4.30341861292357,0.957,0.125,0,c1,Atp1b1,0.832,0.796224
0,4.44356073915951,0.933,0.087,0,c1,Cfh,0.846,0.789318
0,6.00783884246495,0.906,0.051,0,c1,Rpe65,0.855,0.77463
0,4.18086522498227,0.991,0.214,0,c1,Trf,0.777,0.770007
0,4.79768280471959,0.917,0.085,0,c1,Pltp,0.832,0.762944
0,3.90047216846936,0.978,0.198,0,c1,Rbp1,0.78,0.76284
0,5.08996828636314,0.902,0.059,0,c1,Col8a2,0.843,0.760386
0,5.51552997411362,0.898,0.054,0,c1,A2m,0.844,0.757912
0,5.19813551800893,0.882,0.038,0,c1,Tyr,0.844,0.744408
0,6.41455033800031,0.877,0.029,0,c1,Slc16a8,0.848,0.743696
0,3.60899348262185,0.944,0.157,0,c1,Rlbp1,0.787,0.742928
0,4.23028382101132,0.945,0.16,0,c1,Abhd2,0.785,0.741825
0,4.05399105615872,0.908,0.094,0,c1,Spon1,0.814,0.739112
0,4.51560116524042,0.909,0.096,0,c1,Col18a1,0.813,0.739017
