"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ide",2.4674822314321e-17,-1.00953769985995,0.174,0.339,7.95269523190567e-13
"Mt1",7.32286397660101e-14,-0.113313072393362,0.94,0.966,2.3601590596585e-09
"Serpina3n",6.90113845066134e-12,-1.96646715117377,0.032,0.115,2.22423692264815e-07
"C4b",1.66494159709591e-11,-1.71669943953904,0.037,0.121,5.36610676744013e-07
"Slc7a5",3.05558059667471e-10,-0.291159439136221,0.647,0.755,9.84813626308259e-06
"Adamtsl4",1.18943915834229e-09,-0.469924905628587,0.374,0.516,3.83356240733718e-05
"Rho",5.53483905456842e-09,-0.373158109180813,0.476,0.619,0.00017838786272874
"Cdk5rap3",8.13313342228092e-08,-0.876853702435598,0.107,0.193,0.00262130890200114
"St6galnac2",1.31112490676232e-07,-0.362411912277229,0.42,0.536,0.00422575557449495
"Mt2",6.30065963466275e-07,-0.140038229782669,0.85,0.906,0.020307026002518
"H3f3a",7.27838908381662e-07,-0.380351714884174,0.389,0.494,0.023458248017141
"Pcolce",8.62322899188449e-07,-0.206459126569491,0.703,0.784,0.0277926670408437
"Got1",1.20018560161777e-06,-0.42165861381682,0.256,0.365,0.0386819819401406
"Psma4",2.09227199270699e-06,-0.436000960378674,0.273,0.375,0.0674339263249462
"Polr2c",2.53892902007204e-06,-1.00624417638888,0.05,0.109,0.0818296823169218
"Vps26b",3.65592537941973e-06,-0.601903310169672,0.122,0.199,0.117830474978698
"C4a",3.90281093269903e-06,-1.78776689165087,0.011,0.047,0.12578759636089
"Cstb",4.1276892385101e-06,-0.435353107856095,0.278,0.375,0.133035424157181
"Slc35a5",4.73599097986338e-06,-0.471791740219432,0.219,0.312,0.152640989280997
"Thbs1",5.08610346860509e-06,0.0787601591102001,0.964,0.953,0.163925114793142
"Taldo1",5.35945731251338e-06,-0.233845440571481,0.623,0.732,0.172735309182306
"Gpc3",6.71707044446613e-06,0.0721920217656054,0.889,0.892,0.216491180425143
"Map2k2",7.82423612343742e-06,-0.473849030574791,0.237,0.327,0.252175130258388
"Chrnb4",8.74394963448436e-06,-0.406746974403898,0.268,0.365,0.281817496719431
"Use1",9.79828415698476e-06,-0.502806064825773,0.155,0.239,0.315798698379619
"Patj",9.90650116688236e-06,-0.606573861229929,0.144,0.221,0.319286532608618
"Tmem214",1.0081047010266e-05,-0.618721033199153,0.133,0.209,0.324912145140872
"Svbp",1.01758507978893e-05,-0.937344248536241,0.072,0.132,0.327967671215971
"Cystm1",1.04528185756786e-05,-0.324646570888394,0.398,0.506,0.336894342694122
"Oat",1.10489337000366e-05,-0.402556554319692,0.291,0.382,0.356107133152179
"Kdm4a",1.16243290166635e-05,-1.06357056480889,0.057,0.112,0.374652124207065
"Amer2",1.1851426985679e-05,-0.93626628877345,0.076,0.136,0.381971491748434
"Osmr",1.19390938013199e-05,-0.229051086835159,0.603,0.708,0.38479699321654
"Mcur1",1.20228267696837e-05,-0.642712778239663,0.089,0.156,0.387495706786907
"Cox7c",1.22964776153656e-05,-0.308007494376679,0.428,0.54,0.396315473543232
"Eef2",1.37636473442705e-05,-0.397476288438581,0.304,0.396,0.443602353905838
"Ubc",1.5017579076798e-05,-0.299645811337034,0.422,0.524,0.4840165736452
"Cox16",1.69764472375221e-05,-0.679001572678506,0.092,0.157,0.547150894465337
"Zfp36l1",1.85264476580368e-05,-0.600652164075306,0.114,0.185,0.597107408018525
"Txlna",1.97543887251454e-05,-0.876167658028771,0.074,0.133,0.636683948611437
"Tmem229b",2.01913994484737e-05,-0.214841199730352,0.621,0.717,0.650768804224309
"Ap2b1",2.1121592468452e-05,-0.485098767057534,0.161,0.241,0.680748925258207
"Psmd3",2.16409649135776e-05,-0.504082415819423,0.161,0.24,0.697488299164606
"Nnt",2.40035679689752e-05,-1.0311628058982,0.06,0.113,0.773634995640071
"Sparc",2.40934872803768e-05,0.038633875193272,0.958,0.966,0.776533095046544
"Cirbp",2.55755136413506e-05,-0.435481396093147,0.205,0.291,0.824298804660729
"Rasgrp3",2.58418060020219e-05,-0.347271404894841,0.335,0.436,0.832881407445167
"Tsc1",2.84148824895325e-05,-1.20171315789188,0.038,0.084,0.915811662637632
"Rhbdl1",2.96042850490411e-05,-0.816692496885723,0.073,0.13,0.954146107130596
"Ubl4a",2.99798001571133e-05,-0.616558164846662,0.13,0.199,0.966248959063761
"Gnat1",3.1903209728843e-05,-0.419154735395438,0.243,0.33,1
"Tbc1d9",3.55195066816735e-05,-1.28419451119971,0.017,0.052,1
"Gucy2e",3.84923329752946e-05,-1.11940470710295,0.024,0.063,1
"Ubr5",3.88219827874069e-05,-0.47420303440014,0.137,0.21,1
"Snx21",4.37280637147661e-05,-0.967858682971478,0.042,0.088,1
"Cspg5",4.39612761237277e-05,-0.145992787231761,0.84,0.918,1
"Prodh",4.46423721845395e-05,-0.368138631568535,0.272,0.362,1
"Unc119",4.46484418050417e-05,-0.255566199681924,0.517,0.615,1
"Arhgef3",4.5128073418424e-05,-0.366588385282602,0.242,0.33,1
"Nacc1",4.91235032558878e-05,-0.495787471498639,0.132,0.202,1
"A2m",5.43489213640497e-05,-0.118695915120801,0.877,0.911,1
"Slc9a1",5.59587404221661e-05,-0.567160397732433,0.113,0.178,1
"Slc35f6",5.8055125303029e-05,-0.586301197042094,0.139,0.209,1
"Osbp2",6.00040836099838e-05,-0.350569514783351,0.302,0.393,1
"Iah1",6.05373856320859e-05,-0.837562647969241,0.043,0.089,1
"Stard7",6.21717949866515e-05,-0.530794933332278,0.149,0.219,1
"Cry2",6.28629231015809e-05,-0.67557217374737,0.092,0.151,1
"Syf2",6.3242290418644e-05,-0.556183679873651,0.125,0.193,1
"Sfr1",6.42722491606934e-05,-0.610462280209643,0.132,0.199,1
"Glyr1",6.67286391657188e-05,-0.409264728663351,0.197,0.278,1
"Sipa1l3",6.88335625899791e-05,-0.399787400366632,0.234,0.314,1
"Aldh2",7.45063145900657e-05,-0.227381731049629,0.561,0.655,1
"Tmem176b",7.49821719694201e-05,-0.31486977408431,0.317,0.41,1
"Nt5c2",7.70595663036993e-05,-0.58343405887651,0.123,0.188,1
