"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ide",1.68462468472509e-106,-0.821111567485258,0.414,0.645,5.42954535886895e-102
"Srp54b",2.62866314995589e-93,0.465652780639585,0.764,0.671,8.47218133230784e-89
"Fgfbp3",3.09496742961239e-39,-1.0819141947958,0.098,0.213,9.97508002564073e-35
"Edn2",1.16733025993543e-38,-1.1928720620336,0.103,0.215,3.76230542777188e-34
"Crb1",2.34275708078167e-38,0.183039390757146,0.853,0.829,7.55070607135931e-34
"Ptgds",3.8418045888476e-35,-0.85725216802542,0.121,0.239,1.23821361898558e-30
"Ip6k2",1.74672486736302e-33,-0.262005396347723,0.73,0.802,5.62969424751101e-29
"Ttr",1.5559733540373e-30,-0.779594574796848,0.164,0.28,5.01490212006223e-26
"Cebpd",1.85496783242168e-29,-1.07816405879112,0.087,0.179,5.97856132389508e-25
"Bcl3",2.11101826703885e-29,-1.40937613129015,0.044,0.117,6.80381187466621e-25
"Antxr2",2.34034559608354e-28,-0.86771828074794,0.146,0.249,7.54293385617726e-24
"Pcolce",3.06403169288128e-26,-0.861131534382727,0.13,0.226,9.87537414615637e-22
"Lrrc2",1.61664739719924e-22,-0.428294885992012,0.408,0.514,5.21045456117316e-18
"Guca1a",2.0058683941671e-22,-0.30847290099357,0.552,0.653,6.46491383440057e-18
"Epb41",2.63189489807547e-22,0.0434883236824832,0.984,0.981,8.48259725649724e-18
"Mt1",3.09623915024432e-22,-1.01499986130264,0.065,0.136,9.97917878123745e-18
"Rbm17",1.01235731682935e-21,-0.448004278619173,0.376,0.485,3.26282763214099e-17
"Dct",1.30914214980726e-21,-0.83412590219234,0.078,0.153,4.21936514882881e-17
"Clu",9.84611723435016e-21,-0.538406405140425,0.213,0.313,3.17340358463106e-16
"Tnnt2",8.04990038054839e-20,-1.13851986407517,0.052,0.112,2.59448289265075e-15
"Trf",1.93668016286064e-19,-0.95885718047888,0.066,0.13,6.24192016489983e-15
"Fgf2",2.2015101943361e-19,-0.531264691814697,0.248,0.343,7.09546735634526e-15
"Unc119",2.6496706557463e-19,-0.0592485812681152,0.976,0.98,8.53988852347034e-15
"Myo5b",3.31781467979531e-19,-0.953981962136321,0.06,0.123,1.06933167129803e-14
"Dnajb1",5.52765222690463e-19,-0.409236391535958,0.309,0.416,1.78156231273136e-14
"Usp2",1.92868367442115e-18,-0.326694541026631,0.445,0.55,6.21614748265935e-14
"Ubap1l",2.96281304891579e-18,-0.147815964471138,0.804,0.849,9.54914645665561e-14
"Rsrp1",8.5867269698681e-18,-0.116558459377971,0.873,0.905,2.76750210238849e-13
"Tulp1",9.37897267400867e-18,-0.0462713030451285,0.982,0.984,3.02284289283299e-13
"Hsp90ab1",1.06980537271909e-17,-0.501819920698885,0.227,0.319,3.44798271627364e-13
"Gadd45b",1.12389980791203e-17,-0.790485967901723,0.095,0.164,3.62232908090047e-13
"Lad1",1.38537267333012e-17,-0.679998958281093,0.116,0.191,4.46505612614297e-13
"Abca4",1.689279649348e-17,0.056266171394945,0.972,0.969,5.4445483098486e-13
"Klhl29",7.97189077140085e-17,-0.525674302610003,0.205,0.291,2.56934039562249e-12
"Guca1b",1.71783972910318e-16,-0.0743989888916339,0.953,0.969,5.53659744689955e-12
"Supt5",4.80953285337883e-16,-0.481437273852984,0.196,0.282,1.550112438644e-11
"Atp8a2",7.24588217227123e-16,0.0950274787281409,0.9,0.888,2.33534782412302e-11
"Dpf3",1.1492407552599e-15,-0.147015377175044,0.79,0.84,3.70400295420267e-11
"Sgk1",3.20600251024337e-15,-0.449093415036643,0.189,0.273,1.03329460905144e-10
"Hnrnpdl",5.80708373425113e-15,-0.414263811670955,0.236,0.324,1.87162308754914e-10
"Gucy2f",7.58737220051748e-15,0.0952854234615587,0.85,0.854,2.44541006022678e-10
"Rbp1",1.06444303691081e-14,-0.914591641930279,0.053,0.103,3.43069990796354e-10
"Apoe",1.5474490626147e-14,-0.525139124137881,0.166,0.242,4.98742832880718e-10
"Sap30",1.74091025759039e-14,-0.498248973157355,0.155,0.23,5.61095376021383e-10
"Cplx4",4.60248245247082e-14,-0.0872935375944475,0.919,0.945,1.48338009443134e-09
"Atf4",4.78769300311634e-14,-0.277805156330754,0.457,0.544,1.5430734549044e-09
"Pbxip1",5.16535448899164e-14,-0.96820307025842,0.052,0.1,1.66479375180201e-09
"Impg1",5.64054232885818e-14,0.0716378517234966,0.911,0.915,1.81794679259099e-09
"Mef2c",9.18345468107786e-14,-0.482378168994074,0.154,0.226,2.9598274437114e-09
"Rfx2",9.28737694304342e-14,-0.442928891684892,0.192,0.27,2.99332158874289e-09
"Alkbh5",1.07546093047173e-13,-0.232713877725251,0.559,0.647,3.46621057891038e-09
"Mtdh",1.19868625725986e-13,-0.269002002517925,0.466,0.564,3.86336580714853e-09
"Rlbp1",1.3549860613794e-13,-0.885876507416635,0.055,0.103,4.3671200758258e-09
"Rorb",1.51683794445732e-13,0.0910610978317294,0.857,0.853,4.88876869498595e-09
"Slc6a6",1.56659427427011e-13,0.0670567322947071,0.953,0.944,5.04913334597258e-09
"Dctn2",1.81409645003794e-13,-0.275687928482003,0.429,0.523,5.8468328584723e-09
"Gnb3",1.91371332229404e-13,-0.268945326526858,0.555,0.619,6.16789803775369e-09
"Glul",2.21627556950319e-13,-0.43217774980833,0.199,0.277,7.14305616050878e-09
"Tpi1",2.66083664012612e-13,-0.315786422667884,0.356,0.449,8.57587649112648e-09
"Slc25a37",3.41364945883636e-13,-0.388617648643207,0.299,0.38,1.10021922058296e-08
"St8sia1",7.30932730024636e-13,-0.256428997918324,0.479,0.577,2.3557961888694e-08
"Pnrc1",8.46395026609719e-13,-0.230096397326343,0.546,0.634,2.72793117076312e-08
"Hk1",9.17627841715927e-13,-0.1055165617475,0.877,0.914,2.95751453385043e-08
"Tubb4b",9.41356448026612e-13,-0.301978935150364,0.337,0.429,3.03399183198977e-08
"Eif4e3",9.90421781172762e-13,-0.682647866848947,0.084,0.138,3.19212940071981e-08
"Rgr",1.19940780213139e-12,-0.560019081010114,0.059,0.107,3.86569134626947e-08
"Nr2e3",1.21541337672483e-12,0.0522815479802152,0.948,0.947,3.91727731318414e-08
"Agrn",2.1205328218499e-12,-0.463085988903719,0.234,0.307,6.83447728482223e-08
"Pacsin1",2.19865318536669e-12,-0.27353427358664,0.42,0.511,7.08625921643685e-08
"Zfp365",2.28686781996283e-12,-0.369769497121935,0.229,0.306,7.37057498374019e-08
"Mid1ip1",2.61788742417302e-12,-0.534089210390682,0.127,0.189,8.43745116810966e-08
"Pgam1",2.84123312117186e-12,-0.227058304820497,0.528,0.628,9.15729434953691e-08
"Atg101",3.06241433902287e-12,-0.456015244528295,0.127,0.191,9.8701614146707e-08
"Nfkbia",3.39032281935647e-12,-0.470515845979665,0.155,0.222,1.09270104467859e-07
"Sncb",3.68837752485046e-12,-0.192025928530866,0.638,0.71,1.1887640762593e-07
"Agtpbp1",5.33641780226169e-12,-0.148911546148444,0.82,0.874,1.71992745766894e-07
"Zscan25",5.66080318896026e-12,-0.980038572949902,0.037,0.076,1.82447686780189e-07
"Stip1",5.75051216809159e-12,-0.293405401622185,0.351,0.437,1.85339007177592e-07
"Plpp2",6.37537655596198e-12,0.160167111861658,0.729,0.7,2.05478386398655e-07
"Pitpnm3",6.95739067780158e-12,0.0571996771729113,0.92,0.919,2.24236701545545e-07
"Pmel",9.62838381065412e-12,-0.752293387563717,0.047,0.089,3.10322810217382e-07
"Spidr",9.68625203818913e-12,-0.750566525768094,0.059,0.104,3.12187903190836e-07
"Cdkn2aip",1.09073359381602e-11,-0.379984942209069,0.233,0.307,3.51543437286903e-07
"Gngt1",1.56702711443473e-11,-0.0491316293806432,0.982,0.987,5.05052838982313e-07
"Ipo5",1.59579255253773e-11,-0.2223739035805,0.56,0.634,5.1432393968291e-07
"Ubr7",1.68021964799086e-11,-0.398240703783186,0.172,0.24,5.41534792547453e-07
"Syne1",1.94278645393133e-11,-0.270038533747744,0.394,0.485,6.26160074102067e-07
"Nim1k",2.21288260196042e-11,-0.252813793745086,0.404,0.5,7.13212062611845e-07
"Nudc",2.25180083588931e-11,-0.258691982694859,0.415,0.497,7.25755409407123e-07
"Snx3",2.33273118860665e-11,-0.266198430927675,0.381,0.47,7.51839262087924e-07
"Wdr31",2.48757357702853e-11,0.144596939676451,0.741,0.73,8.01744963876295e-07
"Pfdn2",2.70754590628197e-11,-0.304459237036572,0.273,0.353,8.7264204559468e-07
"Rpe65",3.33258784727506e-11,-1.43568851887772,0.016,0.043,1.07409306317675e-06
"Tuba1a",3.37506296131737e-11,-0.210104628844323,0.58,0.665,1.08778279243259e-06
"Duxbl2",3.47888045502926e-11,0.503121054393976,0.303,0.244,1.12124317065593e-06
"Bbs9",3.75445118037569e-11,0.0774039421353381,0.85,0.859,1.21005961543508e-06
"Them6",3.79815410018097e-11,-0.506454422377213,0.133,0.192,1.22414506648833e-06
