"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Srp54b",6.30292697266366e-12,0.581714678301654,0.856,0.732,2.0314333632895e-07
"Ide",1.73958180575558e-09,-0.599423590859381,0.674,0.817,5.60667215995025e-05
"Ttr",2.31540595081565e-08,-1.22889572065224,0.181,0.408,0.000746255337947884
"Tmem254a",1.3883424860213e-06,0.609900569197441,0.688,0.513,0.0447462783244665
"Rsrp1",2.09999895166102e-06,-0.23264065312259,0.953,0.971,0.0676829662120347
"Emp2",2.29010120741603e-06,-0.84780699324549,0.391,0.556,0.0738099619150187
"Tmem254c",2.73316633088503e-06,0.573884405228169,0.716,0.529,0.0880899508444245
"Auts2",6.01630253322814e-06,-0.510320652504711,0.595,0.748,0.193905430645943
"Zbtb16",1.7305594834237e-05,-0.593982027006153,0.563,0.706,0.557759321507458
"Myl12b",1.75607666971301e-05,0.289190401782969,0.86,0.856,0.565983510648505
"Fkbp5",1.85054159210044e-05,-0.608331705403654,0.507,0.663,0.596429555133971
"Ddit4",1.87115344899385e-05,-0.499831478097288,0.586,0.748,0.603072756610717
"Ptgds",2.51185453793156e-05,-0.800605472887363,0.214,0.382,0.809570717575341
"Cdc42",3.22473832242178e-05,0.190126598691307,0.949,0.928,1
"Tuba1b",4.92281199276966e-05,0.274872641818525,0.902,0.863,1
"Rab27b",6.16441100340295e-05,0.882918330275889,0.4,0.248,1
"Taldo1",0.000121903956809407,0.371193189509612,0.795,0.641,1
"Spock2",0.000123907911281047,-0.729515112773536,0.353,0.5,1
"Dnase1l1",0.000135600721652581,0.653313689537946,0.484,0.32,1
"Gskip",0.000147539247858659,0.554959301034885,0.577,0.431,1
"P4ha3",0.000155366717346946,1.24574697146284,0.181,0.072,1
"S100a11",0.000248439402512015,0.168390140537147,0.967,0.958,1
"Shoc2",0.000256250340105816,0.410846867807916,0.74,0.588,1
"Mcur1",0.000313969539267042,0.402346923776059,0.735,0.588,1
"Rhoa",0.000350039479477411,0.174767460815096,0.94,0.922,1
"Dpp3",0.00035798276775971,0.619934318400742,0.493,0.346,1
"Foxo3",0.000366596090150618,-0.375778761171498,0.702,0.781,1
"Tent4a",0.000401751973772399,-0.50117981042073,0.484,0.614,1
"Map1b",0.000422800434553994,0.377097665714582,0.763,0.627,1
"Fam57b",0.000426381439473944,-0.841441410508946,0.177,0.317,1
"Micos13",0.000482256926169473,0.451213884342492,0.688,0.536,1
"Mrgprf",0.000496245399349615,0.641124972757825,0.391,0.252,1
"Adsl",0.000529535297731226,0.535566040816917,0.516,0.382,1
"Snap25",0.000616357438531731,-1.0901719182345,0.112,0.225,1
"Prtg",0.000643674499497096,-1.6701212392101,0.028,0.108,1
"Rp1",0.000661958160456055,-0.858092781271949,0.2,0.333,1
"Lrp5",0.000699662091709057,-0.248601929629032,0.823,0.886,1
"Ehd2",0.000706711636320138,0.223451971208692,0.935,0.889,1
"Ndufb2",0.00073313922479226,0.567351042495861,0.516,0.386,1
"Ccl19",0.000761645749579293,-0.755120898538545,0.2,0.34,1
"Midn",0.000828815349672602,-0.303372787264861,0.758,0.85,1
"Aff1",0.000844064207209108,-0.370553482140832,0.66,0.748,1
"Pdia6",0.00084849930893955,0.233524145039033,0.907,0.886,1
"Tle1",0.00090121580890563,-0.357262185332767,0.66,0.748,1
"Herc2",0.00099176812473999,0.35736620199239,0.786,0.663,1
"Wnt2",0.00102955155425726,1.14451678051916,0.209,0.108,1
"Hif3a",0.00106160172293799,-0.763392257406779,0.274,0.399,1
"Spin1",0.00114410571237325,0.229269394467095,0.912,0.866,1
"Zfp185",0.00115041856863044,-1.12725454545872,0.088,0.193,1
"Btbd19",0.00115597281319135,-0.866057868940821,0.2,0.32,1
"Polr2e",0.00116528344285405,0.378032782680613,0.693,0.611,1
"Per1",0.00122770593153479,-0.163358689251162,0.949,0.964,1
"Ift52",0.00123298623001049,0.498478701345361,0.553,0.431,1
"Adam22",0.00132714809487979,-0.68366843055153,0.312,0.428,1
"Nup107",0.0013350101948826,0.666300057650776,0.344,0.219,1
"Brk1",0.0013697495058423,0.223258047134062,0.907,0.863,1
"Tcf3",0.00142172993192733,-0.646156225447478,0.321,0.431,1
"Fam114a1",0.00143471840067035,0.27051400189337,0.865,0.735,1
"Tti1",0.00144398398870059,0.631761052587143,0.372,0.248,1
"Zdhhc23",0.00149916695762672,-2.57600318942751,0,0.046,1
"Pyroxd2",0.00155293664855722,0.655966200178191,0.391,0.268,1
"Akt1",0.00156010209245162,0.136372323905984,0.935,0.931,1
"Cstf3",0.00157436128088987,-0.672510304900049,0.242,0.366,1
"Anxa2",0.00159090546213197,0.137277995803852,0.958,0.961,1
"Adrb2",0.00163573155061562,-0.938415075594468,0.144,0.252,1
"Nufip2",0.00165796201835445,-0.245866995964971,0.781,0.863,1
"Adgra2",0.00166073159560539,-0.170061120831017,0.916,0.938,1
"Pcp4",0.00169599102047745,-1.50732410482812,0.037,0.114,1
"Calr",0.00173550893185511,0.226394710586416,0.94,0.863,1
"Ccdc90b",0.00174621940204854,0.3013136368395,0.749,0.667,1
"Adamts3",0.00174824644530393,-1.20962959849118,0.116,0.216,1
"Kdm2a",0.00176128861719506,-0.193792691186442,0.916,0.925,1
"Zmat2",0.00181462264605828,0.391893959616353,0.698,0.605,1
"Caap1",0.00183124116145931,0.708397537736474,0.367,0.242,1
"Smim11",0.00187862978198112,0.412461635158384,0.679,0.552,1
"Nbas",0.00194581136572123,0.46961193301889,0.563,0.454,1
"Lcmt2",0.00198618479456888,0.781538958897718,0.33,0.209,1
"Pcsk7",0.00209212317809386,-0.648220501719322,0.223,0.346,1
"Rbm22",0.0021021365976656,-0.473863476824664,0.488,0.582,1
"Rtn4r",0.00210856140945136,1.54024581330238,0.112,0.042,1
"Ppp1r7",0.00214738234732122,0.478906355894977,0.553,0.418,1
"Cplx3",0.00217923352268801,-1.36151453490939,0.033,0.105,1
"Crem",0.00219002368014762,0.472301195232299,0.614,0.503,1
"Snx8",0.00219219979227644,0.648097002961756,0.33,0.206,1
"Atp5b",0.00220985459085673,0.185290805989717,0.86,0.856,1
"Fam71a",0.0022231047142901,-1.05184351811207,0.065,0.154,1
"Bbs5",0.00226609135918554,-0.745382087102691,0.153,0.268,1
"Gzmm",0.00229643200790127,-1.1077222624354,0.06,0.147,1
"Sdc4",0.00230429294928399,-0.259940908910147,0.791,0.827,1
"Cyp2j6",0.00235920082488861,0.592248695842978,0.381,0.258,1
"Samd5",0.0024702064126218,-0.851138504415045,0.279,0.376,1
"Trim69",0.00250518249705786,-1.41880595678303,0.047,0.124,1
"Pnrc1",0.00256276036206777,-0.165527246126348,0.93,0.958,1
"Ddx20",0.0026372547536503,0.820671871555882,0.298,0.186,1
"Grin3a",0.00273755215277898,0.68653296294859,0.381,0.278,1
"Cxxc4",0.00274944572983755,0.467919740311848,0.512,0.373,1
"Glmn",0.00278308507457097,-0.721537442849764,0.214,0.333,1
"Maff",0.00282270800295712,-0.488277152748935,0.405,0.503,1
"Angptl2",0.00288150166566083,0.249910196150755,0.893,0.797,1
"Ndufc2",0.00288724371902617,0.2863830077089,0.823,0.716,1
"Dtnb",0.00297612903679626,-0.45296935728825,0.367,0.49,1
"Zbtb48",0.00299790589849518,-1.1256447548125,0.065,0.15,1
"Clptm1l",0.00300633749198196,0.229692654094531,0.888,0.814,1
"Bub1b",0.0030265045319834,-1.69739252572464,0.023,0.085,1
"Flvcr1",0.00302744110348182,-0.66668501959861,0.256,0.379,1
"Klf13",0.00309290486022904,-0.295520357355339,0.744,0.794,1
"Rtl8b",0.00313394273667337,0.558811672016324,0.381,0.261,1
"Cd47",0.00324345434801934,0.142062209092661,0.94,0.925,1
"Tmem63a",0.00324481706498998,0.324338465299195,0.716,0.621,1
"Slc52a3",0.00330060605076825,1.11682087386851,0.084,0.026,1
"Kcnip4",0.00333810602854061,-1.75273858605677,0.023,0.085,1
"Srbd1",0.00335049022860606,0.60091243451882,0.33,0.206,1
"Emp3",0.00335567973682947,0.188328653897939,0.912,0.863,1
"Slc22a23",0.00337951272704835,-1.23165968084107,0.065,0.147,1
"Thumpd1",0.00339068271541409,0.442956398324957,0.488,0.356,1
"Ccdc12",0.0034047708600141,0.392166814303692,0.614,0.5,1
"Alg2",0.00342034316466221,-0.665470134201833,0.27,0.376,1
"Commd1",0.0034397636219237,0.269012094105516,0.809,0.719,1
"Ptchd1",0.00346607867753943,2.38320313674822,0.037,0.003,1
"Osr1",0.00352341560591185,0.650046609603129,0.377,0.258,1
"Gng10",0.00354836267254811,0.306637782213319,0.786,0.693,1
"Fus",0.00356807287713179,-0.15407998898378,0.944,0.971,1
"Clmp",0.00359720277791804,-0.264285751631158,0.744,0.807,1
"Sos1",0.00362914566684766,0.492306814783902,0.474,0.363,1
"Ehd1",0.00374189726154599,0.354766484846402,0.66,0.539,1
"Gpx8",0.00384976592277673,0.225502906729525,0.888,0.807,1
"Zfp263",0.00386262784683038,-0.672992958965105,0.27,0.369,1
"Akr1a1",0.00395152948396562,0.0607223686612706,0.981,0.997,1
"Nfasc",0.00395802904843845,-0.960916460278612,0.121,0.219,1
"Dalrd3",0.00398676613856414,-0.581945654871103,0.381,0.474,1
"Neurl1a",0.0040701458508821,-1.16856622310843,0.028,0.092,1
"Pdia3",0.00415350998313305,0.145953816233236,0.935,0.925,1
"Adgre5",0.00416488830557732,-0.282171376076868,0.702,0.797,1
"Tcf4",0.00416727394437255,-0.162472721845789,0.912,0.931,1
"Gltp",0.00419463946566134,0.514460545107576,0.498,0.386,1
"Hps5",0.00428128539057662,-0.585053081897972,0.34,0.431,1
"BC005624",0.00434757900679627,-0.349081710444693,0.512,0.608,1
"Epc1",0.00435868340516063,-0.194222202587058,0.819,0.879,1
"Tsc22d1",0.00439473736415312,-0.12559700908435,0.972,0.971,1
"Psph",0.00444155993651532,0.606663733851703,0.293,0.18,1
"Dct",0.00445613106464632,-0.382894022945058,0.14,0.245,1
"Cks2",0.00452639117644685,-0.96634011888524,0.065,0.144,1
"Smim41",0.0045652070239652,-1.28344208799204,0.033,0.098,1
"Cib1",0.00458677954801473,0.577341641234976,0.419,0.307,1
"Spata1",0.00478382096031297,-0.86277730585851,0.126,0.222,1
"Vsig10l",0.00480245207369206,-1.01405300955743,0.065,0.144,1
"Rabif",0.00487542748134409,0.457081175332752,0.526,0.422,1
"Cbx7",0.00492158855743182,-0.48675861268746,0.381,0.497,1
"Zfp747",0.00492375568434588,-0.830442743534142,0.06,0.141,1
"Pcca",0.00494066928383755,-0.672734833156693,0.251,0.353,1
"Plekhb1",0.00495313120380688,-0.677486717301174,0.237,0.346,1
"Top3a",0.00500855873784298,-0.977643678432778,0.079,0.163,1
"Npb",0.0050193472659561,-2.10785665395122,0,0.036,1
"Cfap100",0.0050193472659561,-2.66450848788734,0,0.036,1
"Naaladl2",0.00506882365439432,-0.576997568438289,0.302,0.402,1
"Slc16a9",0.00508781442566153,0.364425833447193,0.684,0.562,1
"Ammecr1l",0.00529845636568009,0.340320540460916,0.619,0.493,1
"Epha5",0.00533551603034588,-1.51621172763442,0.014,0.065,1
"Ddb2",0.00541223518898975,-0.726946114491064,0.223,0.324,1
"Icam4",0.00545408197333696,-0.688186933105413,0.181,0.288,1
"Eya2",0.00548026452816545,-0.216614045444786,0.767,0.81,1
"Tpcn1",0.00552888328841544,-0.182313807992906,0.893,0.899,1
"Bsdc1",0.00555257560377918,-0.342597957318843,0.553,0.654,1
"Ptgr1",0.00556780798398123,0.590681526805126,0.391,0.281,1
"Hnrnpdl",0.00558162570236465,-0.466821834824103,0.391,0.48,1
"Elovl2",0.00559922805331452,-1.86040182719908,0.009,0.056,1
"Ireb2",0.00563562643878533,0.375232287261662,0.702,0.578,1
"Mknk2",0.00569263378397,-0.229962258865854,0.8,0.859,1
"Nhlrc2",0.00578531982247188,-0.454178309099948,0.405,0.503,1
"Opn1sw",0.00579854745952219,-0.932833660012989,0.074,0.154,1
"Abcc10",0.00580850720511664,0.75016662046735,0.233,0.141,1
"Tmem41b",0.00582968430370329,0.352768536392336,0.595,0.507,1
"Ndufb11",0.00595494651756513,0.176687374081939,0.898,0.866,1
"Zfp653",0.00595712029455587,-0.513176519633378,0.312,0.415,1
"Sumo2",0.0059610428548852,0.261070758312312,0.847,0.745,1
"Nudt7",0.00599032553669807,0.573209192737226,0.358,0.248,1
"Pde1c",0.00599536592787166,-1.0516087603509,0.102,0.186,1
"Rabl6",0.00599953921061635,-0.307009010564346,0.595,0.709,1
"Fmc1",0.00610896064927279,0.518325623056682,0.484,0.389,1
"Batf",0.00611873994779577,1.3806078206244,0.126,0.059,1
"Nrep",0.00615416866525411,0.26870013152516,0.814,0.725,1
"Bmpr2",0.00621720627108937,0.123206323514038,0.967,0.951,1
"Kcnj8",0.00624387913596141,0.306644799400508,0.428,0.288,1
"Rbpms",0.00641896806955147,-0.235193880857141,0.781,0.833,1
"P3h4",0.00643755193052269,0.324135080077933,0.66,0.556,1
"Brd2",0.00648704720913499,-0.218510342786965,0.842,0.899,1
"Atp7a",0.00649006374914279,-0.332719476526483,0.609,0.68,1
"Sdhc",0.00653192796697299,0.223015030997023,0.912,0.84,1
"Eml1",0.00656731496329694,0.297610086393646,0.693,0.598,1
"Dynlt1f",0.00661788726579029,0.430405298141772,0.46,0.35,1
"Ppp2r5c",0.006682576263616,-0.228256384867416,0.753,0.807,1
"Srsf2",0.00668473795025733,-0.187982421640593,0.86,0.882,1
"Slc22a17",0.00672347988742932,-0.427805977463224,0.53,0.605,1
"Cnksr3",0.00674887694735006,0.44986798366766,0.451,0.333,1
"Cep128",0.00675739639705579,-0.908521603315076,0.116,0.206,1
"Rabep2",0.0067862216251629,0.572620279718239,0.33,0.219,1
"Rsph10b",0.00682030895149727,-1.52432079586295,0.023,0.078,1
"Tob1",0.00686545003677303,-0.248343126839021,0.809,0.804,1
"H2afx",0.00687239481891796,-0.495914550040477,0.456,0.539,1
"Dync1i2",0.00687406506827857,0.227361523382491,0.819,0.771,1
"S100a13",0.00687852108317317,0.299896105952054,0.721,0.641,1
"Tcf7",0.00688113919718038,-1.07513710041042,0.037,0.101,1
"Kcnn3",0.00700810267056202,1.02114707773078,0.126,0.059,1
"Btbd1",0.00706469143688713,0.257065494828612,0.791,0.745,1
"Limch1",0.0071211918820115,0.686724802044129,0.284,0.183,1
"Sac3d1",0.00713360701798855,-0.526884536002289,0.237,0.353,1
"Tmtc1",0.007153603157856,0.208003664293016,0.888,0.837,1
"Vamp1",0.00720720229953599,-0.742953015287638,0.126,0.216,1
"Trappc8",0.00721145768092239,-0.300256400752575,0.605,0.703,1
"Osbp2",0.00724882209742533,-0.659913746503519,0.098,0.186,1
"Fam117a",0.00725223476533091,0.473720039835594,0.428,0.314,1
"Insr",0.00729494411990286,-0.318298672277794,0.572,0.693,1
"Ostc",0.0073256397622879,0.234322187112878,0.856,0.778,1
"Neurl1b",0.00738841948367898,0.72417815354263,0.228,0.137,1
"Trip10",0.00739967114518519,0.239235704701702,0.791,0.739,1
"Akt2",0.007443370255607,0.231383103803053,0.856,0.778,1
"Sirt1",0.00745504161129744,-0.426414334437246,0.516,0.601,1
"Foxl2",0.00749231399994815,2.50275545332318,0.033,0.003,1
"Mrrf",0.007493713526633,0.687171896370447,0.302,0.209,1
"Cct6b",0.00752841410013358,-2.08395934687174,0,0.033,1
"Cpeb3",0.00757136935003155,-0.599846436460307,0.153,0.252,1
"Tenm3",0.00764634403414064,-0.239290682455981,0.749,0.775,1
"Bco2",0.00768042583066164,1.88925306256863,0.033,0.003,1
"Rex1bd",0.00769275452250196,0.416213508551011,0.507,0.379,1
"Nat9",0.00774324292249429,-0.605452897187474,0.172,0.268,1
"Cntn4",0.00782570700299081,-2.19941259816855,0.009,0.052,1
"Armcx1",0.0078390359177186,0.354708024305074,0.6,0.5,1
"Suox",0.00785884400713844,0.712589929147694,0.298,0.212,1
"Plxna2",0.00788567327490518,-0.535808667660597,0.419,0.513,1
"Hmbox1",0.0079109826046889,-0.331290553684354,0.544,0.657,1
"Epb41",0.00791232804500636,-0.380187059931862,0.493,0.614,1
"Setd2",0.00801596889052663,-0.242726828329098,0.74,0.765,1
"Mgll",0.00802597861826621,0.810652447341109,0.307,0.216,1
"Tulp1",0.00818213366555214,-0.683511380771366,0.251,0.356,1
"Ghitm",0.00821844807122818,0.26097301073081,0.744,0.676,1
"Sept8",0.00822665362837156,0.166565351102334,0.926,0.902,1
"Desi2",0.00834071278574748,0.252479691478403,0.744,0.673,1
"Emc8",0.0084068139097014,-0.518460253799445,0.27,0.366,1
"Stt3b",0.00848622065583104,0.16624408804302,0.93,0.879,1
"Lypd2",0.00851109249784754,1.1806839106884,0.153,0.082,1
"Ran",0.0085588197492128,0.77402636388843,0.214,0.131,1
"Tsc22d2",0.00862084139142404,-0.267150850581749,0.665,0.765,1
"Ccz1",0.00878109167368247,-0.386251347025426,0.423,0.523,1
"Creg1",0.00878408931258433,-0.330749534778325,0.577,0.67,1
"Rac3",0.00880793468323613,0.714005332463302,0.284,0.193,1
"Sumo1",0.00889193445356654,0.214072268394414,0.87,0.794,1
"Hnrnpl",0.00889436673388493,-0.217095567935352,0.795,0.892,1
"Maneal",0.00893716716052509,-1.34461222778438,0.019,0.069,1
"Psap",0.00899645003036054,-0.101977235775533,0.963,0.977,1
"Eps8l1",0.00901414636664565,1.11181503451299,0.13,0.065,1
"Ano4",0.0090206286768993,-1.08482601936945,0.037,0.098,1
"Ptp4a2",0.00908212754465822,0.213759899967223,0.856,0.797,1
"Cd68",0.00914283843440009,-0.605295433123043,0.293,0.389,1
"Irf2bp2",0.00922275954310858,-0.128378191530755,0.944,0.967,1
"Ctsl",0.00928578972175866,-0.116166484441051,0.944,0.961,1
"Creb5",0.00936824724830648,0.71120081337502,0.195,0.111,1
"Exoc8",0.00940420975862067,0.668699005374965,0.326,0.239,1
"Fam135a",0.00941142840940437,-0.370988056946628,0.488,0.592,1
"Anp32a",0.00952941827410213,0.192429407204096,0.907,0.846,1
"Ier5l",0.00953507612083547,-0.383030803783627,0.535,0.608,1
"Nckap5l",0.00957144922761816,-0.840261066415255,0.186,0.271,1
"Sncb",0.00970133970128301,-0.655883571534592,0.116,0.206,1
"Samd11",0.00971151833923283,-0.781436539867691,0.135,0.225,1
"Rab9",0.00976435490125666,0.277588836994477,0.726,0.634,1
"Bnip3l",0.0097669153446309,0.304374019727626,0.688,0.598,1
"Abcb10",0.0097745457800318,-0.607499622580222,0.177,0.271,1
"Map4k3",0.00979007815319641,-0.291236452984413,0.753,0.827,1
"Eif6",0.00980858241060645,-0.423367029807533,0.33,0.458,1
"Fgfbp3",0.00984771005423026,-0.719397031886459,0.149,0.239,1
"Nme2",0.00994121075165521,0.345490535697345,0.642,0.592,1
"Wnt6",0.00994591792865048,-0.969494268789146,0.056,0.124,1
"Tmem267",0.00998666816095373,-1.01075603290646,0.098,0.173,1
"Fstl1",0.010077908470305,0.105533321578113,1,0.987,1
"Apoe",0.0100920405118851,-0.311096755456811,0.679,0.788,1
"Mapk8ip2",0.0101070168240674,-1.47135597915309,0.028,0.082,1
"Hdac11",0.0101730130065801,-0.392423877301076,0.302,0.415,1
"E2f6",0.0102022295313108,0.429331242196275,0.465,0.356,1
"Crtc2",0.0102269414656886,-0.331451616091996,0.53,0.637,1
"Kif13a",0.0102457382181338,0.221929750029113,0.763,0.748,1
"Zfp248",0.0102785831425405,0.604908333452503,0.274,0.18,1
"Cdh3",0.0103733821880601,-1.20808781212056,0.023,0.075,1
"Snapin",0.0104157624121644,0.29330734798761,0.735,0.644,1
"Bclaf1",0.0105859032451402,-0.219019736644911,0.809,0.869,1
"Prss23",0.0107430008013046,0.375010246360804,0.619,0.546,1
"Exosc10",0.0107741688109382,0.378357246279854,0.623,0.523,1
"Prdx2",0.0108265459559769,0.189039215299032,0.851,0.804,1
"Dsc2",0.0108455585653166,-1.25089802545613,0.028,0.082,1
"Gas6",0.010887020756765,-0.237959737124932,0.679,0.771,1
"Hectd1",0.0112090733418249,-0.287485325045829,0.526,0.647,1
"Itga10",0.0112255165963154,-0.530178501210016,0.349,0.444,1
"Hist1h1e",0.0112549679214445,0.280065055035764,0.786,0.739,1
"Slc38a8",0.0113156701921574,-1.93777603456329,0,0.029,1
"Susd1",0.0113156701921574,-2.0233269046233,0,0.029,1
"Tspan8",0.0113156701921574,-2.63862634636132,0,0.029,1
"Hspa4l",0.0113203963364844,-0.71367253213634,0.209,0.297,1
"Plac9a",0.0113550901860784,0.314877373256832,0.647,0.559,1
"Impdh1",0.0113806272817016,-0.512532926696922,0.372,0.471,1
"Fhod3",0.0113982907378466,-1.2106671870703,0.033,0.088,1
"Dap",0.011398953144312,0.234829054768321,0.809,0.739,1
"Procr",0.0114700477409478,0.523728271994639,0.34,0.232,1
"Dand5",0.0114902511561253,-0.833346995736485,0.121,0.203,1
"Tlk2",0.0114932429429103,-0.233775908525797,0.688,0.755,1
"Mt3",0.0116245651618705,-1.24193508086423,0.033,0.088,1
"Sv2c",0.0116781689961964,1.79802716819458,0.056,0.016,1
"Hspa1l",0.011791909317154,2.14159237861168,0.037,0.007,1
"Uchl3",0.0118115557832598,0.53067248254596,0.316,0.222,1
"Aste1",0.0118263511470805,-0.595492147676837,0.163,0.258,1
"Pag1",0.0118384336544582,-0.574899510003016,0.149,0.242,1
"Tulp3",0.011858996556509,0.349549880223226,0.493,0.376,1
"Itga9",0.0119533525269959,0.446260057627535,0.535,0.461,1
"Hsbp1",0.0119537056073465,0.137365527813297,0.935,0.908,1
"Slc35a3",0.0119657654575214,-0.346376845183979,0.4,0.493,1
"Trabd2b",0.0119791038374417,0.276686981705463,0.693,0.559,1
"Fam167a",0.0120441030088155,1.95165078725755,0.037,0.007,1
"Akr1c18",0.0121292237215846,2.50925298216251,0.037,0.007,1
"Grk1",0.012147860358768,-0.631375055465643,0.195,0.288,1
"Pcdhb20",0.0121796091594446,-0.841828811654293,0.163,0.248,1
"Tada3",0.0122227291504649,0.462057423001498,0.395,0.288,1
"Tradd",0.0122374391597892,0.52358489916105,0.358,0.258,1
"Tmem150c",0.0123692197547375,-1.74292411932966,0.023,0.072,1
"Blmh",0.0125250116758478,0.217206433625356,0.781,0.732,1
"Dnajc14",0.0125715318921009,-0.266747688495757,0.693,0.752,1
"Ano1",0.0126889070612408,0.357744696067894,0.623,0.552,1
"Tinf2",0.0127086343224835,-0.54687108311035,0.233,0.327,1
"Trim8",0.0127665681857887,-0.278852682319647,0.674,0.758,1
"Usp13",0.0127669196170402,-1.20399153718199,0.051,0.111,1
"Serf1",0.0127823611556275,0.473616129757309,0.423,0.324,1
