_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.172824362477562,GO:0006366,M1,1,0,GO Biological Processes,19,transcription by RNA polymerase II,19_GO:0009987 cellular process,-7.172824362477562,5.29,7.56086574414537,21160,400,160,16,10.0,2.3717082451262845,11911|12608|13653|14281|14282|16476|16477|16600|18708|22433|30941|50794|53417|56200|68991|80859,Atf4|Cebpb|Egr1|Fos|Fosb|Jun|Junb|Klf4|Pik3r1|Xbp1|Usp21|Klf13|Hif3a|Ddx21|Ssu72|Nfkbiz,-2.929067221447632,0,1,1,1,-7.172824362477562,5.29,
1,-6.793739333439392,GO:0006351,M1,1,0,GO Biological Processes,19,DNA-templated transcription,19_GO:0009987 cellular process,-6.793739333439392,4.392066420664206,6.982945243241676,21160,542,160,18,11.25,2.498046111463918,11911|12608|12611|13653|14281|14282|16476|16477|16600|18708|22433|30941|50794|53417|56200|68991|70556|80859,Atf4|Cebpb|Cebpg|Egr1|Fos|Fosb|Jun|Junb|Klf4|Pik3r1|Xbp1|Usp21|Klf13|Hif3a|Ddx21|Ssu72|Slc25a33|Nfkbiz,-2.8510121880734434,0,1,0,0,-7.172824362477562,5.29,
1,-3.359819424132306,GO:0030099,M1,1,0,GO Biological Processes,19,myeloid cell differentiation,19_GO:0032502 developmental process,-3.359819424132306,3.6634349030470914,4.455253021499449,21160,361,160,10,6.25,1.9136638615493577,12608|12611|14281|16476|16477|16889|18708|22695|107817|665155,Cebpb|Cebpg|Fos|Jun|Junb|Lipa|Pik3r1|Zfp36|Jmjd6|Srp54b,-0.34148295289386216,0,1,0,0,-7.172824362477562,5.29,
1,-2.3708438398361094,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0032502 developmental process,-2.3708438398361094,2.6934826883910388,3.314054820070445,21160,491,160,10,6.25,1.9136638615493577,12611|13653|14281|16476|16477|16889|18708|80859|107817|665155,Cebpg|Egr1|Fos|Jun|Junb|Lipa|Pik3r1|Nfkbiz|Jmjd6|Srp54b,-0.18568058791550518,0,1,0,0,-7.172824362477562,5.29,
1,-5.489017717875015,mmu04668,M1,1,0,KEGG Pathway,24,TNF signaling pathway - Mus musculus (house mouse),,-5.489017717875015,8.966101694915254,7.574278244103246,21160,118,160,8,5.0,1.7230060940112777,11911|12608|14281|16476|16477|18035|18708|22329,Atf4|Cebpb|Fos|Jun|Junb|Nfkbia|Pik3r1|Vcam1,-1.7223818315647474,0,2,1,1,-5.489017717875015,16.53125,
1,-4.113566241314087,GO:1902895,M1,1,0,GO Biological Processes,19,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-4.113566241314087,11.400862068965518,6.92340022249489,21160,58,160,5,3.125,1.3755325673171102,13018|13653|14281|16476|16600,Ctcf|Egr1|Fos|Jun|Klf4,-0.6311464058897082,0,2,0,0,-5.489017717875015,16.53125,
1,-4.096752296535994,R-MMU-2454202,M1,1,0,Reactome Gene Sets,6,Fc epsilon receptor (FCERI) signaling,,-4.096752296535994,8.441489361702128,6.31147207965066,21160,94,160,6,3.75,1.5019518550872395,14281|16476|18035|18708|19173|224105,Fos|Jun|Nfkbia|Pik3r1|Psmb5|Pak2,-0.6311464058897082,0,2,0,0,-5.489017717875015,16.53125,
1,-4.017786503452319,GO:0071276,M1,1,0,GO Biological Processes,19,cellular response to cadmium ion,19_GO:0050896 response to stimulus,-4.017786503452319,16.53125,7.674500499911064,21160,32,160,4,2.5,1.2342761036332186,14281|16476|17748|17750,Fos|Jun|Mt1|Mt2,-0.619127402436646,0,2,0,0,-5.489017717875015,16.53125,
1,-3.944837392989126,mmu05166,M1,1,0,KEGG Pathway,24,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),,-3.944837392989126,4.818825910931174,5.269483897821645,21160,247,160,9,5.625,1.8215024275992606,11911|12330|13653|14281|16476|18035|18186|18708|22695,Atf4|Canx|Egr1|Fos|Jun|Nfkbia|Nrp1|Pik3r1|Zfp36,-0.6041702389511395,0,2,0,0,-5.489017717875015,16.53125,
1,-3.876128263538727,GO:2000630,M1,1,0,GO Biological Processes,19,positive regulation of miRNA metabolic process,19_GO:0048518 positive regulation of biological process,-3.876128263538727,10.173076923076923,6.465168706078595,21160,65,160,5,3.125,1.3755325673171102,13018|13653|14281|16476|16600,Ctcf|Egr1|Fos|Jun|Klf4,-0.5866136319481219,0,2,0,0,-5.489017717875015,16.53125,
