_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.8,GO:0046395,carboxylic acid catabolic process,M1,1,0
1,-2.3,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-2.6,GO:2000765,regulation of cytoplasmic translation,M1,1,0
1,-9.8,R-MMU-5607764,CLEC7A (Dectin-1) signaling,M1,1,0
1,-12,R-MMU-8941858,Regulation of RUNX3 expression and activity,M1,1,0
1,-9.1,R-MMU-69202,Cyclin E associated events during G1/S transition,M1,1,0
1,-11,R-MMU-4641257,Degradation of AXIN,M1,1,0
1,-2.4,R-MMU-5696395,Formation of Incision Complex in GG-NER,M1,1,0
1,-2.2,WP5051,Na K ATPase Src signaling,M1,1,0
1,-2,GO:0170038,proteinogenic amino acid biosynthetic process,M1,1,0
1,-2.7,GO:0016042,lipid catabolic process,M1,1,0
1,-8.8,R-MMU-453279,Mitotic G1 phase and G1/S transition,M1,1,0
1,-3.3,mmu04540,Gap junction - Mus musculus (house mouse),M1,1,0
1,-2.2,mmu04921,Oxytocin signaling pathway - Mus musculus (house mouse),M1,1,0
1,-8.6,R-MMU-9006925,Intracellular signaling by second messengers,M1,1,0
1,-2.1,GO:0010977,negative regulation of neuron projection development,M1,1,0
1,-13,R-MMU-71291,Metabolism of amino acids and derivatives,M1,1,0
1,-2.5,GO:0001894,tissue homeostasis,M1,1,0
1,-2,mmu05200,Pathways in cancer - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0009895,negative regulation of catabolic process,M1,1,0
1,-6,R-MMU-201681,TCF dependent signaling in response to WNT,M1,1,0
1,-2,GO:0170034,L-amino acid biosynthetic process,M1,1,0
1,-2.5,GO:2001234,negative regulation of apoptotic signaling pathway,M1,1,0
1,-2.1,GO:0170039,proteinogenic amino acid metabolic process,M1,1,0
1,-2.1,R-MMU-9609507,Protein localization,M1,1,0
1,-13,R-MMU-9711123,Cellular response to chemical stress,M1,1,0
1,-3.4,R-MMU-9707564,Cytoprotection by HMOX1,M1,1,0
1,-7.1,R-MMU-446652,Interleukin-1 family signaling,M1,1,0
1,-11,R-MMU-5610780,Degradation of GLI1 by the proteasome,M1,1,0
1,-3.2,mmu04727,GABAergic synapse - Mus musculus (house mouse),M1,1,0
1,-10,R-MMU-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,M1,1,0
1,-2.4,R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-3,WP523,Regulation of actin cytoskeleton,M1,1,0
1,-3.7,WP310,mRNA processing,M1,1,0
1,-2,GO:0006635,fatty acid beta-oxidation,M1,1,0
1,-2.3,mmu03320,PPAR signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.2,R-MMU-9013405,RHOD GTPase cycle,M1,1,0
1,-2.7,R-MMU-166520,Signaling by NTRKs,M1,1,0
1,-2.3,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-9.2,R-MMU-202403,TCR signaling,M1,1,0
1,-5,GO:0006511,ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.2,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-7.2,R-MMU-2467813,Separation of Sister Chromatids,M1,1,0
1,-10,R-MMU-8878159,Transcriptional regulation by RUNX3,M1,1,0
1,-2,GO:0009064,glutamine family amino acid metabolic process,M1,1,0
1,-8.4,R-MMU-453274,Mitotic G2-G2/M phases,M1,1,0
1,-3.8,R-MMU-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.9,mmu04120,Ubiquitin mediated proteolysis - Mus musculus (house mouse),M1,1,0
1,-3.1,WP662,Amino acid metabolism,M1,1,0
1,-8.4,R-MMU-453276,Regulation of mitotic cell cycle,M1,1,0
1,-2.1,GO:0033209,tumor necrosis factor-mediated signaling pathway,M1,1,0
1,-11,R-MMU-4086400,PCP/CE pathway,M1,1,0
1,-2.6,R-MMU-9646399,Aggrephagy,M1,1,0
1,-12,R-MMU-5610785,GLI3 is processed to GLI3R by the proteasome,M1,1,0
1,-2.3,GO:0010661,positive regulation of muscle cell apoptotic process,M1,1,0
1,-2.1,GO:0030834,regulation of actin filament depolymerization,M1,1,0
1,-8,R-MMU-5689603,UCH proteinases,M1,1,0
1,-9.1,R-MMU-983705,Signaling by the B Cell Receptor (BCR),M1,1,0
1,-12,R-MMU-8939902,Regulation of RUNX2 expression and activity,M1,1,0
1,-3.4,GO:0015980,energy derivation by oxidation of organic compounds,M1,1,0
1,-11,R-MMU-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,M1,1,0
1,-2.7,mmu04810,Regulation of actin cytoskeleton - Mus musculus (house mouse),M1,1,0
1,-5.3,R-MMU-9612973,Autophagy,M1,1,0
1,-10,R-MMU-9759194,Nuclear events mediated by NFE2L2,M1,1,0
1,-9.2,R-MMU-69017,CDK-mediated phosphorylation and removal of Cdc6,M1,1,0
1,-2.1,R-MMU-8866654,E3 ubiquitin ligases ubiquitinate target proteins,M1,1,0
1,-2.2,GO:0000165,MAPK cascade,M1,1,0
1,-2.2,GO:0046173,polyol biosynthetic process,M1,1,0
1,-11,R-MMU-69610,p53-Independent DNA Damage Response,M1,1,0
1,-5.3,R-MMU-1632852,Macroautophagy,M1,1,0
1,-5.6,GO:0019941,modification-dependent protein catabolic process,M1,1,0
1,-5.6,R-MMU-1640170,Cell Cycle,M1,1,0
1,-8.2,R-MMU-69052,Switching of origins to a post-replicative state,M1,1,0
1,-9.8,R-MMU-69563,p53-Dependent G1 DNA Damage Response,M1,1,0
1,-2.8,GO:0061061,muscle structure development,M1,1,0
1,-2.1,mmu04916,Melanogenesis - Mus musculus (house mouse),M1,1,0
1,-7,R-MMU-1236975,Antigen processing-Cross presentation,M1,1,0
1,-5.1,R-MMU-983169,Class I MHC mediated antigen processing & presentation,M1,1,0
1,-9,R-MMU-382556,ABC-family proteins mediated transport,M1,1,0
1,-3.2,GO:0009065,glutamine family amino acid catabolic process,M1,1,0
1,-9.1,R-MMU-2262752,Cellular responses to stress,M1,1,0
1,-2.1,GO:1990748,cellular detoxification,M1,1,0
1,-2.2,GO:0046903,secretion,M1,1,0
1,-2.7,R-MMU-5218859,Regulated Necrosis,M1,1,0
1,-2.4,GO:0071398,cellular response to fatty acid,M1,1,0
1,-2.8,GO:0046777,protein autophosphorylation,M1,1,0
1,-11,R-MMU-69613,p53-Independent G1/S DNA damage checkpoint,M1,1,0
1,-2.8,GO:2001233,regulation of apoptotic signaling pathway,M1,1,0
1,-7.8,R-MMU-9020702,Interleukin-1 signaling,M1,1,0
1,-2.6,GO:0032940,secretion by cell,M1,1,0
1,-4.2,R-MMU-110314,Recognition of DNA damage by PCNA-containing replication complex,M1,1,0
1,-2.9,R-MMU-5653656,Vesicle-mediated transport,M1,1,0
1,-9,R-MMU-69656,Cyclin A:Cdk2-associated events at S phase entry,M1,1,0
1,-2,mmu04714,Thermogenesis - Mus musculus (house mouse),M1,1,0
1,-3.2,mmu04260,Cardiac muscle contraction - Mus musculus (house mouse),M1,1,0
1,-11,R-MMU-1234174,Cellular response to hypoxia,M1,1,0
1,-11,R-MMU-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,M1,1,0
1,-8.3,mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),M1,1,0
1,-7.5,R-MMU-5683057,MAPK family signaling cascades,M1,1,0
1,-2.3,R-MMU-3700989,Transcriptional Regulation by TP53,M1,1,0
1,-5,R-MMU-5688426,Deubiquitination,M1,1,0
