_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-6.2577160846820705,GO:0009987,cellular process,M1,1,GO:0044282 small molecule catabolic process
1,-4.846956311320774,GO:0016032,viral process,M1,1,GO:0019081 viral translation
1,-3.943438826024928,GO:0048518,positive regulation of biological process,M1,1,GO:0045727 positive regulation of translation
1,-3.348592655685486,GO:0051179,localization,M1,1,"GO:0030970 retrograde protein transport, ER to cytosol"
1,-3.210424649284348,GO:0050789,regulation of biological process,M1,1,GO:0006417 regulation of translation
1,-3.096876771526437,GO:0050896,response to stimulus,M1,1,GO:0036503 ERAD pathway
1,-2.850610334919727,GO:0048519,negative regulation of biological process,M1,1,GO:1902532 negative regulation of intracellular signal transduction
1,-2.8106979696706973,GO:0065007,biological regulation,M1,1,GO:0050821 protein stabilization
1,-2.7885030045402917,GO:0032502,developmental process,M1,1,GO:0061061 muscle structure development
1,-2.490995504562161,GO:0042592,homeostatic process,M1,1,GO:0001894 tissue homeostasis
1,-2.2266937893138756,GO:0032501,multicellular organismal process,M1,1,GO:0007626 locomotory behavior
1,-2.143159818873098,GO:0098754,detoxification,M1,1,GO:1990748 cellular detoxification
