_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-12.8453186400658,R-MMU-71291,M1,1,0,Reactome Gene Sets,6,Metabolism of amino acids and derivatives,,-12.8453186400658,10.421648835745753,12.49641114612631,21160,227,161,18,11.180124223602485,2.4835073934505183,12035|14718|17463|18242|18245|18263|19125|19167|19181|20539|26440|26441|26443|56551|56752|57296|67089|110391,Bcat1|Got1|Psmd7|Oat|Oaz1|Odc1|Prodh|Psma3|Psmc2|Slc7a5|Psma1|Psma4|Psma6|Txn2|Aldh9a1|Psmd8|Psmc6|Qdpr,-9.043748984032494,0,1,1,1,-12.8453186400658,35.52123552123552,
1,-12.844173118523745,R-MMU-350562,M1,1,0,Reactome Gene Sets,6,Regulation of ornithine decarboxylase (ODC),,-12.844173118523745,35.52123552123552,18.40223590728376,21160,37,161,10,6.211180124223603,1.9021714526618785,17463|18245|18263|19167|19181|26440|26441|26443|57296|67089,Psmd7|Oaz1|Odc1|Psma3|Psmc2|Psma1|Psma4|Psma6|Psmd8|Psmc6,-9.043748984032494,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-12.693034219689743,R-MMU-8948751,M1,1,0,Reactome Gene Sets,6,Regulation of PTEN stability and activity,,-12.693034219689743,27.277628032345014,16.771505194008736,21160,53,161,11,6.832298136645963,1.9883972693725782,17463|19167|19181|19211|22190|26440|26441|26443|56424|57296|67089,Psmd7|Psma3|Psmc2|Pten|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6,-9.043748984032494,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-12.68544613373446,R-MMU-9711123,M1,1,0,Reactome Gene Sets,6,Cellular response to chemical stress,,-12.68544613373446,14.081632653061225,13.59786771880001,21160,140,161,15,9.316770186335404,2.290779264640698,12858|12861|12867|14950|17463|19167|19181|22190|26440|26441|26443|56551|57296|67089|69590,Cox5a|Cox6a1|Cox7c|H13|Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Txn2|Psmd8|Psmc6|Gpx8,-9.043748984032494,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-12.466423209114874,R-MMU-8939902,M1,1,0,Reactome Gene Sets,6,Regulation of RUNX2 expression and activity,,-12.466423209114874,32.857142857142854,17.658388290279618,21160,40,161,10,6.211180124223603,1.9021714526618785,17463|19167|19181|22190|26440|26441|26443|56424|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6,-8.921636072420963,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-12.232555553152633,R-MMU-8941858,M1,1,0,Reactome Gene Sets,6,Regulation of RUNX3 expression and activity,,-12.232555553152633,31.29251700680272,17.20659011519219,21160,42,161,10,6.211180124223603,1.9021714526618785,17463|19167|19181|20779|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Src|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.766949662506347,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-12.120427891804267,R-MMU-5610785,M1,1,0,Reactome Gene Sets,6,GLI3 is processed to GLI3R by the proteasome,,-12.120427891804267,30.564784053156146,16.99237287527216,21160,43,161,10,6.211180124223603,1.9021714526618785,17463|18747|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Prkaca|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.745218518383911,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-12.085885672421897,R-MMU-6807070,M1,1,0,Reactome Gene Sets,6,PTEN Regulation,,-12.085885672421897,19.96383363471971,14.786155825282782,21160,79,161,12,7.453416149068323,2.069878927379615,17463|19167|19181|19211|22190|26440|26441|26443|56424|57296|67089|68441,Psmd7|Psma3|Psmc2|Pten|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6|Rraga,-8.745218518383911,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.904963260512568,R-MMU-351202,M1,1,0,Reactome Gene Sets,6,Metabolism of polyamines,,-11.904963260512568,29.206349206349206,16.5851266722948,21160,45,161,10,6.211180124223603,1.9021714526618785,17463|18245|18263|19167|19181|26440|26441|26443|57296|67089,Psmd7|Oaz1|Odc1|Psma3|Psmc2|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.615448628921964,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.60163427085003,R-MMU-4608870,M1,1,0,Reactome Gene Sets,6,Asymmetric localization of PCP proteins,,-11.60163427085003,27.38095238095238,16.0216632973886,21160,48,161,10,6.211180124223603,1.9021714526618785,14369|17463|19167|19181|22190|26440|26441|26443|57296|67089,Fzd7|Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.3578771298201,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.505329427652972,R-MMU-5358346,M1,1,0,Reactome Gene Sets,6,Hedgehog ligand biogenesis,,-11.505329427652972,26.82215743440233,15.845186756720457,21160,49,161,10,6.211180124223603,1.9021714526618785,17463|19167|19181|22190|26440|26441|26443|57296|67089|74126,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Syvn1,-8.302964971781268,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.45356914386403,mmu05012,M1,1,0,KEGG Pathway,24,Parkinson disease - Mus musculus (house mouse),,-11.45356914386403,8.633993743482796,11.136805752310025,21160,274,161,18,11.180124223602485,2.4835073934505183,12858|12861|12867|14679|17463|18747|19167|19181|22190|26440|26441|26443|56551|57296|66152|67003|67089|227613,Cox5a|Cox6a1|Cox7c|Gnai3|Psmd7|Prkaca|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Txn2|Psmd8|Uqcr10|Uqcrc2|Psmc6|Tubb4b,-8.288993248881726,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.31928624058929,R-MMU-1234176,M1,1,0,Reactome Gene Sets,6,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,,-11.31928624058929,25.770308123249297,15.50757418896318,21160,51,161,10,6.211180124223603,1.9021714526618785,17463|19167|19181|22190|26440|26441|26443|57296|67089|112405,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Egln1,-8.2216571352376,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.31928624058929,R-MMU-8878166,M1,1,0,Reactome Gene Sets,6,Transcriptional regulation by RUNX2,,-11.31928624058929,25.770308123249297,15.50757418896318,21160,51,161,10,6.211180124223603,1.9021714526618785,17463|19167|19181|22190|26440|26441|26443|56424|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6,-8.2216571352376,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.15038096467916,R-MMU-75815,M1,1,0,Reactome Gene Sets,6,Ubiquitin-dependent degradation of Cyclin D,,-11.15038096467916,31.96911196911197,16.508705313983114,21160,37,161,9,5.590062111801243,1.8105237853810734,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.108965540281917,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.148602698655921,R-MMU-4086400,M1,1,0,Reactome Gene Sets,6,PCP/CE pathway,,-11.148602698655921,20.07936507936508,14.1995202202326,21160,72,161,11,6.832298136645963,1.9883972693725782,14369|17463|19167|19181|22190|26440|26441|26443|57296|67089|232910,Fzd7|Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Ap2s1,-8.108965540281917,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.035811523322275,R-MMU-349425,M1,1,0,Reactome Gene Sets,6,Autodegradation of the E3 ubiquitin ligase COP1,,-11.035811523322275,31.127819548872182,16.276206123063435,21160,38,161,9,5.590062111801243,1.8105237853810734,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.093084377956327,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.035811523322275,R-MMU-69601,M1,1,0,Reactome Gene Sets,6,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,,-11.035811523322275,31.127819548872182,16.276206123063435,21160,38,161,9,5.590062111801243,1.8105237853810734,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.093084377956327,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.035811523322275,R-MMU-69610,M1,1,0,Reactome Gene Sets,6,p53-Independent DNA Damage Response,,-11.035811523322275,31.127819548872182,16.276206123063435,21160,38,161,9,5.590062111801243,1.8105237853810734,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.093084377956327,0,1,0,0,-12.8453186400658,35.52123552123552,
1,-11.035811523322275,R-MMU-69613,M1,1,0,Reactome Gene Sets,6,p53-Independent G1/S DNA damage checkpoint,,-11.035811523322275,31.127819548872182,16.276206123063435,21160,38,161,9,5.590062111801243,1.8105237853810734,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-8.093084377956327,0,1,0,0,-12.8453186400658,35.52123552123552,
