Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,Reactome Gene Sets,6,R-MMU-8948751,Regulation of PTEN stability and activity,,-15,46,22,21160,53,95,11,12,3.3,17463|19167|19181|19211|22190|26440|26441|26443|56424|57296|67089,Psmd7|Psma3|Psmc2|Pten|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6,-13
hits,Reactome Gene Sets,6,R-MMU-350562,Regulation of ornithine decarboxylase (ODC),,-15,60,24,21160,37,95,10,11,3.1,17463|18245|18263|19167|19181|26440|26441|26443|57296|67089,Psmd7|Oaz1|Odc1|Psma3|Psmc2|Psma1|Psma4|Psma6|Psmd8|Psmc6,-13
hits,Reactome Gene Sets,6,R-MMU-6807070,PTEN Regulation,,-15,34,20,21160,79,95,12,13,3.4,17463|19167|19181|19211|22190|26440|26441|26443|56424|57296|67089|68441,Psmd7|Psma3|Psmc2|Pten|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6|Rraga,-13
hits,Reactome Gene Sets,6,R-MMU-8939902,Regulation of RUNX2 expression and activity,,-15,56,23,21160,40,95,10,11,3.1,17463|19167|19181|22190|26440|26441|26443|56424|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6,-13
hits,Reactome Gene Sets,6,R-MMU-9711123,Cellular response to chemical stress,,-15,22,17,21160,140,95,14,15,3.6,12858|12861|12867|14950|17463|19167|19181|22190|26440|26441|26443|57296|67089|69590,Cox5a|Cox6a1|Cox7c|H13|Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Gpx8,-13
hits,Reactome Gene Sets,6,R-MMU-8941858,Regulation of RUNX3 expression and activity,,-15,53,23,21160,42,95,10,11,3.1,17463|19167|19181|20779|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Src|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-13
hits,Reactome Gene Sets,6,R-MMU-5610785,GLI3 is processed to GLI3R by the proteasome,,-14,52,22,21160,43,95,10,11,3.1,17463|18747|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Prkaca|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-12
hits,KEGG Pathway,24,mmu05012,Parkinson disease - Mus musculus (house mouse),,-14,14,14,21160,274,95,17,18,3.9,12858|12861|12867|14679|17463|18747|19167|19181|22190|26440|26441|26443|57296|66152|67003|67089|227613,Cox5a|Cox6a1|Cox7c|Gnai3|Psmd7|Prkaca|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Uqcr10|Uqcrc2|Psmc6|Tubb4b,-12
hits,Reactome Gene Sets,6,R-MMU-351202,Metabolism of polyamines,,-14,49,22,21160,45,95,10,11,3.1,17463|18245|18263|19167|19181|26440|26441|26443|57296|67089,Psmd7|Oaz1|Odc1|Psma3|Psmc2|Psma1|Psma4|Psma6|Psmd8|Psmc6,-12
hits,Reactome Gene Sets,6,R-MMU-5358346,Hedgehog ligand biogenesis,,-14,45,21,21160,49,95,10,11,3.1,17463|19167|19181|22190|26440|26441|26443|57296|67089|74126,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Syvn1,-12
hits,Reactome Gene Sets,6,R-MMU-8878166,Transcriptional regulation by RUNX2,,-14,44,20,21160,51,95,10,11,3.1,17463|19167|19181|22190|26440|26441|26443|56424|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Stub1|Psmd8|Psmc6,-12
hits,Reactome Gene Sets,6,R-MMU-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,,-14,44,20,21160,51,95,10,11,3.1,17463|19167|19181|22190|26440|26441|26443|57296|67089|112405,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Egln1,-12
hits,Reactome Gene Sets,6,R-MMU-1234174,Cellular response to hypoxia,,-13,40,20,21160,55,95,10,11,3.1,17463|19167|19181|22190|26440|26441|26443|57296|67089|112405,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Egln1,-11
hits,Reactome Gene Sets,6,R-MMU-75815,Ubiquitin-dependent degradation of Cyclin D,,-13,54,22,21160,37,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-69613,p53-Independent G1/S DNA damage checkpoint,,-13,53,21,21160,38,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,,-13,53,21,21160,38,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-69610,p53-Independent DNA Damage Response,,-13,53,21,21160,38,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-349425,Autodegradation of the E3 ubiquitin ligase COP1,,-13,53,21,21160,38,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-5687128,MAPK6/MAPK4 signaling,,-13,38,19,21160,59,95,10,11,3.1,17463|18747|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Prkaca|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,,-13,50,21,21160,40,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,,-13,50,21,21160,40,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,,-13,37,19,21160,61,95,10,11,3.1,17463|19167|19181|22190|26440|26441|26443|57296|67089|227613,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Tubb4b,-11
hits,Reactome Gene Sets,6,R-MMU-5610780,Degradation of GLI1 by the proteasome,,-13,49,21,21160,41,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-4641257,Degradation of AXIN,,-13,49,21,21160,41,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,,-13,48,20,21160,42,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-69541,Stabilization of p53,,-13,48,20,21160,42,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-5621481,C-type lectin receptors (CLRs),,-13,28,17,21160,89,95,11,12,3.3,17463|18747|19167|19181|20779|22190|26440|26441|26443|57296|67089,Psmd7|Prkaca|Psma3|Psmc2|Src|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
hits,Reactome Gene Sets,6,R-MMU-5610787,Hedgehog 'off' state,,-13,28,17,21160,89,95,11,12,3.3,17463|18747|19167|19181|22190|26440|26441|26443|57296|67089|227613,Psmd7|Prkaca|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6|Tubb4b,-11
hits,Reactome Gene Sets,6,R-MMU-5676590,NIK-->noncanonical NF-kB signaling,,-13,47,20,21160,43,95,9,9.5,3,17463|19167|19181|22190|26440|26441|26443|57296|67089,Psmd7|Psma3|Psmc2|Ubc|Psma1|Psma4|Psma6|Psmd8|Psmc6,-11
