Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,Reactome Gene Sets,6,R-MMU-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,,-10,55,19,21160,50,54,7,13,4.6,15511|15516|20867|69654|81489|193740|227613,Hspa1b|Hsp90ab1|Stip1|Dctn2|Dnajb1|Hspa1a|Tubb4b,-7
hits,Reactome Gene Sets,6,R-MMU-8953897,Cellular responses to stimuli,,-9.1,9.4,10,21160,543,54,13,24,5.8,12315|14695|15511|15516|20867|50868|54170|66144|69654|70369|81489|193740|227613,Calm3|Gnb3|Hspa1b|Hsp90ab1|Stip1|Keap1|Rragc|Atp6v1f|Dctn2|Bag5|Dnajb1|Hspa1a|Tubb4b,-5.9
hits,Reactome Gene Sets,6,R-MMU-3371568,Attenuation phase,,-7.6,1.2e+02,22,21160,13,54,4,7.4,3.6,15511|15516|81489|193740,Hspa1b|Hsp90ab1|Dnajb1|Hspa1a,-4.7
hits,Reactome Gene Sets,6,R-MMU-2262752,Cellular responses to stress,,-7.5,9,8.9,21160,480,54,11,20,5.5,15511|15516|20867|50868|54170|66144|69654|70369|81489|193740|227613,Hspa1b|Hsp90ab1|Stip1|Keap1|Rragc|Atp6v1f|Dctn2|Bag5|Dnajb1|Hspa1a|Tubb4b,-4.7
hits,KEGG Pathway,24,mmu04915,Estrogen signaling pathway - Mus musculus (house mouse),,-7.3,20,11,21160,134,54,7,13,4.6,11911|12315|15511|15516|16668|18709|193740,Atf4|Calm3|Hspa1b|Hsp90ab1|Krt18|Pik3r2|Hspa1a,-4.5
hits,Reactome Gene Sets,6,R-MMU-3371571,HSF1-dependent transactivation,,-6.6,71,17,21160,22,54,4,7.4,3.6,15511|15516|81489|193740,Hspa1b|Hsp90ab1|Dnajb1|Hspa1a,-3.9
hits,GO Biological Processes,19,GO:0006457,protein folding,19_GO:0009987 cellular process,-6.4,15,9.7,21160,181,54,7,13,4.6,14976|15511|15516|18221|18637|81489|193740,Pfdn6|Hspa1b|Hsp90ab1|Nudc|Pfdn2|Dnajb1|Hspa1a,-3.8
hits,Reactome Gene Sets,6,R-MMU-3371556,Cellular response to heat stress,,-5.8,25,11,21160,79,54,5,9.3,3.9,15511|15516|70369|81489|193740,Hspa1b|Hsp90ab1|Bag5|Dnajb1|Hspa1a,-3.1
hits,GO Biological Processes,19,GO:0031647,regulation of protein stability,19_GO:0065007 biological regulation,-5.4,8.6,7.4,21160,365,54,8,15,4.8,15511|15516|18148|53376|70369|70925|76500|260302,Hspa1b|Hsp90ab1|Npm1|Usp2|Bag5|Cdkn2aip|Ip6k2|Gga3,-2.9
hits,KEGG Pathway,24,mmu05020,Prion disease - Mus musculus (house mouse),,-5.2,10,7.6,21160,273,54,7,13,4.6,11911|15511|18709|20867|22272|193740|227613,Atf4|Hspa1b|Pik3r2|Stip1|Uqcrq|Hspa1a|Tubb4b,-2.7
hits,Reactome Gene Sets,6,R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,,-5.1,7.8,7,21160,400,54,8,15,4.8,12315|14173|18709|19341|20807|66144|76884|260302,Calm3|Fgf2|Pik3r2|Rab4a|Srf|Atp6v1f|Cyfip2|Gga3,-2.6
hits,Reactome Gene Sets,6,R-MMU-3371453,Regulation of HSF1-mediated heat shock response,,-4.8,26,9.8,21160,61,54,4,7.4,3.6,15511|70369|81489|193740,Hspa1b|Bag5|Dnajb1|Hspa1a,-2.3
hits,KEGG Pathway,24,mmu05417,Lipid and atherosclerosis - Mus musculus (house mouse),,-4.7,11,7.4,21160,217,54,6,11,4.3,11911|12315|15511|15516|18709|193740,Atf4|Calm3|Hspa1b|Hsp90ab1|Pik3r2|Hspa1a,-2.3
hits,Reactome Gene Sets,6,R-MMU-9833482,PKR-mediated signaling,,-4.7,25,9.6,21160,63,54,4,7.4,3.6,15511|18148|193740|227613,Hspa1b|Npm1|Hspa1a|Tubb4b,-2.3
hits,GO Biological Processes,19,GO:0098761,cellular response to interleukin-7,19_GO:0050896 response to stimulus,-4.7,56,13,21160,21,54,3,5.6,3.1,16451|20867|22608,Jak1|Stip1|Ybx1,-2.3
hits,GO Biological Processes,19,GO:0090083,regulation of inclusion body assembly,19_GO:0050789 regulation of biological process,-4.7,56,13,21160,21,54,3,5.6,3.1,15511|70369|81489,Hspa1b|Bag5|Dnajb1,-2.3
hits,GO Biological Processes,19,GO:0050821,protein stabilization,19_GO:0065007 biological regulation,-4.7,11,7.3,21160,221,54,6,11,4.3,15511|15516|18148|53376|70369|76500,Hspa1b|Hsp90ab1|Npm1|Usp2|Bag5|Ip6k2,-2.3
hits,Reactome Gene Sets,6,R-MMU-913531,Interferon Signaling,,-4.6,15,8,21160,133,54,5,9.3,3.9,15511|18148|22608|193740|227613,Hspa1b|Npm1|Ybx1|Hspa1a|Tubb4b,-2.2
hits,GO Biological Processes,19,GO:0098760,response to interleukin-7,19_GO:0050896 response to stimulus,-4.6,53,12,21160,22,54,3,5.6,3.1,16451|20867|22608,Jak1|Stip1|Ybx1,-2.2
hits,GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0009987 cellular process,-4.6,5.6,6,21160,626,54,9,17,5.1,11911|15511|20638|22608|50926|66070|66585|76938|193740,Atf4|Hspa1b|Snrpb|Ybx1|Hnrnpdl|Cwc15|Snrnp40|Rbm17|Hspa1a,-2.2
hits,GO Biological Processes,19,GO:0061077,chaperone-mediated protein folding,19_GO:0009987 cellular process,-4.6,23,9.2,21160,68,54,4,7.4,3.6,15511|15516|81489|193740,Hspa1b|Hsp90ab1|Dnajb1|Hspa1a,-2.2
hits,GO Biological Processes,19,GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,19_GO:0048519 negative regulation of biological process,-4.4,44,11,21160,27,54,3,5.6,3.1,11911|14173|70369,Atf4|Fgf2|Bag5,-2
hits,KEGG Pathway,24,mmu03040,Spliceosome - Mus musculus (house mouse),,-4.2,8.9,6.5,21160,265,54,6,11,4.3,15511|20638|66070|66585|76938|193740,Hspa1b|Snrpb|Cwc15|Snrnp40|Rbm17|Hspa1a,-1.9
hits,GO Biological Processes,19,GO:0071353,cellular response to interleukin-4,19_GO:0050896 response to stimulus,-4.1,37,10,21160,32,54,3,5.6,3.1,15516|16451|50868,Hsp90ab1|Jak1|Keap1,-1.8
hits,GO Biological Processes,19,GO:0051604,protein maturation,19_GO:0009987 cellular process,-4.1,5.6,5.6,21160,555,54,8,15,4.8,14976|15511|15516|18221|18637|76884|81489|193740,Pfdn6|Hspa1b|Hsp90ab1|Nudc|Pfdn2|Cyfip2|Dnajb1|Hspa1a,-1.8
hits,Reactome Gene Sets,6,R-MMU-1169410,Antiviral mechanism by IFN-stimulated genes,,-4.1,17,7.9,21160,90,54,4,7.4,3.6,15511|18148|193740|227613,Hspa1b|Npm1|Hspa1a|Tubb4b,-1.7
hits,KEGG Pathway,24,mmu04141,Protein processing in endoplasmic reticulum - Mus musculus (house mouse),,-4.1,11,6.9,21160,175,54,5,9.3,3.9,11911|15511|15516|81489|193740,Atf4|Hspa1b|Hsp90ab1|Dnajb1|Hspa1a,-1.7
hits,Reactome Gene Sets,6,R-MMU-194315,Signaling by Rho GTPases,,-4.1,5.6,5.6,21160,562,54,8,15,4.8,12315|15516|18221|18709|20807|20867|76884|227613,Calm3|Hsp90ab1|Nudc|Pik3r2|Srf|Stip1|Cyfip2|Tubb4b,-1.7
hits,GO Biological Processes,19,GO:0051085,chaperone cofactor-dependent protein refolding,19_GO:0009987 cellular process,-4.1,35,9.9,21160,34,54,3,5.6,3.1,15511|81489|193740,Hspa1b|Dnajb1|Hspa1a,-1.7
hits,GO Biological Processes,19,GO:0070670,response to interleukin-4,19_GO:0050896 response to stimulus,-4,34,9.8,21160,35,54,3,5.6,3.1,15516|16451|50868,Hsp90ab1|Jak1|Keap1,-1.7
hits,GO Biological Processes,19,GO:0009408,response to heat,19_GO:0050896 response to stimulus,-4,17,7.7,21160,94,54,4,7.4,3.6,15511|15516|81489|193740,Hspa1b|Hsp90ab1|Dnajb1|Hspa1a,-1.7
hits,Reactome Gene Sets,6,R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-4,5.4,5.5,21160,577,54,8,15,4.8,12315|15516|18221|18709|20807|20867|76884|227613,Calm3|Hsp90ab1|Nudc|Pik3r2|Srf|Stip1|Cyfip2|Tubb4b,-1.7
hits,Reactome Gene Sets,6,R-MMU-72163,mRNA Splicing - Major Pathway,,-4,11,6.6,21160,185,54,5,9.3,3.9,20638|22608|66070|66585|76938,Snrpb|Ybx1|Cwc15|Snrnp40|Rbm17,-1.7
