_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.8,R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,M1,1,0
1,-2.5,GO:0060173,limb development,M1,1,0
1,-2.1,R-MMU-72172,mRNA Splicing,M1,1,0
1,-2.2,R-MMU-917937,Iron uptake and transport,M1,1,0
1,-2.2,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-2.1,GO:0033121,regulation of purine nucleotide catabolic process,M1,1,0
1,-2.1,GO:0006839,mitochondrial transport,M1,1,0
1,-2.6,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2.2,R-MMU-109582,Hemostasis,M1,1,0
1,-2.9,GO:0001666,response to hypoxia,M1,1,0
1,-2.2,GO:0001568,blood vessel development,M1,1,0
1,-3.4,GO:1903427,negative regulation of reactive oxygen species biosynthetic process,M1,1,0
1,-2.4,GO:1900542,regulation of purine nucleotide metabolic process,M1,1,0
1,-2.6,R-MMU-8876198,RAB GEFs exchange GTP for GDP on RABs,M1,1,0
1,-2.3,GO:0010810,regulation of cell-substrate adhesion,M1,1,0
1,-2.3,GO:0006140,regulation of nucleotide metabolic process,M1,1,0
1,-2.1,GO:0070252,actin-mediated cell contraction,M1,1,0
1,-2.1,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-3,GO:0038179,neurotrophin signaling pathway,M1,1,0
1,-2.5,GO:0006109,regulation of carbohydrate metabolic process,M1,1,0
1,-2.2,R-MMU-9007101,Rab regulation of trafficking,M1,1,0
1,-2,GO:0001944,vasculature development,M1,1,0
1,-2,GO:0009205,purine ribonucleoside triphosphate metabolic process,M1,1,0
1,-3.1,GO:1990090,cellular response to nerve growth factor stimulus,M1,1,0
1,-2.4,mmu04150,mTOR signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.9,GO:0035108,limb morphogenesis,M1,1,0
1,-2.2,GO:0045664,regulation of neuron differentiation,M1,1,0
1,-2.2,mmu05213,Endometrial cancer - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:0036294,cellular response to decreased oxygen levels,M1,1,0
1,-2.1,GO:0034612,response to tumor necrosis factor,M1,1,0
1,-3.1,GO:2000377,regulation of reactive oxygen species metabolic process,M1,1,0
1,-2.1,GO:0030811,regulation of nucleotide catabolic process,M1,1,0
1,-2.5,GO:0048736,appendage development,M1,1,0
1,-2.5,GO:1903578,regulation of ATP metabolic process,M1,1,0
1,-2.6,GO:0036293,response to decreased oxygen levels,M1,1,0
1,-2,GO:0002931,response to ischemia,M1,1,0
1,-3.4,GO:0071363,cellular response to growth factor stimulus,M1,1,0
1,-2.2,GO:0018205,peptidyl-lysine modification,M1,1,0
1,-2.4,GO:0006289,nucleotide-excision repair,M1,1,0
1,-2.3,GO:0043467,regulation of generation of precursor metabolites and energy,M1,1,0
1,-2.2,WP539,Wnt signaling pathway,M1,1,0
1,-2.2,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),M1,1,0
1,-3.4,GO:1903426,regulation of reactive oxygen species biosynthetic process,M1,1,0
1,-2.1,R-MMU-2995410,Nuclear Envelope (NE) Reassembly,M1,1,0
1,-2.6,GO:0007005,mitochondrion organization,M1,1,0
1,-2.9,GO:0035107,appendage morphogenesis,M1,1,0
1,-2.2,GO:0007006,mitochondrial membrane organization,M1,1,0
1,-3.1,GO:1990089,response to nerve growth factor,M1,1,0
1,-2.4,WP65,Insulin signaling,M1,1,0
1,-2.1,mmu04213,Longevity regulating pathway - multiple species - Mus musculus (house mouse),M1,1,0
1,-2.5,GO:0016358,dendrite development,M1,1,0
1,-2.7,GO:0051057,positive regulation of small GTPase mediated signal transduction,M1,1,0
1,-2.6,GO:0010811,positive regulation of cell-substrate adhesion,M1,1,0
1,-2.6,GO:0006690,icosanoid metabolic process,M1,1,0
1,-2.4,GO:0035137,hindlimb morphogenesis,M1,1,0
1,-2.1,GO:0070482,response to oxygen levels,M1,1,0
1,-2.2,GO:1902305,regulation of sodium ion transmembrane transport,M1,1,0
1,-2.9,GO:0042733,embryonic digit morphogenesis,M1,1,0
1,-2.1,R-MMU-72163,mRNA Splicing - Major Pathway,M1,1,0
1,-2.3,GO:2000378,negative regulation of reactive oxygen species metabolic process,M1,1,0
1,-2.1,GO:0006110,regulation of glycolytic process,M1,1,0
1,-3.2,GO:0070848,response to growth factor,M1,1,0
