_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.4306931197173722,GO:0071363,M1,1,0,GO Biological Processes,19,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-3.4306931197173722,3.2218035095732933,4.360794803018744,21160,567,139,12,8.633093525179856,2.3821564631931658,11977|13660|16337|17755|20662|22413|23991|56392|56484|64602|74747|93759,Atp7a|Ehd1|Insr|Map1b|Sos1|Wnt2|Cib1|Shoc2|Foxo3|Ireb2|Ddit4|Sirt1,0.0,0,1,1,1,-3.4306931197173722,9.665410528719882,
1,-3.2382956030583268,GO:0070848,M1,1,0,GO Biological Processes,19,response to growth factor,19_GO:0050896 response to stimulus,-3.2382956030583268,3.0650379025638546,4.158394070213482,21160,596,139,12,8.633093525179856,2.3821564631931658,11977|13660|16337|17755|20662|22413|23991|56392|56484|64602|74747|93759,Atp7a|Ehd1|Insr|Map1b|Sos1|Wnt2|Cib1|Shoc2|Foxo3|Ireb2|Ddit4|Sirt1,0.0,0,1,0,0,-3.4306931197173722,9.665410528719882,
1,-3.1042394120200774,GO:1990090,M1,1,0,GO Biological Processes,19,cellular response to nerve growth factor stimulus,19_GO:0050896 response to stimulus,-3.1042394120200774,9.665410528719882,5.601151879764716,21160,63,139,4,2.8776978417266186,1.4179949348581387,13660|23991|56392|56484,Ehd1|Cib1|Shoc2|Foxo3,0.0,0,1,0,0,-3.4306931197173722,9.665410528719882,
1,-3.0530241839059755,GO:1990089,M1,1,0,GO Biological Processes,19,response to nerve growth factor,19_GO:0050896 response to stimulus,-3.0530241839059755,9.368013281682346,5.49436564061434,21160,65,139,4,2.8776978417266186,1.4179949348581387,13660|23991|56392|56484,Ehd1|Cib1|Shoc2|Foxo3,0.0,0,1,0,0,-3.4306931197173722,9.665410528719882,
1,-2.3943360860926566,WP65,M1,1,0,WikiPathways,27,Insulin signaling,,-2.3943360860926566,4.787113705262206,3.897760971534729,21160,159,139,5,3.597122302158273,1.5794838911163331,13660|16337|20662|56484|225028,Ehd1|Insr|Sos1|Foxo3|Map4k3,0.0,0,1,0,0,-3.4306931197173722,9.665410528719882,
1,-2.1214035712476416,mmu04213,M1,1,0,KEGG Pathway,24,Longevity regulating pathway - multiple species - Mus musculus (house mouse),,-2.1214035712476416,7.486731925934661,4.125610418768938,21160,61,139,3,2.158273381294964,1.23255946531898,16337|56484|93759,Insr|Foxo3|Sirt1,0.0,0,1,0,0,-3.4306931197173722,9.665410528719882,
1,-2.0914636550245804,GO:0034612,M1,1,0,GO Biological Processes,19,response to tumor necrosis factor,19_GO:0050896 response to stimulus,-2.0914636550245804,4.048675952854738,3.4142753970717927,21160,188,139,5,3.597122302158273,1.5794838911163331,16337|23991|56484|93759|225028,Insr|Cib1|Foxo3|Sirt1|Map4k3,0.0,0,1,0,0,-3.4306931197173722,9.665410528719882,
1,-3.3906228507008644,GO:1903426,M1,1,0,GO Biological Processes,19,regulation of reactive oxygen species biosynthetic process,19_GO:0050789 regulation of biological process,-3.3906228507008644,11.489072892629293,6.217131689040529,21160,53,139,4,2.8776978417266186,1.4179949348581387,56484|67103|68197|93759,Foxo3|Ptgr1|Ndufc2|Sirt1,0.0,0,2,1,1,-3.3906228507008644,19.856115107913666,
1,-3.3505142226808515,GO:1903427,M1,1,0,GO Biological Processes,19,negative regulation of reactive oxygen species biosynthetic process,19_GO:0048519 negative regulation of biological process,-3.3505142226808515,19.856115107913666,7.357372560915833,21160,23,139,3,2.158273381294964,1.23255946531898,67103|68197|93759,Ptgr1|Ndufc2|Sirt1,0.0,0,2,0,0,-3.3906228507008644,19.856115107913666,
1,-3.1469658852689153,GO:2000377,M1,1,0,GO Biological Processes,19,regulation of reactive oxygen species metabolic process,19_GO:0050789 regulation of biological process,-3.1469658852689153,5.638156141753264,4.818836484092327,21160,162,139,6,4.316546762589928,1.7237697110070636,16337|16418|56484|67103|68197|93759,Insr|Eif6|Foxo3|Ptgr1|Ndufc2|Sirt1,0.0,0,2,0,0,-3.3906228507008644,19.856115107913666,
1,-2.3383386409166262,GO:2000378,M1,1,0,GO Biological Processes,19,negative regulation of reactive oxygen species metabolic process,19_GO:0048519 negative regulation of biological process,-2.3383386409166262,8.954718578078714,4.624921451556772,21160,51,139,3,2.158273381294964,1.23255946531898,67103|68197|93759,Ptgr1|Ndufc2|Sirt1,0.0,0,2,0,0,-3.3906228507008644,19.856115107913666,
1,-3.0048004997540256,GO:0038179,M1,1,0,GO Biological Processes,19,neurotrophin signaling pathway,19_GO:0050896 response to stimulus,-3.0048004997540256,15.223021582733812,6.339150041139322,21160,30,139,3,2.158273381294964,1.23255946531898,20662|56392|74747,Sos1|Shoc2|Ddit4,0.0,0,3,1,1,-3.0048004997540256,15.223021582733812,
1,-2.73755481198339,GO:0051057,M1,1,0,GO Biological Processes,19,positive regulation of small GTPase mediated signal transduction,19_GO:0048518 positive regulation of biological process,-2.73755481198339,7.70785902923231,4.857134746433341,21160,79,139,4,2.8776978417266186,1.4179949348581387,20662|56392|319974|100040531,Sos1|Shoc2|Auts2|Dynlt1f,0.0,0,3,0,0,-3.0048004997540256,15.223021582733812,
1,-2.885397750382708,GO:0035107,M1,1,0,GO Biological Processes,19,appendage morphogenesis,19_GO:0032502 developmental process,-2.885397750382708,5.0185785437584,4.427457467903866,21160,182,139,6,4.316546762589928,1.7237697110070636,11977|18845|23967|226844|235320|245866,Atp7a|Plxna2|Osr1|Flvcr1|Zbtb16|Ift52,0.0,0,4,1,1,-2.885397750382708,9.320217295551313,
1,-2.885397750382708,GO:0035108,M1,1,0,GO Biological Processes,19,limb morphogenesis,19_GO:0032502 developmental process,-2.885397750382708,5.0185785437584,4.427457467903866,21160,182,139,6,4.316546762589928,1.7237697110070636,11977|18845|23967|226844|235320|245866,Atp7a|Plxna2|Osr1|Flvcr1|Zbtb16|Ift52,0.0,0,4,0,0,-2.885397750382708,9.320217295551313,
1,-2.8644089676357414,GO:0042733,M1,1,0,GO Biological Processes,19,embryonic digit morphogenesis,19_GO:0032502 developmental process,-2.8644089676357414,8.341381689169213,5.1092848818495575,21160,73,139,4,2.8776978417266186,1.4179949348581387,23967|226844|235320|245866,Osr1|Flvcr1|Zbtb16|Ift52,0.0,0,4,0,0,-2.885397750382708,9.320217295551313,
1,-2.4534312417690427,GO:0048736,M1,1,0,GO Biological Processes,19,appendage development,19_GO:0032502 developmental process,-2.4534312417690427,4.114330157495625,3.79316578111528,21160,222,139,6,4.316546762589928,1.7237697110070636,11977|18845|23967|226844|235320|245866,Atp7a|Plxna2|Osr1|Flvcr1|Zbtb16|Ift52,0.0,0,4,0,0,-2.885397750382708,9.320217295551313,
1,-2.4534312417690427,GO:0060173,M1,1,0,GO Biological Processes,19,limb development,19_GO:0032502 developmental process,-2.4534312417690427,4.114330157495625,3.79316578111528,21160,222,139,6,4.316546762589928,1.7237697110070636,11977|18845|23967|226844|235320|245866,Atp7a|Plxna2|Osr1|Flvcr1|Zbtb16|Ift52,0.0,0,4,0,0,-2.885397750382708,9.320217295551313,
1,-2.3873996608052512,GO:0035137,M1,1,0,GO Biological Processes,19,hindlimb morphogenesis,19_GO:0032502 developmental process,-2.3873996608052512,9.320217295551313,4.741399932297497,21160,49,139,3,2.158273381294964,1.23255946531898,11977|23967|235320,Atp7a|Osr1|Zbtb16,0.0,0,4,0,0,-2.885397750382708,9.320217295551313,
1,-2.8609096108902436,GO:0001666,M1,1,0,GO Biological Processes,19,response to hypoxia,19_GO:0050896 response to stimulus,-2.8609096108902436,3.758770761168843,4.069201805267501,21160,324,139,8,5.755395683453237,1.9754154264342294,11564|12177|16523|53417|56484|64602|74747|93759,Adsl|Bnip3l|Kcnj8|Hif3a|Foxo3|Ireb2|Ddit4|Sirt1,0.0,0,5,1,1,-2.8609096108902436,5.436793422404933,
1,-2.631584306399507,GO:0071456,M1,1,0,GO Biological Processes,19,cellular response to hypoxia,19_GO:0050896 response to stimulus,-2.631584306399507,5.436793422404933,4.282971196106322,21160,140,139,5,3.597122302158273,1.5794838911163331,12177|53417|56484|64602|93759,Bnip3l|Hif3a|Foxo3|Ireb2|Sirt1,0.0,0,5,0,0,-2.8609096108902436,5.436793422404933,
1,-2.5761751327450533,GO:0036293,M1,1,0,GO Biological Processes,19,response to decreased oxygen levels,19_GO:0050896 response to stimulus,-2.5761751327450533,3.3828936850519584,3.708109348204019,21160,360,139,8,5.755395683453237,1.9754154264342294,11564|12177|16523|53417|56484|64602|74747|93759,Adsl|Bnip3l|Kcnj8|Hif3a|Foxo3|Ireb2|Ddit4|Sirt1,0.0,0,5,0,0,-2.8609096108902436,5.436793422404933,
1,-2.272048363833296,GO:0036294,M1,1,0,GO Biological Processes,19,cellular response to decreased oxygen levels,19_GO:0050896 response to stimulus,-2.272048363833296,4.477359289039357,3.7016562841279557,21160,170,139,5,3.597122302158273,1.5794838911163331,12177|53417|56484|64602|93759,Bnip3l|Hif3a|Foxo3|Ireb2|Sirt1,0.0,0,5,0,0,-2.8609096108902436,5.436793422404933,
1,-2.1416140550037657,GO:0070482,M1,1,0,GO Biological Processes,19,response to oxygen levels,19_GO:0050896 response to stimulus,-2.1416140550037657,2.8587833958185564,3.1515218325732848,21160,426,139,8,5.755395683453237,1.9754154264342294,11564|12177|16523|53417|56484|64602|74747|93759,Adsl|Bnip3l|Kcnj8|Hif3a|Foxo3|Ireb2|Ddit4|Sirt1,0.0,0,5,0,0,-2.8609096108902436,5.436793422404933,
1,-2.0914636550245804,GO:0071453,M1,1,0,GO Biological Processes,19,cellular response to oxygen levels,19_GO:0050896 response to stimulus,-2.0914636550245804,4.048675952854738,3.4142753970717927,21160,188,139,5,3.597122302158273,1.5794838911163331,12177|53417|56484|64602|93759,Bnip3l|Hif3a|Foxo3|Ireb2|Sirt1,0.0,0,5,0,0,-2.8609096108902436,5.436793422404933,
1,-2.7837234751992463,R-MMU-72203,M1,1,0,Reactome Gene Sets,6,Processing of Capped Intron-Containing Pre-mRNA,,-2.7837234751992463,4.114330157495625,4.1007121402781985,21160,259,139,7,5.0359712230215825,1.8548713157929548,66420|66492|66810|72654|103468|227707|228410,Polr2e|Zmat2|Rbm22|Ccdc12|Nup107|BC005624|Cstf3,0.0,0,6,1,1,-2.7837234751992463,4.114330157495625,
1,-2.1200413542641154,R-MMU-72163,M1,1,0,Reactome Gene Sets,6,mRNA Splicing - Major Pathway,,-2.1200413542641154,4.114330157495625,3.4596153392042908,21160,185,139,5,3.597122302158273,1.5794838911163331,66420|66492|66810|72654|227707,Polr2e|Zmat2|Rbm22|Ccdc12|BC005624,0.0,0,6,0,0,-2.7837234751992463,4.114330157495625,
1,-2.063447934627909,R-MMU-72172,M1,1,0,Reactome Gene Sets,6,mRNA Splicing,,-2.063447934627909,3.9850841839617313,3.3698664550357167,21160,191,139,5,3.597122302158273,1.5794838911163331,66420|66492|66810|72654|227707,Polr2e|Zmat2|Rbm22|Ccdc12|BC005624,0.0,0,6,0,0,-2.7837234751992463,4.114330157495625,
1,-2.6342375501877067,GO:0007005,M1,1,0,GO Biological Processes,19,mitochondrion organization,19_GO:0009987 cellular process,-2.6342375501877067,3.156847793654477,3.6917722384368434,21160,434,139,9,6.474820143884892,2.0872320290552024,11977|12177|66092|66117|68197|68198|74580|224904|100040531,Atp7a|Bnip3l|Ghitm|Fmc1|Ndufc2|Ndufb2|Pyroxd2|Micos13|Dynlt1f,0.0,0,7,1,1,-2.6342375501877067,5.586429938617913,
1,-2.2346034894413114,GO:0007006,M1,1,0,GO Biological Processes,19,mitochondrial membrane organization,19_GO:0009987 cellular process,-2.2346034894413114,5.586429938617913,3.9037314213507415,21160,109,139,4,2.8776978417266186,1.4179949348581387,12177|66092|224904|100040531,Bnip3l|Ghitm|Micos13|Dynlt1f,0.0,0,7,0,0,-2.6342375501877067,5.586429938617913,
