_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,WP4466,Oxidative stress and redox pathway,M1,1,0
1,-3.8,GO:0089718,amino acid import across plasma membrane,M1,1,0
1,-3.8,GO:0008360,regulation of cell shape,M1,1,0
1,-3.6,WP85,Focal adhesion,M1,1,0
1,-5.1,GO:0016052,carbohydrate catabolic process,M1,1,0
1,-2.2,GO:0008366,axon ensheathment,M1,1,0
1,-2.5,GO:0010874,regulation of cholesterol efflux,M1,1,0
1,-2.1,GO:0046545,development of primary female sexual characteristics,M1,1,0
1,-5.3,GO:0010975,regulation of neuron projection development,M1,1,0
1,-2.9,GO:0045687,positive regulation of glial cell differentiation,M1,1,0
1,-3.4,GO:0048732,gland development,M1,1,0
1,-3,GO:0051965,positive regulation of synapse assembly,M1,1,0
1,-2.5,R-MMU-1266738,Developmental Biology,M1,1,0
1,-4.6,GO:0006007,glucose catabolic process,M1,1,0
1,-3.1,GO:0007589,body fluid secretion,M1,1,0
1,-2.4,GO:0045840,positive regulation of mitotic nuclear division,M1,1,0
1,-3.9,GO:1904026,regulation of collagen fibril organization,M1,1,0
1,-2.2,GO:0006644,phospholipid metabolic process,M1,1,0
1,-3.9,GO:0070571,negative regulation of neuron projection regeneration,M1,1,0
1,-5.5,mmu00010,Glycolysis / Gluconeogenesis - Mus musculus (house mouse),M1,1,0
1,-5.1,GO:1902992,negative regulation of amyloid precursor protein catabolic process,M1,1,0
1,-2,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-2.1,R-MMU-8980692,RHOA GTPase cycle,M1,1,0
1,-3.7,GO:0008344,adult locomotory behavior,M1,1,0
1,-2.6,GO:0008652,amino acid biosynthetic process,M1,1,0
1,-4.3,GO:1904760,regulation of myofibroblast differentiation,M1,1,0
1,-3.3,GO:0045939,negative regulation of steroid metabolic process,M1,1,0
1,-2.3,GO:0006820,monoatomic anion transport,M1,1,0
1,-4.4,GO:0030198,extracellular matrix organization,M1,1,0
1,-3.7,GO:0043534,blood vessel endothelial cell migration,M1,1,0
1,-2.3,R-MMU-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-2.3,GO:0016358,dendrite development,M1,1,0
1,-2,GO:0034329,cell junction assembly,M1,1,0
1,-2.3,GO:1902230,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,M1,1,0
1,-4.1,GO:0061718,glucose catabolic process to pyruvate,M1,1,0
1,-9.4,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-4.6,GO:0010595,positive regulation of endothelial cell migration,M1,1,0
1,-2,GO:1902930,regulation of alcohol biosynthetic process,M1,1,0
1,-3.1,GO:0045785,positive regulation of cell adhesion,M1,1,0
1,-2.4,GO:0045766,positive regulation of angiogenesis,M1,1,0
1,-2.2,GO:0098662,inorganic cation transmembrane transport,M1,1,0
1,-2.9,GO:0009166,nucleotide catabolic process,M1,1,0
1,-2,WP4347,Eicosanoid metabolism via cyclooxygenases COX,M1,1,0
1,-2.5,GO:0060749,mammary gland alveolus development,M1,1,0
1,-4,GO:0051938,L-glutamate import,M1,1,0
1,-3.1,GO:0030325,adrenal gland development,M1,1,0
1,-2,GO:0045980,negative regulation of nucleotide metabolic process,M1,1,0
1,-2.7,R-MMU-8948216,Collagen chain trimerization,M1,1,0
1,-3.3,GO:0060537,muscle tissue development,M1,1,0
1,-3.9,GO:0050679,positive regulation of epithelial cell proliferation,M1,1,0
