_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-11.974081563832522,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
1,-10.609885730291287,GO:0032502,developmental process,M1,1,GO:0001525 angiogenesis
1,-9.140004598769682,GO:0009987,cellular process,M1,1,GO:0098609 cell-cell adhesion
1,-7.499455542478048,GO:0051179,localization,M1,1,GO:0046942 carboxylic acid transport
1,-7.251206639668077,GO:0050789,regulation of biological process,M1,1,GO:1901888 regulation of cell junction assembly
1,-6.271742725408281,GO:0048519,negative regulation of biological process,M1,1,GO:0008285 negative regulation of cell population proliferation
1,-5.282373465130987,GO:0040007,growth,M1,1,GO:0061387 regulation of extent of cell growth
1,-5.046494467121883,GO:0065007,biological regulation,M1,1,GO:0008361 regulation of cell size
1,-4.824832749595289,GO:0048518,positive regulation of biological process,M1,1,GO:1901890 positive regulation of cell junction assembly
1,-4.502279645594171,GO:0050896,response to stimulus,M1,1,GO:1903034 regulation of response to wounding
1,-4.471745249090682,GO:0032501,multicellular organismal process,M1,1,GO:0007626 locomotory behavior
1,-4.178981134941792,GO:0042592,homeostatic process,M1,1,GO:0019725 cellular homeostasis
1,-3.0019264561952586,GO:0002376,immune system process,M1,1,GO:0045651 positive regulation of macrophage differentiation
1,-2.2636524775783933,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0002237 response to molecule of bacterial origin
1,-2.1576531314936283,GO:0022414,reproductive process,M1,1,GO:0008585 female gonad development
