Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-16,6.2,12,21160,621,176,32,18,2.9,11674|11852|12389|12822|13609|14268|14751|14756|16002|16011|16337|16367|17869|18479|18595|18606|19242|20130|20315|20351|20848|22339|22352|26921|27226|66102|66922|67916|68585|80837|83397|84004,Aldoa|Rhob|Cav1|Col18a1|S1pr1|Fn1|Gpi1|Gpld1|Igf2|Igfbp5|Insr|Irs1|Myc|Pak1|Pdgfra|Enpp2|Ptn|Rras|Cxcl12|Sema4a|Stat3|Vegfa|Vim|Map4k4|Pla2g7|Cxcl16|Rras2|Plpp3|Rtn4|Rhoj|Akap12|Mcam,-12
hits,GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-15,5.9,12,21160,651,176,32,18,2.9,11674|11852|12389|12822|13609|14268|14751|14756|16002|16011|16337|16367|17869|18479|18595|18606|19242|20130|20315|20351|20848|22339|22352|26921|27226|66102|66922|67916|68585|80837|83397|84004,Aldoa|Rhob|Cav1|Col18a1|S1pr1|Fn1|Gpi1|Gpld1|Igf2|Igfbp5|Insr|Irs1|Myc|Pak1|Pdgfra|Enpp2|Ptn|Rras|Cxcl12|Sema4a|Stat3|Vegfa|Vim|Map4k4|Pla2g7|Cxcl16|Rras2|Plpp3|Rtn4|Rhoj|Akap12|Mcam,-12
hits,GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-15,5.8,11,21160,668,176,32,18,2.9,11674|11852|12389|12822|13609|14268|14751|14756|16002|16011|16337|16367|17869|18479|18595|18606|19242|20130|20315|20351|20848|22339|22352|26921|27226|66102|66922|67916|68585|80837|83397|84004,Aldoa|Rhob|Cav1|Col18a1|S1pr1|Fn1|Gpi1|Gpld1|Igf2|Igfbp5|Insr|Irs1|Myc|Pak1|Pdgfra|Enpp2|Ptn|Rras|Cxcl12|Sema4a|Stat3|Vegfa|Vim|Map4k4|Pla2g7|Cxcl16|Rras2|Plpp3|Rtn4|Rhoj|Akap12|Mcam,-12
hits,GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-13,7.4,11,21160,358,176,22,12,2.5,11852|12306|12389|12822|13609|14268|14367|14645|14756|18595|18799|19876|20315|20351|21802|22339|53417|68585|80837|84004|94352|230126,Rhob|Anxa2|Cav1|Col18a1|S1pr1|Fn1|Fzd5|Glul|Gpld1|Pdgfra|Plcd1|Robo1|Cxcl12|Sema4a|Tgfa|Vegfa|Hif3a|Rtn4|Rhoj|Mcam|Loxl2|Shb,-9.9
hits,GO Biological Processes,19,GO:0051960,regulation of nervous system development,19_GO:0032502 developmental process,-12,5.4,9.8,21160,581,176,26,15,2.7,11816|12306|12677|14168|14268|14580|15902|17755|17869|18479|18606|19242|19266|19645|19876|20315|20351|20450|20539|20788|21817|22339|22352|65945|68585|245450,Apoe|Anxa2|Vsx2|Fgf13|Fn1|Gfap|Id2|Map1b|Myc|Pak1|Enpp2|Ptn|Ptprd|Rb1|Robo1|Cxcl12|Sema4a|St8sia2|Slc7a5|Srebf2|Tgm2|Vegfa|Vim|Clstn1|Rtn4|Slitrk2,-9.1
hits,GO Biological Processes,19,GO:0051962,positive regulation of nervous system development,19_GO:0032502 developmental process,-11,6.6,10,21160,384,176,21,12,2.4,11816|14268|14580|15902|17755|17869|18479|18606|19242|19266|19876|20315|20351|20450|20539|21817|22339|22352|65945|68585|245450,Apoe|Fn1|Gfap|Id2|Map1b|Myc|Pak1|Enpp2|Ptn|Ptprd|Robo1|Cxcl12|Sema4a|St8sia2|Slc7a5|Tgm2|Vegfa|Vim|Clstn1|Rtn4|Slitrk2,-8.6
hits,GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-11,5.8,9.7,21160,476,176,23,13,2.5,11816|11852|12306|12389|12822|13609|14268|14367|14645|14756|18595|18799|19876|20315|20351|21802|22339|53417|68585|80837|84004|94352|230126,Apoe|Rhob|Anxa2|Cav1|Col18a1|S1pr1|Fn1|Fzd5|Glul|Gpld1|Pdgfra|Plcd1|Robo1|Cxcl12|Sema4a|Tgfa|Vegfa|Hif3a|Rtn4|Rhoj|Mcam|Loxl2|Shb,-8.5
hits,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-10,4.3,8.6,21160,782,176,28,16,2.8,11816|11852|12306|12389|12822|13609|14268|14367|14645|14756|15902|17869|18479|18595|18799|19876|20315|20351|21802|21817|22339|50768|53417|68585|80837|84004|94352|230126,Apoe|Rhob|Anxa2|Cav1|Col18a1|S1pr1|Fn1|Fzd5|Glul|Gpld1|Id2|Myc|Pak1|Pdgfra|Plcd1|Robo1|Cxcl12|Sema4a|Tgfa|Tgm2|Vegfa|Dlc1|Hif3a|Rtn4|Rhoj|Mcam|Loxl2|Shb,-7.8
hits,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-10,4.7,8.8,21160,633,176,25,14,2.6,11816|11852|12306|12389|12822|13609|14268|14367|14645|14756|18595|18799|19876|20315|20351|21802|22339|53417|67916|68585|80837|84004|93757|94352|230126,Apoe|Rhob|Anxa2|Cav1|Col18a1|S1pr1|Fn1|Fzd5|Glul|Gpld1|Pdgfra|Plcd1|Robo1|Cxcl12|Sema4a|Tgfa|Vegfa|Hif3a|Plpp3|Rtn4|Rhoj|Mcam|Immp2l|Loxl2|Shb,-7.7
hits,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-9.8,4.9,8.7,21160,593,176,24,14,2.6,11816|11852|12306|12389|12822|13609|14268|14367|14645|14756|18595|18799|19876|20315|20351|21802|22339|53417|67916|68585|80837|84004|94352|230126,Apoe|Rhob|Anxa2|Cav1|Col18a1|S1pr1|Fn1|Fzd5|Glul|Gpld1|Pdgfra|Plcd1|Robo1|Cxcl12|Sema4a|Tgfa|Vegfa|Hif3a|Plpp3|Rtn4|Rhoj|Mcam|Loxl2|Shb,-7.5
