Cluster,Score,Type,Gene,Symbol,Network
3,2.5,Clustered,83397,Akap12,hits_SUB1
3,2.5,Clustered,320557,Fam169a,hits_SUB1
3,2.5,Clustered,12389,Cav1,hits_SUB1
3,2.5,Clustered,109711,Actn1,hits_SUB1
3,2.5,Seed,27360,Add3,hits_SUB1
3,2.5,Clustered,84004,Mcam,hits_SUB1
1,2.142857142857143,Clustered,14751,Gpi1,hits_SUB1
1,2.142857142857143,Clustered,11674,Aldoa,hits_SUB1
1,2.142857142857143,Clustered,11676,Aldoc,hits_SUB1
1,2.142857142857143,Seed,21991,Tpi1,hits_SUB1
1,2.142857142857143,Clustered,56421,Pfkp,hits_SUB1
1,2.142857142857143,Clustered,16828,Ldha,hits_SUB1
1,2.142857142857143,Clustered,18648,Pgam1,hits_SUB1
4,1.7999999999999998,Seed,12822,Col18a1,hits_SUB1
4,1.7999999999999998,Clustered,12824,Col2a1,hits_SUB1
4,1.7999999999999998,Clustered,237759,Col23a1,hits_SUB1
4,1.7999999999999998,Clustered,12841,Col9a3,hits_SUB1
4,1.7999999999999998,Clustered,76477,Pcolce2,hits_SUB1
5,1.5,Seed,11816,Apoe,hits_SUB1
5,1.5,Clustered,27226,Pla2g7,hits_SUB1
5,1.5,Clustered,14756,Gpld1,hits_SUB1
5,1.5,Clustered,12759,Clu,hits_SUB1
6,1.25,Clustered,219140,Spata13,hits_SUB1
6,1.25,Clustered,109294,Prex2,hits_SUB1
6,1.25,Seed,20130,Rras,hits_SUB1
6,1.25,Clustered,66922,Rras2,hits_SUB1
2,1.1428571428571428,Clustered,73710,Tubb2b,hits_SUB1
2,1.1428571428571428,Clustered,56524,Pals2,hits_SUB1
2,1.1428571428571428,Clustered,21346,Tagln2,hits_SUB1
2,1.1428571428571428,Seed,13822,Epb41l2,hits_SUB1
2,1.1428571428571428,Clustered,56455,Dynll1,hits_SUB1
2,1.1428571428571428,Clustered,54725,Cadm1,hits_SUB1
2,1.1428571428571428,Clustered,22151,Tubb2a,hits_SUB1
7,1.0,Clustered,16337,Insr,hits_SUB1
7,1.0,Seed,22339,Vegfa,hits_SUB1
7,1.0,Clustered,16002,Igf2,hits_SUB1
7,1.0,Clustered,18595,Pdgfra,hits_SUB1
8,1.0,Clustered,18479,Pak1,hits_SUB1
8,1.0,Seed,59079,Erbin,hits_SUB1
8,1.0,Clustered,11852,Rhob,hits_SUB1
9,1.0,Seed,14681,Gnao1,hits_SUB1
9,1.0,Clustered,234267,Gpm6a,hits_SUB1
9,1.0,Clustered,232333,Slc6a1,hits_SUB1
