_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.2,TRR01347,M1,1,0,TRRUST,34,Regulated by: Sp1,,-7.2,4.7,7.4,21160,280,287,18,6.3,1.4,11758|11816|12013|12609|12824|14580|16337|16367|17436|17869|17988|18008|20527|20539|22070|22339|54725|216795,Prdx6|Apoe|Bach1|Cebpd|Col2a1|Gfap|Insr|Irs1|Me1|Myc|Ndrg1|Nes|Slc2a3|Slc7a5|Tpt1|Vegfa|Cadm1|Wnt9a,-4.6,0
1,-4.8,TRR01368,M1,1,0,TRRUST,34,Regulated by: Stat3,,-4.8,7.3,6.6,21160,81,287,8,2.8,0.97,12389|12609|13609|14580|16011|17869|20848|22339,Cav1|Cebpd|S1pr1|Gfap|Igfbp5|Myc|Stat3|Vegfa,-2.4,0
1,-4.1,TRR00838,M1,1,0,TRRUST,34,Regulated by: Myc,,-4.1,8.5,6.4,21160,52,287,6,2.1,0.84,12035|12389|12609|17869|17988|20511,Bcat1|Cav1|Cebpd|Myc|Ndrg1|Slc1a2,-2,0
1,-4.1,TRR01315,M1,1,0,TRRUST,34,Regulated by: Smad3,,-4.1,8.5,6.4,21160,52,287,6,2.1,0.84,12824|14268|17869|22070|22339|26360,Col2a1|Fn1|Myc|Tpt1|Vegfa|Angptl2,-2,0
1,-3.2,TRR01494,M1,1,0,TRRUST,34,Regulated by: Trp53,,-3.2,3.9,4.4,21160,172,287,9,3.1,1,12824|13476|15902|16337|17869|17988|19215|22070|56312,Col2a1|Reep5|Id2|Insr|Myc|Ndrg1|Ptgds|Tpt1|Nupr1,-1.3,0
1,-2.6,TRR01463,M1,1,0,TRRUST,34,Regulated by: Tcf4,,-2.6,11,5.1,21160,21,287,3,1,0.6,14268|15902|17869,Fn1|Id2|Myc,-0.7,0
1,-2.5,TRR01079,M1,1,0,TRRUST,34,Regulated by: Pax6,,-2.5,6.4,4.3,21160,46,287,4,1.4,0.69,11924|12677|19771|50781,Neurog2|Vsx2|Rlbp1|Dkk3,-0.64,0
1,-2.3,TRR00238,M1,1,0,TRRUST,34,Regulated by: E2f1,,-2.3,5.9,4.1,21160,50,287,4,1.4,0.69,18595|19645|22070|22339,Pdgfra|Rb1|Tpt1|Vegfa,-0.56,0
1,-2.3,TRR00149,M1,1,0,TRRUST,34,Regulated by: Cebpb,,-2.3,5.8,4,21160,51,287,4,1.4,0.69,12759|15902|16337|17869,Clu|Id2|Insr|Myc,-0.56,0
1,-2.1,TRR01504,M1,1,0,TRRUST,34,Regulated by: Twist1,,-2.1,7.4,4.1,21160,30,287,3,1,0.6,12824|18595|22793,Col2a1|Pdgfra|Zyx,-0.42,0
1,-2.1,TRR00322,M1,1,0,TRRUST,34,Regulated by: Esr1,,-2.1,7.1,4,21160,31,287,3,1,0.6,17869|20848|22339,Myc|Stat3|Vegfa,-0.41,0
