Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
PaGenBase,36,PGB:00269,Cell-specific: retinal pigment epithelium,,-11,5.2,9.7,21160,386,287,27,9.4,1.7,11932|12035|12759|12841|13170|17690|18606|18784|19215|19771|20132|20347|23831|29811|54403|57738|59049|74205|75552|216190|216739|231440|233744|234267|239857|268932|270162,Atp1b2|Bcat1|Clu|Col9a3|Dbp|Msi1|Enpp2|Pla2g5|Ptgds|Rlbp1|Rrh|Sema3b|Car14|Ndrg2|Slc4a4|Slc15a2|Slc22a17|Acsl3|Paqr9|Appl2|Acsl6|Parm1|Spon1|Gpm6a|Cadm2|Caskin1|Elmod1,-8.5,hits
TRRUST,34,TRR01347,Regulated by: Sp1,,-7.2,4.7,7.4,21160,280,287,18,6.3,1.4,11758|11816|12013|12609|12824|14580|16337|16367|17436|17869|17988|18008|20527|20539|22070|22339|54725|216795,Prdx6|Apoe|Bach1|Cebpd|Col2a1|Gfap|Insr|Irs1|Me1|Myc|Ndrg1|Nes|Slc2a3|Slc7a5|Tpt1|Vegfa|Cadm1|Wnt9a,-4.6,hits
TRRUST,34,TRR01368,Regulated by: Stat3,,-4.8,7.3,6.6,21160,81,287,8,2.8,0.97,12389|12609|13609|14580|16011|17869|20848|22339,Cav1|Cebpd|S1pr1|Gfap|Igfbp5|Myc|Stat3|Vegfa,-2.4,hits
PaGenBase,36,PGB:00259,Cell-specific: c2c12,,-4.6,3.3,5.2,21160,385,287,17,5.9,1.4,11443|11852|13175|13371|16002|17965|18008|23828|52118|53318|55983|65112|67374|70417|77125|97998|112407,Chrnb1|Rhob|Dclk1|Dio2|Igf2|Nbl1|Nes|Popdc1|Pvr|Pdlim3|Pdzrn3|Pmepa1|Jam2|Megf10|Il33|Deptor|Egln3,-2.3,hits
TRRUST,34,TRR01315,Regulated by: Smad3,,-4.1,8.5,6.4,21160,52,287,6,2.1,0.84,12824|14268|17869|22070|22339|26360,Col2a1|Fn1|Myc|Tpt1|Vegfa|Angptl2,-2,hits
TRRUST,34,TRR00838,Regulated by: Myc,,-4.1,8.5,6.4,21160,52,287,6,2.1,0.84,12035|12389|12609|17869|17988|20511,Bcat1|Cav1|Cebpd|Myc|Ndrg1|Slc1a2,-2,hits
PaGenBase,36,PGB:00276,Cell-specific: MEF,,-3.7,5.9,5.4,21160,88,287,7,2.4,0.91,11535|16002|56213|65112|83554|84004|94352,Adm|Igf2|Htra1|Pmepa1|Fstl3|Mcam|Loxl2,-1.6,hits
PaGenBase,36,PGB:00258,Cell-specific: medial olfactory epithelium,,-3.4,2.5,4.1,21160,532,287,18,6.3,1.4,11829|12759|14758|14866|14871|18606|19215|19242|19876|20315|59049|65945|75552|76477|77125|94353|216739|234267,Aqp4|Clu|Gpm6b|Gstm5|Gstt1|Enpp2|Ptgds|Ptn|Robo1|Cxcl12|Slc22a17|Clstn1|Paqr9|Pcolce2|Il33|Hmgn3|Acsl6|Gpm6a,-1.4,hits
PaGenBase,36,PGB:00278,Cell-specific: nih 3T3,,-3.4,4.6,4.8,21160,129,287,8,2.8,0.97,11568|12389|18414|18595|19220|80837|208777|216616,Aebp1|Cav1|Osmr|Pdgfra|Ptgfr|Rhoj|Sned1|Efemp1,-1.4,hits
PaGenBase,36,PGB:00289,Cell-specific: 3T3-L1,,-3.3,7.7,5.4,21160,48,287,5,1.7,0.77,18414|18595|20315|67916|112407,Osmr|Pdgfra|Cxcl12|Plpp3|Egln3,-1.4,hits
TRRUST,34,TRR01494,Regulated by: Trp53,,-3.2,3.9,4.4,21160,172,287,9,3.1,1,12824|13476|15902|16337|17869|17988|19215|22070|56312,Col2a1|Reep5|Id2|Insr|Myc|Ndrg1|Ptgds|Tpt1|Nupr1,-1.3,hits
PaGenBase,36,PGB:00250,Tissue-specific: fetus,,-2.8,12,5.6,21160,18,287,3,1,0.6,12824|12841|73710,Col2a1|Col9a3|Tubb2b,-0.87,hits
TRRUST,34,TRR01463,Regulated by: Tcf4,,-2.6,11,5.1,21160,21,287,3,1,0.6,14268|15902|17869,Fn1|Id2|Myc,-0.7,hits
TRRUST,34,TRR01079,Regulated by: Pax6,,-2.5,6.4,4.3,21160,46,287,4,1.4,0.69,11924|12677|19771|50781,Neurog2|Vsx2|Rlbp1|Dkk3,-0.64,hits
PaGenBase,36,PGB:00280,Cell-specific: microglia,,-2.4,6.3,4.2,21160,47,287,4,1.4,0.69,11829|14580|16513|170790,Aqp4|Gfap|Kcnj10|Mlc1,-0.63,hits
TRRUST,34,TRR00238,Regulated by: E2f1,,-2.3,5.9,4.1,21160,50,287,4,1.4,0.69,18595|19645|22070|22339,Pdgfra|Rb1|Tpt1|Vegfa,-0.56,hits
TRRUST,34,TRR00149,Regulated by: Cebpb,,-2.3,5.8,4,21160,51,287,4,1.4,0.69,12759|15902|16337|17869,Clu|Id2|Insr|Myc,-0.56,hits
PaGenBase,36,PGB:00221,Tissue-specific: eye,,-2.2,2.3,3,21160,382,287,12,4.2,1.2,11924|12841|17690|17967|18784|19771|20132|20511|50781|72925|76747|320557,Neurog2|Col9a3|Msi1|Ncam1|Pla2g5|Rlbp1|Rrh|Slc1a2|Dkk3|Marchf1|Dapl1|Fam169a,-0.49,hits
TRRUST,34,TRR01504,Regulated by: Twist1,,-2.1,7.4,4.1,21160,30,287,3,1,0.6,12824|18595|22793,Col2a1|Pdgfra|Zyx,-0.42,hits
TRRUST,34,TRR00322,Regulated by: Esr1,,-2.1,7.1,4,21160,31,287,3,1,0.6,17869|20848|22339,Myc|Stat3|Vegfa,-0.41,hits
