Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
18007,3.0,1,1,1
16002,3.0,1,1,1
19645,3.0,1,1,1
13822,3.0,1,1,1
19266,3.0,1,1,1
21817,3.0,1,1,1
109648,3.0,1,1,1
18606,3.0,1,1,1
12759,3.0,1,1,1
12822,3.0,1,1,1
104027,3.0,1,1,1
20511,3.0,1,1,1
29811,3.0,1,1,1
18595,3.0,1,1,1
52428,3.0,1,1,1
11829,3.0,1,1,1
19215,3.0,1,1,1
54725,3.0,1,1,1
14751,3.0,1,1,1
21802,3.0,1,1,1
18648,3.0,1,1,1
94352,3.0,1,1,1
22339,3.0,1,1,1
109711,3.0,1,1,1
14871,3.0,1,1,1
17869,3.0,1,1,1
66922,3.0,1,1,1
12349,3.0,1,1,1
27360,3.0,1,1,1
20539,3.0,1,1,1
83554,3.0,1,1,1
19876,3.0,1,1,1
108012,3.0,1,1,1
20351,3.0,1,1,1
20450,3.0,1,1,1
104099,3.0,1,1,1
59079,3.0,1,1,1
11671,3.0,1,1,1
14168,3.0,1,1,1
14367,3.0,1,1,1
11676,3.0,1,1,1
16367,3.0,1,1,1
71371,3.0,1,1,1
18799,3.0,1,1,1
12824,3.0,1,1,1
216739,3.0,1,1,1
17755,3.0,1,1,1
232333,3.0,1,1,1
232345,3.0,1,1,1
20168,3.0,1,1,1
50768,3.0,1,1,1
14284,3.0,1,1,1
211770,3.0,1,1,1
237759,3.0,1,1,1
80837,3.0,1,1,1
16011,3.0,1,1,1
11932,3.0,1,1,1
21991,3.0,1,1,1
83397,3.0,1,1,1
16828,3.0,1,1,1
84004,3.0,1,1,1
12035,3.0,1,1,1
101490,3.0,1,1,1
58998,3.0,1,1,1
268932,3.0,1,1,1
50527,3.0,1,1,1
22295,3.0,1,1,1
67916,3.0,1,1,1
109294,3.0,1,1,1
26921,3.0,1,1,1
56421,3.0,1,1,1
12841,3.0,1,1,1
76477,3.0,1,1,1
20848,3.0,1,1,1
11852,3.0,1,1,1
13609,3.0,1,1,1
27226,3.0,1,1,1
18784,3.0,1,1,1
81535,3.0,1,1,1
22151,3.0,1,1,1
18645,3.0,1,1,1
20229,3.0,1,1,1
