_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.4,GO:0048732,gland development,M1,1,0
1,-2.9,R-MMU-2142753,Arachidonate metabolism,M1,1,0
1,-3.2,GO:0022405,hair cycle process,M1,1,0
1,-3.7,mmu01200,Carbon metabolism - Mus musculus (house mouse),M1,1,0
1,-4,GO:0042939,tripeptide transport,M1,1,0
1,-5.2,GO:0090287,regulation of cellular response to growth factor stimulus,M1,1,0
1,-2.7,GO:0007596,blood coagulation,M1,1,0
1,-2.8,GO:1905907,negative regulation of amyloid fibril formation,M1,1,0
1,-2.6,R-MMU-70326,Glucose metabolism,M1,1,0
1,-7.6,GO:0022900,electron transport chain,M1,1,0
1,-4.5,GO:0010039,response to iron ion,M1,1,0
1,-2.9,mmu04216,Ferroptosis - Mus musculus (house mouse),M1,1,0
1,-4.6,GO:0097250,mitochondrial respirasome assembly,M1,1,0
1,-3.8,GO:0006643,membrane lipid metabolic process,M1,1,0
1,-8.5,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.9,GO:0071709,membrane assembly,M1,1,0
1,-2.4,GO:0032024,positive regulation of insulin secretion,M1,1,0
1,-2.3,mmu00600,Sphingolipid metabolism - Mus musculus (house mouse),M1,1,0
1,-3.6,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-2.1,GO:0030036,actin cytoskeleton organization,M1,1,0
1,-2.8,GO:0007009,plasma membrane organization,M1,1,0
1,-3,GO:0098660,inorganic ion transmembrane transport,M1,1,0
1,-2.6,mmu04512,ECM-receptor interaction - Mus musculus (house mouse),M1,1,0
1,-5.4,R-MMU-2046106,alpha-linolenic acid (ALA) metabolism,M1,1,0
1,-2.6,GO:0051338,regulation of transferase activity,M1,1,0
1,-6.1,mmu04142,Lysosome - Mus musculus (house mouse),M1,1,0
1,-2.3,GO:1904407,positive regulation of nitric oxide metabolic process,M1,1,0
1,-4.4,GO:0044403,biological process involved in symbiotic interaction,M1,1,0
1,-2.6,WP4466,Oxidative stress and redox pathway,M1,1,0
1,-3.7,GO:0045596,negative regulation of cell differentiation,M1,1,0
1,-3.1,GO:2000179,positive regulation of neural precursor cell proliferation,M1,1,0
1,-2.6,GO:0048568,embryonic organ development,M1,1,0
1,-2.2,GO:0008406,gonad development,M1,1,0
1,-2.3,GO:0007626,locomotory behavior,M1,1,0
1,-3.1,GO:0061620,glycolytic process through glucose-6-phosphate,M1,1,0
1,-3.2,GO:1904706,negative regulation of vascular associated smooth muscle cell proliferation,M1,1,0
1,-2.2,GO:0007007,inner mitochondrial membrane organization,M1,1,0
1,-8.3,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,M1,1,0
1,-2.6,GO:0071901,negative regulation of protein serine/threonine kinase activity,M1,1,0
1,-2,R-MMU-112409,RAF-independent MAPK1/3 activation,M1,1,0
1,-3.7,GO:1903829,positive regulation of protein localization,M1,1,0
1,-2,GO:0021872,forebrain generation of neurons,M1,1,0
1,-3.8,GO:0098655,monoatomic cation transmembrane transport,M1,1,0
1,-2.5,GO:0014015,positive regulation of gliogenesis,M1,1,0
1,-3.3,GO:0051346,negative regulation of hydrolase activity,M1,1,0
1,-2.8,GO:0031346,positive regulation of cell projection organization,M1,1,0
1,-2.2,GO:0060606,tube closure,M1,1,0
1,-3.9,GO:0044057,regulation of system process,M1,1,0
1,-3.1,GO:0015800,acidic amino acid transport,M1,1,0
1,-2.5,GO:0010766,negative regulation of sodium ion transport,M1,1,0
1,-2.4,GO:0034111,negative regulation of homotypic cell-cell adhesion,M1,1,0
1,-2.1,R-MMU-212436,Generic Transcription Pathway,M1,1,0
1,-2.5,GO:0045665,negative regulation of neuron differentiation,M1,1,0
1,-2.2,GO:0090162,establishment of epithelial cell polarity,M1,1,0
1,-2.2,GO:0009064,glutamine family amino acid metabolic process,M1,1,0
1,-2.1,mmu04960,Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse),M1,1,0
1,-4.9,GO:1905906,regulation of amyloid fibril formation,M1,1,0
1,-2.7,GO:0050821,protein stabilization,M1,1,0
1,-3.5,GO:0046718,symbiont entry into host cell,M1,1,0
1,-4.6,GO:0010639,negative regulation of organelle organization,M1,1,0
1,-2.8,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-2.4,GO:0048880,sensory system development,M1,1,0
1,-2.1,GO:0031069,hair follicle morphogenesis,M1,1,0
1,-4.2,GO:0034103,regulation of tissue remodeling,M1,1,0
1,-2.7,GO:0042761,very long-chain fatty acid biosynthetic process,M1,1,0
1,-5.7,R-MMU-8978868,Fatty acid metabolism,M1,1,0
1,-4,WP2573,Primary focal segmental glomerulosclerosis FSGS,M1,1,0
1,-2.7,GO:0007617,mating behavior,M1,1,0
1,-3,R-MMU-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",M1,1,0
1,-2.1,GO:0035567,non-canonical Wnt signaling pathway,M1,1,0
1,-2.6,R-MMU-6811434,COPI-dependent Golgi-to-ER retrograde traffic,M1,1,0
1,-4.1,GO:0006790,sulfur compound metabolic process,M1,1,0
1,-2.5,R-MMU-204005,COPII-mediated vesicle transport,M1,1,0
1,-2.1,R-MMU-156590,Glutathione conjugation,M1,1,0
1,-3.2,GO:0090596,sensory organ morphogenesis,M1,1,0
1,-2.5,GO:0071616,acyl-CoA biosynthetic process,M1,1,0
1,-3,R-MMU-8856688,Golgi-to-ER retrograde transport,M1,1,0
1,-3.9,GO:0098801,regulation of renal system process,M1,1,0
1,-3.6,GO:0071363,cellular response to growth factor stimulus,M1,1,0
1,-2,GO:0070085,glycosylation,M1,1,0
1,-2.6,GO:0061077,chaperone-mediated protein folding,M1,1,0
1,-2,GO:0038084,vascular endothelial growth factor signaling pathway,M1,1,0
1,-2.9,GO:0030336,negative regulation of cell migration,M1,1,0
1,-2.9,GO:0046457,prostanoid biosynthetic process,M1,1,0
1,-3.4,R-MMU-9013405,RHOD GTPase cycle,M1,1,0
1,-3,GO:0032272,negative regulation of protein polymerization,M1,1,0
