Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
PaGenBase,36,PGB:00269,Cell-specific: retinal pigment epithelium,,-25,6.4,15,21160,386,431,50,12,1.5,11932|12759|12828|12829|12837|14183|14607|14725|14734|18424|18431|19062|19215|19682|19771|19879|20132|20347|20377|20745|21859|22041|27276|28250|29813|29873|50766|54612|55987|57764|57811|58909|60613|66042|74199|74413|79235|81907|83603|98711|99887|208634|209195|226255|235611|245049|277468|329872|329941|100040591,Atp1b2|Clu|Col4a3|Col4a4|Col8a1|Fgfr2|Gip|Lrp2|Gpc3|Otx2|Oca2|Inpp5k|Ptgds|Rdh5|Rlbp1|Slc22a8|Rrh|Sema3b|Sfrp1|Spock1|Timp3|Trf|Plekhb1|Slco1a4|Zfp385a|Cspg5|Crim1|Sfrp5|Cpxm2|Ntn4|Rgr|Fam13a|Kcnq4|Sostdc1|Vit|Tc2n|Lrat|Tmem108|Elovl4|Rdh10|Tlcd4|Tspan10|Clic6|Atrnl1|Plxnb1|Myrip|Slc39a12|Frem1|Col8a2|Kcnj13,-22,hits
PaGenBase,36,PGB:00221,Tissue-specific: eye,,-3.5,2.4,4.1,21160,382,431,19,4.4,0.99,13039|13190|14368|17364|18424|19682|19739|19771|20132|20431|20745|57811|74199|83603|98396|109910|208634|329941|100040591,Ctsl|Dct|Fzd6|Trpm1|Otx2|Rdh5|Rgs9|Rlbp1|Rrh|Pmel|Spock1|Rgr|Vit|Elovl4|Slc41a1|Zfp91|Tspan10|Col8a2|Kcnj13,-0.79,hits
TRRUST,34,TRR01347,Regulated by: Sp1,,-3.2,2.6,4,21160,280,431,15,3.5,0.88,11803|11816|11820|12857|17289|17295|17319|18008|19224|20525|21859|22041|22070|22339|96979,Aplp1|Apoe|App|Cox4i1|Mertk|Met|Mif|Nes|Ptgs1|Slc2a1|Timp3|Trf|Tpt1|Vegfa|Ptges2,-0.68,hits
TRRUST,34,TRR00997,Regulated by: Nrf1,,-3,8.5,5.2,21160,23,431,4,0.93,0.46,11931|12857|16423|17748,Atp1b1|Cox4i1|Cd47|Mt1,-0.61,hits
TRRUST,34,TRR00951,Regulated by: Nfkb1,,-2.9,2.8,3.8,21160,210,431,12,2.8,0.79,11816|14319|14630|15205|19125|19211|19224|20525|20682|21859|22339|30948,Apoe|Fth1|Gclm|Hes1|Prodh|Pten|Ptgs1|Slc2a1|Sox9|Timp3|Vegfa|Bin1,-0.61,hits
TRRUST,34,TRR00179,Regulated by: Ctnnb1,,-2.6,4.3,4,21160,68,431,6,1.4,0.56,14609|14645|17295|18424|20525|22339,Gja1|Glul|Met|Otx2|Slc2a1|Vegfa,-0.48,hits
TRRUST,34,TRR00817,Regulated by: Mitf,,-2.6,6.8,4.5,21160,29,431,4,0.93,0.46,13190|17295|17364|20431,Dct|Met|Trpm1|Pmel,-0.48,hits
TRRUST,34,TRR01494,Regulated by: Trp53,,-2.5,2.9,3.5,21160,172,431,10,2.3,0.73,15902|17295|17748|18538|19164|19211|19215|22070|29813|319520,Id2|Met|Mt1|Pcna|Psen1|Pten|Ptgds|Tpt1|Zfp385a|Dusp4,-0.48,hits
TRRUST,34,TRR00238,Regulated by: E2f1,,-2.5,4.9,4,21160,50,431,5,1.2,0.52,17289|18538|22070|22339|30948,Mertk|Pcna|Tpt1|Vegfa|Bin1,-0.45,hits
TRRUST,34,TRR00323,Regulated by: Esr2,,-2.3,8.2,4.4,21160,18,431,3,0.7,0.4,19215|19224|22339,Ptgds|Ptgs1|Vegfa,-0.29,hits
TRRUST,34,TRR01314,Regulated by: Smad2,,-2.1,7.4,4.1,21160,20,431,3,0.7,0.4,15205|23876|56208,Hes1|Fbln5|Becn1,-0.2,hits
TRRUST,34,TRR01076,Regulated by: Pax3,,-2,6.7,3.9,21160,22,431,3,0.7,0.4,13190|15205|17295,Dct|Hes1|Met,-0.16,hits
TRRUST,34,TRR00553,Regulated by: Hif1a,,-2,6.7,3.9,21160,22,431,3,0.7,0.4,17242|17748|22339,Mdk|Mt1|Vegfa,-0.16,hits
