Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0050953,sensory perception of light stimulus,19_GO:0032501 multicellular organismal process,-19,10,15,21160,167,330,27,8.2,1.5,11304|12296|12951|14685|14913|17921|18587|18588|19023|19133|19739|19881|20028|20147|22157|22248|24013|54652|73750|77974|94220|107477|224224|225004|225998|243923|245650,Abca4|Cacnb2|Crx|Gnat1|Guca1a|Myo7a|Pde6b|Pde6g|Ppef2|Prph2|Rgs9|Rom1|Pdc|Rs1|Tulp1|Unc119|Grk1|Cacna1f|Whrn|Rdh12|Cnnm4|Guca1b|Impg2|Pcare|Rorb|Rgs9bp|Gucy2f,-15,hits
GO Biological Processes,19,GO:0007601,visual perception,19_GO:0032501 multicellular organismal process,-18,10,15,21160,163,330,26,7.9,1.5,11304|12296|12951|14685|14913|17921|18587|18588|19023|19133|19739|19881|20028|20147|22157|22248|24013|54652|77974|94220|107477|224224|225004|225998|243923|245650,Abca4|Cacnb2|Crx|Gnat1|Guca1a|Myo7a|Pde6b|Pde6g|Ppef2|Prph2|Rgs9|Rom1|Pdc|Rs1|Tulp1|Unc119|Grk1|Cacna1f|Rdh12|Cnnm4|Guca1b|Impg2|Pcare|Rorb|Rgs9bp|Gucy2f,-14,hits
GO Biological Processes,19,GO:0009583,detection of light stimulus,19_GO:0050896 response to stimulus,-12,15,13,21160,54,330,13,3.9,1.1,14685|14688|14699|14913|18587|19133|19881|22157|54652|107477|225004|243923|245650,Gnat1|Gnb1|Gngt1|Guca1a|Pde6b|Prph2|Rom1|Tulp1|Cacna1f|Guca1b|Pcare|Rgs9bp|Gucy2f,-8,hits
GO Biological Processes,19,GO:0060041,retina development in camera-type eye,19_GO:0032502 developmental process,-12,6.7,10,21160,212,330,22,6.7,1.4,11481|11789|12951|14281|14685|14688|15165|17245|18185|18587|19126|19133|19881|20147|20848|22157|24013|54652|56297|67269|224224|225998,Acvr2b|Apc|Crx|Fos|Gnat1|Gnb1|Hcn1|Mdm1|Nrl|Pde6b|Prom1|Prph2|Rom1|Rs1|Stat3|Tulp1|Grk1|Cacna1f|Arl6|Agtpbp1|Impg2|Rorb,-7.9,hits
KEGG Pathway,24,mmu04744,Phototransduction - Mus musculus (house mouse),,-11,24,15,21160,27,330,10,3,0.94,14685|14688|14699|14913|18587|18588|19739|24013|107477|245650,Gnat1|Gnb1|Gngt1|Guca1a|Pde6b|Pde6g|Rgs9|Grk1|Guca1b|Gucy2f,-7.8,hits
Reactome Gene Sets,6,R-MMU-2187338,Visual phototransduction,,-10,11,11,21160,85,330,14,4.2,1.1,11304|14685|14688|14699|14725|14913|17921|18587|18588|20970|77974|107477|243923|245650,Abca4|Gnat1|Gnb1|Gngt1|Lrp2|Guca1a|Myo7a|Pde6b|Pde6g|Sdc3|Rdh12|Guca1b|Rgs9bp|Gucy2f,-6.8,hits
GO Biological Processes,19,GO:0046530,photoreceptor cell differentiation,19_GO:0032502 developmental process,-9.9,9.9,11,21160,91,330,14,4.2,1.1,14685|14699|15165|18185|19126|19133|19881|20848|22157|24013|67269|225004|225998|238021,Gnat1|Gngt1|Hcn1|Nrl|Prom1|Prph2|Rom1|Stat3|Tulp1|Grk1|Agtpbp1|Pcare|Rorb|Fscn2,-6.5,hits
Reactome Gene Sets,6,R-MMU-2514856,The phototransduction cascade,,-9.7,21,13,21160,27,330,9,2.7,0.9,14685|14688|14699|14913|18587|18588|107477|243923|245650,Gnat1|Gnb1|Gngt1|Guca1a|Pde6b|Pde6g|Guca1b|Rgs9bp|Gucy2f,-6.4,hits
GO Biological Processes,19,GO:0048880,sensory system development,19_GO:0032502 developmental process,-9.5,4,8.2,21160,470,330,29,8.8,1.6,11481|11622|11789|12951|14281|14685|14688|14699|15165|16476|17245|17684|18185|18587|19126|19133|19881|20147|20848|22157|22241|24013|26401|54652|56297|67269|224224|225998|238021,Acvr2b|Ahr|Apc|Crx|Fos|Gnat1|Gnb1|Gngt1|Hcn1|Jun|Mdm1|Cited2|Nrl|Pde6b|Prom1|Prph2|Rom1|Rs1|Stat3|Tulp1|Ulk1|Grk1|Map3k1|Cacna1f|Arl6|Agtpbp1|Impg2|Rorb|Fscn2,-6.2,hits
GO Biological Processes,19,GO:0001654,eye development,19_GO:0032502 developmental process,-9,3.9,7.9,21160,460,330,28,8.5,1.5,11481|11622|11789|12951|14281|14685|14688|14699|15165|16476|17245|17684|18185|18587|19126|19133|19881|20147|20848|22157|24013|26401|54652|56297|67269|224224|225998|238021,Acvr2b|Ahr|Apc|Crx|Fos|Gnat1|Gnb1|Gngt1|Hcn1|Jun|Mdm1|Cited2|Nrl|Pde6b|Prom1|Prph2|Rom1|Rs1|Stat3|Tulp1|Grk1|Map3k1|Cacna1f|Arl6|Agtpbp1|Impg2|Rorb|Fscn2,-5.8,hits
