Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0051493,regulation of cytoskeleton organization,19_GO:0050789 regulation of biological process,-6.4,2.3,5.8,21160,557,758,45,5.9,0.86,11465|12562|12576|12632|13169|13494|15182|15461|16202|17886|17926|18484|18596|18708|18709|18754|18763|18846|19062|20194|20356|20410|20740|20742|21803|26419|27360|30948|56430|66616|68041|68810|72042|76123|76441|76709|99889|100732|101497|102774|110380|208177|213556|225523|234094,Actg1|Cdh5|Cdkn1b|Cfl2|Dbnl|Drg1|Hdac2|Hras|Ilk|Myh9|Myoc|Pam|Pdgfrb|Pik3r1|Pik3r2|Prkce|Pkd1|Plxna3|Inpp5k|S100a10|Sema5a|Sorbs3|Sptan1|Sptbn1|Tgfb1|Mapk8|Add3|Bin1|Clip1|Snx9|Mid1ip1|Nexn|Cotl1|Gpsm2|Daam2|Arpc2|Arfip1|Mapre3|Plekhg2|Bbs4|Shroom2|Phldb2|Plekhh2|Cep120|Arhgef10,-2.6,hits
Reactome Gene Sets,6,R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-6.4,2.2,5.8,21160,577,758,46,6.1,0.87,11465|11671|12461|15516|16443|16449|16563|17886|17978|18708|18709|19053|19386|20619|20742|21873|22142|22143|27360|56389|56430|59009|64652|67037|69668|70827|75669|76709|77480|94190|98932|101497|106628|170791|192662|213498|219140|226849|227613|227937|233489|234094|238505|242202|319899|330177,Actg1|Aldh3a2|Cct2|Hsp90ab1|Itsn1|Jag1|Kif2a|Myh9|Ncoa2|Pik3r1|Pik3r2|Ppp2cb|Ranbp2|Snap23|Sptbn1|Tjp2|Tuba1a|Tuba1b|Add3|Stx5a|Clip1|Sh3rf1|Nisch|Pmf1|Ccdc115|Trak2|Pik3r4|Arpc2|Kidins220|Ophn1|Myl9|Plekhg2|Trip10|Rbm39|Arhgdia|Arhgef11|Spata13|Ppp2r5a|Tubb4b|Pkp4|Picalm|Arhgef10|Mtr|Pde5a|Dock6|Taok3,-2.6,hits
Reactome Gene Sets,6,R-MMU-194315,Signaling by Rho GTPases,,-6.3,2.2,5.7,21160,562,758,45,5.9,0.86,11465|11671|12461|15516|16443|16449|16563|17886|17978|18708|18709|19053|19386|20619|20742|21873|22142|22143|27360|56389|56430|59009|64652|67037|69668|75669|76709|77480|94190|98932|101497|106628|170791|192662|213498|219140|226849|227613|227937|233489|234094|238505|242202|319899|330177,Actg1|Aldh3a2|Cct2|Hsp90ab1|Itsn1|Jag1|Kif2a|Myh9|Ncoa2|Pik3r1|Pik3r2|Ppp2cb|Ranbp2|Snap23|Sptbn1|Tjp2|Tuba1a|Tuba1b|Add3|Stx5a|Clip1|Sh3rf1|Nisch|Pmf1|Ccdc115|Pik3r4|Arpc2|Kidins220|Ophn1|Myl9|Plekhg2|Trip10|Rbm39|Arhgdia|Arhgef11|Spata13|Ppp2r5a|Tubb4b|Pkp4|Picalm|Arhgef10|Mtr|Pde5a|Dock6|Taok3,-2.6,hits
GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-6.2,2.5,5.8,21160,408,758,36,4.7,0.77,11465|12562|12576|12632|13169|13494|15182|17886|17926|18708|18709|18754|19062|20194|20356|20410|20740|20742|26419|27360|30948|56430|66616|68041|72042|76441|76709|99889|100732|101497|102774|110380|208177|213556|234094|234407,Actg1|Cdh5|Cdkn1b|Cfl2|Dbnl|Drg1|Hdac2|Myh9|Myoc|Pik3r1|Pik3r2|Prkce|Inpp5k|S100a10|Sema5a|Sorbs3|Sptan1|Sptbn1|Mapk8|Add3|Bin1|Clip1|Snx9|Mid1ip1|Cotl1|Daam2|Arpc2|Arfip1|Mapre3|Plekhg2|Bbs4|Shroom2|Phldb2|Plekhh2|Arhgef10|Colgalt1,-2.5,hits
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-5.8,2,5.3,21160,782,758,55,7.3,0.94,11465|12306|12505|13666|13805|13809|13819|13844|13845|14182|14368|14595|14645|14726|15213|15229|15446|16000|16202|16372|16449|16911|17286|17313|17684|17886|18081|18208|18596|18763|18799|19211|20315|20356|20397|21803|21810|21817|27428|53417|57875|59308|66515|67122|67836|74123|74143|74533|102774|105278|216274|234366|269152|320736|320878,Actg1|Anxa2|Cd44|Eif2ak3|Eng|Enpep|Epas1|Ephb2|Ephb3|Fgfr1|Fzd6|B4galt1|Glul|Pdpn|Hey1|Foxd1|Hpgd|Igf1|Ilk|Irx2|Jag1|Lmo4|Meox2|Mgp|Cited2|Myh9|Ninj1|Ntn1|Pdgfrb|Pkd1|Plcd1|Pten|Cxcl12|Sema5a|Sgpl1|Tgfb1|Tgfbi|Tgm2|Shroom3|Hif3a|Angptl4|Emcn|Cul7|Nrarp|Wdr83|Foxp4|Opa1|Gzf1|Bbs4|Cdk20|Cep290|Gatad2a|Kif26b|Vstm4|Mical2,-2.3,hits
GO Biological Processes,19,GO:0032956,regulation of actin cytoskeleton organization,19_GO:0050789 regulation of biological process,-5.8,2.5,5.6,21160,371,758,33,4.4,0.74,11465|12632|13169|15182|15461|16202|17886|17926|18484|18596|18708|18709|18754|19062|20194|20356|20410|20740|20742|21803|27360|30948|66616|72042|76441|76709|99889|101497|102774|110380|208177|213556|234094,Actg1|Cfl2|Dbnl|Hdac2|Hras|Ilk|Myh9|Myoc|Pam|Pdgfrb|Pik3r1|Pik3r2|Prkce|Inpp5k|S100a10|Sema5a|Sorbs3|Sptan1|Sptbn1|Tgfb1|Add3|Bin1|Snx9|Cotl1|Daam2|Arpc2|Arfip1|Plekhg2|Bbs4|Shroom2|Phldb2|Plekhh2|Arhgef10,-2.3,hits
GO Biological Processes,19,GO:0042176,regulation of protein catabolic process,19_GO:0050789 regulation of biological process,-5.7,2.5,5.5,21160,374,758,33,4.4,0.74,12306|12328|12576|13010|13194|13666|14694|15516|18550|18763|19186|19188|19358|20620|24086|26419|28075|56371|56389|59009|66498|66616|68077|69807|70247|77125|83814|94190|101240|210992|229317|260302|414872,Anxa2|Caml|Cdkn1b|Cst3|Ddb1|Eif2ak3|Rack1|Hsp90ab1|Furin|Pkd1|Psme1|Psme2|Rad23a|Plk2|Tlk2|Mapk8|Desi1|Fzr1|Stx5a|Sh3rf1|Dda1|Snx9|Nop53|Trim32|Psmd1|Il33|Nedd4l|Ophn1|Wdr91|Lpcat1|Eif2a|Gga3|Zyg11b,-2.3,hits
Reactome Gene Sets,6,R-MMU-109582,Hemostasis,,-5.6,2.2,5.3,21160,505,758,40,5.3,0.81,11465|12258|12306|12505|12527|14697|14701|14726|15182|15461|16000|16440|16563|17540|18708|18709|18754|19053|19091|20194|20655|21803|21824|22142|22143|22612|56248|60595|66053|66066|67072|68038|226849|227613|242202|268373|268936|269152|271457|319899,Actg1|Serping1|Anxa2|Cd44|Cd9|Gnb5|Gng12|Pdpn|Hdac2|Hras|Igf1|Itpr3|Kif2a|Irag1|Pik3r1|Pik3r2|Prkce|Ppp2cb|Prkg1|S100a10|Sod1|Tgfb1|Thbd|Tuba1a|Tuba1b|Yes1|Ak3|Actn4|Ppil2|Gng11|Cdc37l1|Chid1|Ppp2r5a|Tubb4b|Pde5a|Ppia|Brpf3|Kif26b|Rab5a|Dock6,-2.3,hits
GO Biological Processes,19,GO:0051960,regulation of nervous system development,19_GO:0032502 developmental process,-5.6,2.1,5.2,21160,581,758,44,5.8,0.85,12010|12306|12724|13169|13666|13844|13845|14567|15182|15213|16000|16202|17344|18208|18708|18846|19211|19280|20182|20194|20315|20356|20869|20893|21803|21817|22059|22241|26419|30948|56708|56710|64085|66515|69807|70827|71436|74143|76441|77125|228357|233489|239250|399558,B2m|Anxa2|Clcn2|Dbnl|Eif2ak3|Ephb2|Ephb3|Gdi1|Hdac2|Hey1|Igf1|Ilk|Pias2|Ntn1|Pik3r1|Plxna3|Pten|Ptprs|Rxrb|S100a10|Cxcl12|Sema5a|Stk11|Bhlhe40|Tgfb1|Tgm2|Trp53|Ulk1|Mapk8|Bin1|Clcf1|Brinp1|Clstn2|Cul7|Trim32|Trak2|Flrt3|Opa1|Daam2|Il33|Lrp4|Picalm|Slitrk6|Flrt2,-2.3,hits
GO Biological Processes,19,GO:0110053,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-5.3,2.6,5.4,21160,286,758,27,3.6,0.67,11465|12632|13169|17886|17926|18708|18709|18754|19062|20194|20356|20410|20740|20742|27360|30948|66616|72042|76441|76709|99889|101497|102774|110380|208177|213556|234094,Actg1|Cfl2|Dbnl|Myh9|Myoc|Pik3r1|Pik3r2|Prkce|Inpp5k|S100a10|Sema5a|Sorbs3|Sptan1|Sptbn1|Add3|Bin1|Snx9|Cotl1|Daam2|Arpc2|Arfip1|Plekhg2|Bbs4|Shroom2|Phldb2|Plekhh2|Arhgef10,-2.1,hits
