_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.2,GO:0010564,regulation of cell cycle process,M1,1,0
1,-2.3,R-MMU-1483255,PI Metabolism,M1,1,0
1,-2.5,GO:0030036,actin cytoskeleton organization,M1,1,0
1,-2.7,GO:0007009,plasma membrane organization,M1,1,0
1,-2.5,R-MMU-73854,RNA Polymerase I Promoter Clearance,M1,1,0
1,-2.2,R-MMU-5683057,MAPK family signaling cascades,M1,1,0
1,-2.4,GO:0051338,regulation of transferase activity,M1,1,0
1,-2.2,GO:0045665,negative regulation of neuron differentiation,M1,1,0
1,-2.3,GO:1904851,positive regulation of establishment of protein localization to telomere,M1,1,0
1,-2,GO:0045666,positive regulation of neuron differentiation,M1,1,0
1,-3,GO:0045724,positive regulation of cilium assembly,M1,1,0
1,-2.6,GO:0090051,negative regulation of cell migration involved in sprouting angiogenesis,M1,1,0
1,-2.2,WP450,IL 2 signaling pathway,M1,1,0
1,-2.5,WP1560,MicroRNAs in cardiomyocyte hypertrophy,M1,1,0
1,-4.2,GO:0001654,eye development,M1,1,0
1,-2.4,GO:0019319,hexose biosynthetic process,M1,1,0
1,-2.6,mmu04360,Axon guidance - Mus musculus (house mouse),M1,1,0
1,-3.4,GO:0043254,regulation of protein-containing complex assembly,M1,1,0
1,-2.2,GO:0034405,response to fluid shear stress,M1,1,0
1,-2,R-MMU-2500257,Resolution of Sister Chromatid Cohesion,M1,1,0
1,-2.1,GO:0019432,triglyceride biosynthetic process,M1,1,0
1,-2.1,GO:0006611,protein export from nucleus,M1,1,0
1,-2.5,GO:0031346,positive regulation of cell projection organization,M1,1,0
1,-2.3,R-MMU-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER,M1,1,0
1,-2.2,GO:0060606,tube closure,M1,1,0
1,-2.2,R-MMU-212436,Generic Transcription Pathway,M1,1,0
1,-3.7,GO:0050770,regulation of axonogenesis,M1,1,0
1,-3.9,R-MMU-9006931,Signaling by Nuclear Receptors,M1,1,0
1,-2.1,R-MMU-9013106,RHOC GTPase cycle,M1,1,0
1,-2.3,GO:0010927,cellular component assembly involved in morphogenesis,M1,1,0
1,-2.7,WP3855,Dysregulated miRNA targeting in insulin PI3K AKT signaling,M1,1,0
1,-2.2,GO:0098727,maintenance of cell number,M1,1,0
1,-3.5,mmu04213,Longevity regulating pathway - multiple species - Mus musculus (house mouse),M1,1,0
1,-3.6,GO:0071709,membrane assembly,M1,1,0
1,-3.5,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2.4,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-3.1,GO:0007265,Ras protein signal transduction,M1,1,0
1,-2.3,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.4,GO:0009132,nucleoside diphosphate metabolic process,M1,1,0
1,-2.5,GO:0034329,cell junction assembly,M1,1,0
1,-2.2,GO:0032908,regulation of transforming growth factor beta1 production,M1,1,0
1,-2.9,GO:0090596,sensory organ morphogenesis,M1,1,0
1,-2.9,GO:0046579,positive regulation of Ras protein signal transduction,M1,1,0
1,-3.4,GO:0090685,RNA localization to nucleus,M1,1,0
1,-2.3,GO:0061448,connective tissue development,M1,1,0
1,-2,WP373,IL 3 signaling pathway,M1,1,0
1,-2.9,GO:0022011,myelination in peripheral nervous system,M1,1,0
1,-2.1,R-MMU-199418,Negative regulation of the PI3K/AKT network,M1,1,0
1,-4.3,GO:0045732,positive regulation of protein catabolic process,M1,1,0
1,-3.5,R-MMU-6804758,Regulation of TP53 Activity through Acetylation,M1,1,0
1,-3.2,GO:0045932,negative regulation of muscle contraction,M1,1,0
1,-2.6,R-MMU-6798695,Neutrophil degranulation,M1,1,0
1,-2.1,GO:0043482,cellular pigment accumulation,M1,1,0
1,-2.2,mmu05162,Measles - Mus musculus (house mouse),M1,1,0
1,-2.9,GO:0016358,dendrite development,M1,1,0
1,-2.1,GO:0048839,inner ear development,M1,1,0
1,-3.8,GO:0050821,protein stabilization,M1,1,0
1,-2.4,GO:1902115,regulation of organelle assembly,M1,1,0
1,-2.1,GO:0030336,negative regulation of cell migration,M1,1,0
1,-2.3,GO:0038127,ERBB signaling pathway,M1,1,0
1,-2.9,R-MMU-2682334,EPH-Ephrin signaling,M1,1,0
1,-3.1,GO:0007507,heart development,M1,1,0
1,-2,GO:0097435,supramolecular fiber organization,M1,1,0
1,-2.7,WP5051,Na K ATPase Src signaling,M1,1,0
1,-3.3,GO:1902117,positive regulation of organelle assembly,M1,1,0
1,-4.4,GO:0048880,sensory system development,M1,1,0
1,-4.3,GO:0007167,enzyme-linked receptor protein signaling pathway,M1,1,0
1,-2.1,GO:0051301,cell division,M1,1,0
1,-3,WP2573,Primary focal segmental glomerulosclerosis FSGS,M1,1,0
1,-2.7,GO:0060249,anatomical structure homeostasis,M1,1,0
1,-4.2,mmu04933,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse),M1,1,0
1,-3.1,mmu03020,RNA polymerase - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0046940,nucleoside monophosphate phosphorylation,M1,1,0
1,-3.9,GO:1903829,positive regulation of protein localization,M1,1,0
1,-2,GO:1903053,regulation of extracellular matrix organization,M1,1,0
1,-2,GO:0021761,limbic system development,M1,1,0
1,-3.6,mmu05165,Human papillomavirus infection - Mus musculus (house mouse),M1,1,0
1,-5.3,GO:0110053,regulation of actin filament organization,M1,1,0
1,-2.5,GO:0001764,neuron migration,M1,1,0
1,-5.1,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-3.5,GO:0009612,response to mechanical stimulus,M1,1,0
1,-2.8,GO:0044092,negative regulation of molecular function,M1,1,0
1,-2.6,GO:0018105,peptidyl-serine phosphorylation,M1,1,0
1,-2.8,mmu04910,Insulin signaling pathway - Mus musculus (house mouse),M1,1,0
1,-3.1,GO:0043547,positive regulation of GTPase activity,M1,1,0
1,-2.9,WP1244,Estrogen signaling,M1,1,0
1,-2.8,GO:1902396,protein localization to bicellular tight junction,M1,1,0
1,-3.4,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,M1,1,0
1,-3.1,GO:1901888,regulation of cell junction assembly,M1,1,0
1,-2.2,GO:0090160,Golgi to lysosome transport,M1,1,0
1,-2.2,mmu00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (house mouse),M1,1,0
1,-5,GO:0032970,regulation of actin filament-based process,M1,1,0
1,-2.1,GO:1903844,regulation of cellular response to transforming growth factor beta stimulus,M1,1,0
1,-3.2,GO:0045664,regulation of neuron differentiation,M1,1,0
1,-2.1,GO:0051963,regulation of synapse assembly,M1,1,0
1,-4.8,GO:0001822,kidney development,M1,1,0
1,-3,mmu04540,Gap junction - Mus musculus (house mouse),M1,1,0
1,-3.2,mmu04150,mTOR signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.9,R-MMU-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,M1,1,0
1,-5,GO:0048858,cell projection morphogenesis,M1,1,0
1,-3.3,GO:0005996,monosaccharide metabolic process,M1,1,0
1,-2.3,GO:2000491,positive regulation of hepatic stellate cell activation,M1,1,0
1,-2.1,GO:0051056,regulation of small GTPase mediated signal transduction,M1,1,0
1,-2.1,GO:0051169,nuclear transport,M1,1,0
1,-2,GO:0045926,negative regulation of growth,M1,1,0
1,-2,GO:2001234,negative regulation of apoptotic signaling pathway,M1,1,0
1,-2.1,GO:0072070,loop of Henle development,M1,1,0
1,-4.5,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.8,GO:0016051,carbohydrate biosynthetic process,M1,1,0
1,-2.5,GO:2000045,regulation of G1/S transition of mitotic cell cycle,M1,1,0
1,-2.6,R-MMU-186763,Downstream signal transduction,M1,1,0
