Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0051493,regulation of cytoskeleton organization,19_GO:0050789 regulation of biological process,-9,2.9,7.4,21160,557,555,42,7.6,1.1,11465|12562|12576|12632|13169|13494|15182|15461|16202|17886|17926|18484|18596|18708|18709|18754|18763|18846|19062|20194|20356|20410|20740|20742|21803|26419|27360|30948|56430|66616|68810|72042|76123|76441|76709|99889|100732|101497|102774|110380|208177|225523,Actg1|Cdh5|Cdkn1b|Cfl2|Dbnl|Drg1|Hdac2|Hras|Ilk|Myh9|Myoc|Pam|Pdgfrb|Pik3r1|Pik3r2|Prkce|Pkd1|Plxna3|Inpp5k|S100a10|Sema5a|Sorbs3|Sptan1|Sptbn1|Tgfb1|Mapk8|Add3|Bin1|Clip1|Snx9|Nexn|Cotl1|Gpsm2|Daam2|Arpc2|Arfip1|Mapre3|Plekhg2|Bbs4|Shroom2|Phldb2|Cep120,-4.9
hits,Reactome Gene Sets,6,R-MMU-8953897,Cellular responses to stimuli,,-8.8,2.9,7.3,21160,543,555,41,7.4,1.1,11966|12306|12567|12576|13627|13666|13819|13875|14697|14701|15270|15516|17684|17978|19175|19386|20463|20655|20657|22059|22142|22143|26419|27354|53417|53598|56371|64384|66066|66403|67605|68024|70247|76650|77891|84682|112407|216805|216850|227613|333182,Atp6v1b2|Anxa2|Cdk4|Cdkn1b|Eef1a1|Eif2ak3|Epas1|Erf|Gnb5|Gng12|H2ax|Hsp90ab1|Cited2|Ncoa2|Psmb6|Ranbp2|Cox7a2l|Sod1|Sod3|Trp53|Tuba1a|Tuba1b|Mapk8|Nbn|Hif3a|Dctn3|Fzr1|Sirt3|Gng11|Asf1a|Akt1s1|H2bc4|Psmd1|Srxn1|Ube2s|Cox4i2|Egln3|Flcn|Kdm6b|Tubb4b|Cox6b2,-4.9
hits,Reactome Gene Sets,6,R-MMU-2262752,Cellular responses to stress,,-8.3,2.9,7.1,21160,480,555,37,6.7,1.1,11966|12567|12576|13627|13666|13819|13875|15270|15516|17684|17978|19175|19386|20463|20655|20657|22059|22142|22143|26419|27354|53417|53598|56371|64384|66403|67605|68024|70247|76650|77891|84682|112407|216805|216850|227613|333182,Atp6v1b2|Cdk4|Cdkn1b|Eef1a1|Eif2ak3|Epas1|Erf|H2ax|Hsp90ab1|Cited2|Ncoa2|Psmb6|Ranbp2|Cox7a2l|Sod1|Sod3|Trp53|Tuba1a|Tuba1b|Mapk8|Nbn|Hif3a|Dctn3|Fzr1|Sirt3|Asf1a|Akt1s1|H2bc4|Psmd1|Srxn1|Ube2s|Cox4i2|Egln3|Flcn|Kdm6b|Tubb4b|Cox6b2,-4.5
hits,WikiPathways,27,WP2841,Focal adhesion PI3K Akt mTOR signaling pathway,,-8.1,3.4,7.2,21160,322,555,29,5.2,0.94,12015|12576|13639|13819|14182|14701|15461|15516|16000|16779|18596|18708|18709|19053|19211|20525|20869|21827|21828|22241|23928|53417|66066|67605|75669|213119|226849|240752|384783,Bad|Cdkn1b|Efna4|Epas1|Fgfr1|Gng12|Hras|Hsp90ab1|Igf1|Lamb2|Pdgfrb|Pik3r1|Pik3r2|Ppp2cb|Pten|Slc2a1|Stk11|Thbs3|Thbs4|Ulk1|Lamc3|Hif3a|Gng11|Akt1s1|Pik3r4|Itga10|Ppp2r5a|Pik3c2b|Irs2,-4.4
hits,GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-7.9,3.1,7,21160,408,555,33,5.9,1,11465|12562|12576|12632|13169|13494|15182|17886|17926|18708|18709|18754|19062|20194|20356|20410|20740|20742|26419|27360|30948|56430|66616|72042|76441|76709|99889|100732|101497|102774|110380|208177|234407,Actg1|Cdh5|Cdkn1b|Cfl2|Dbnl|Drg1|Hdac2|Myh9|Myoc|Pik3r1|Pik3r2|Prkce|Inpp5k|S100a10|Sema5a|Sorbs3|Sptan1|Sptbn1|Mapk8|Add3|Bin1|Clip1|Snx9|Cotl1|Daam2|Arpc2|Arfip1|Mapre3|Plekhg2|Bbs4|Shroom2|Phldb2|Colgalt1,-4.4
hits,GO Biological Processes,19,GO:0032956,regulation of actin cytoskeleton organization,19_GO:0050789 regulation of biological process,-7.8,3.2,7,21160,371,555,31,5.6,0.97,11465|12632|13169|15182|15461|16202|17886|17926|18484|18596|18708|18709|18754|19062|20194|20356|20410|20740|20742|21803|27360|30948|66616|72042|76441|76709|99889|101497|102774|110380|208177,Actg1|Cfl2|Dbnl|Hdac2|Hras|Ilk|Myh9|Myoc|Pam|Pdgfrb|Pik3r1|Pik3r2|Prkce|Inpp5k|S100a10|Sema5a|Sorbs3|Sptan1|Sptbn1|Tgfb1|Add3|Bin1|Snx9|Cotl1|Daam2|Arpc2|Arfip1|Plekhg2|Bbs4|Shroom2|Phldb2,-4.3
hits,Reactome Gene Sets,6,R-MMU-109582,Hemostasis,,-7.7,2.8,6.7,21160,505,555,37,6.7,1.1,11465|12306|12505|12527|14697|14701|14726|15182|15461|16000|16440|16563|17540|18708|18709|18754|19053|19091|20194|20655|21803|21824|22142|22143|22612|60595|66053|66066|67072|68038|226849|227613|242202|268373|268936|269152|271457,Actg1|Anxa2|Cd44|Cd9|Gnb5|Gng12|Pdpn|Hdac2|Hras|Igf1|Itpr3|Kif2a|Irag1|Pik3r1|Pik3r2|Prkce|Ppp2cb|Prkg1|S100a10|Sod1|Tgfb1|Thbd|Tuba1a|Tuba1b|Yes1|Actn4|Ppil2|Gng11|Cdc37l1|Chid1|Ppp2r5a|Tubb4b|Pde5a|Ppia|Brpf3|Kif26b|Rab5a,-4.3
hits,Reactome Gene Sets,6,R-MMU-194315,Signaling by Rho GTPases,,-7.4,2.6,6.5,21160,562,555,39,7,1.1,11465|11671|12461|15516|16443|16449|16563|17886|17978|18708|18709|19053|19386|20619|20742|21873|22142|22143|27360|56389|56430|59009|64652|69668|75669|76709|77480|98932|101497|106628|170791|192662|219140|226849|227613|233489|238505|242202|330177,Actg1|Aldh3a2|Cct2|Hsp90ab1|Itsn1|Jag1|Kif2a|Myh9|Ncoa2|Pik3r1|Pik3r2|Ppp2cb|Ranbp2|Snap23|Sptbn1|Tjp2|Tuba1a|Tuba1b|Add3|Stx5a|Clip1|Sh3rf1|Nisch|Ccdc115|Pik3r4|Arpc2|Kidins220|Myl9|Plekhg2|Trip10|Rbm39|Arhgdia|Spata13|Ppp2r5a|Tubb4b|Picalm|Mtr|Pde5a|Taok3,-4.1
hits,GO Biological Processes,19,GO:0090066,regulation of anatomical structure size,19_GO:0065007 biological regulation,-7.2,2.6,6.4,21160,594,555,40,7.2,1.1,11607|12567|12632|13169|14567|15516|16202|17540|18208|18709|18754|18846|19091|19211|20315|20356|20655|20657|20740|20742|20928|22241|27360|30948|60596|66616|67605|72042|75620|76441|76709|101497|102774|110380|214063|233489|240672|242202|271457|320736,Agtr1a|Cdk4|Cfl2|Dbnl|Gdi1|Hsp90ab1|Ilk|Irag1|Ntn1|Pik3r2|Prkce|Plxna3|Prkg1|Pten|Cxcl12|Sema5a|Sod1|Sod3|Sptan1|Sptbn1|Abcc9|Ulk1|Add3|Bin1|Gucy1a1|Snx9|Akt1s1|Cotl1|Kxd1|Daam2|Arpc2|Plekhg2|Bbs4|Shroom2|Dnajc16|Picalm|Dusp5|Pde5a|Rab5a|Vstm4,-4
hits,GO Biological Processes,19,GO:0042176,regulation of protein catabolic process,19_GO:0050789 regulation of biological process,-7.2,3.1,6.6,21160,374,555,30,5.4,0.96,12306|12576|13010|13194|13666|14694|15516|18550|18763|19186|19188|19358|20620|24086|26419|28075|56371|56389|59009|66498|66616|68077|69807|70247|77125|83814|210992|229317|260302|414872,Anxa2|Cdkn1b|Cst3|Ddb1|Eif2ak3|Rack1|Hsp90ab1|Furin|Pkd1|Psme1|Psme2|Rad23a|Plk2|Tlk2|Mapk8|Desi1|Fzr1|Stx5a|Sh3rf1|Dda1|Snx9|Nop53|Trim32|Psmd1|Il33|Nedd4l|Lpcat1|Eif2a|Gga3|Zyg11b,-3.9
