Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
16202,3.0,1,1,1
23918,3.0,1,1,1
244373,3.0,1,1,1
66235,3.0,1,1,1
66420,3.0,1,1,1
16779,3.0,1,1,1
78255,3.0,1,1,1
15516,3.0,1,1,1
12010,3.0,1,1,1
27360,3.0,1,1,1
227613,3.0,1,1,1
17281,3.0,1,1,1
12461,3.0,1,1,1
14735,3.0,1,1,1
16706,3.0,1,1,1
56473,3.0,1,1,1
214498,3.0,1,1,1
18763,3.0,1,1,1
18799,3.0,1,1,1
12804,3.0,1,1,1
20410,3.0,1,1,1
21803,3.0,1,1,1
21817,3.0,1,1,1
12400,3.0,1,1,1
17684,3.0,1,1,1
11607,3.0,1,1,1
56421,3.0,1,1,1
15182,3.0,1,1,1
170791,3.0,1,1,1
330177,3.0,1,1,1
66616,3.0,1,1,1
67160,3.0,1,1,1
21873,3.0,1,1,1
15461,3.0,1,1,1
110816,3.0,1,1,1
12562,3.0,1,1,1
53417,3.0,1,1,1
18754,3.0,1,1,1
13010,3.0,1,1,1
20184,3.0,1,1,1
28075,3.0,1,1,1
23888,3.0,1,1,1
59009,3.0,1,1,1
77480,3.0,1,1,1
218693,3.0,1,1,1
60596,3.0,1,1,1
14369,3.0,1,1,1
14701,3.0,1,1,1
14726,3.0,1,1,1
12496,3.0,1,1,1
74551,3.0,1,1,1
22059,3.0,1,1,1
20655,3.0,1,1,1
20742,3.0,1,1,1
69714,3.0,1,1,1
20525,3.0,1,1,1
242202,3.0,1,1,1
14697,3.0,1,1,1
20869,3.0,1,1,1
219140,3.0,1,1,1
216274,3.0,1,1,1
13805,3.0,1,1,1
232944,3.0,1,1,1
68024,3.0,1,1,1
286940,3.0,1,1,1
17150,3.0,1,1,1
20851,3.0,1,1,1
223697,3.0,1,1,1
17022,3.0,1,1,1
110750,3.0,1,1,1
218629,3.0,1,1,1
74533,3.0,1,1,1
11513,3.0,1,1,1
235040,3.0,1,1,1
14319,3.0,1,1,1
320234,3.0,1,1,1
231329,3.0,1,1,1
