GroupID,Category,Term,Description,LogP,Log(q-value),Genes,Symbols,InTerm_InList,Cluster
1_Summary,GO Biological Processes,GO:0050953,sensory perception of light stimulus,-19.09369408,-14.85,###############################################################################################################################################################################################################################################################,"Abca4,Cacnb2,Crx,Gnat1,Guca1a,Myo7a,Pde6b,Pde6g,Ppef2,Prph2,Rgs9,Rom1,Pdc,Rs1,Tulp1,Unc119,Grk1,Cacna1f,Whrn,Rdh12,Cnnm4,Guca1b,Impg2,Pcare,Rorb,Rgs9bp,Gucy2f,Gnb1,Gngt1,Lrp2,Sdc3,Gnb3,Cirbp,Fos,Pik3r1,Sgk1,Gpsm2,Map4k3,Egr1",39/-,Rp
2_Summary,GO Biological Processes,GO:0060041,retina development in camera-type eye,-11.58153328,-7.94,"11,481,117,891,295,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Acvr2b,Apc,Crx,Fos,Gnat1,Gnb1,Hcn1,Mdm1,Nrl,Pde6b,Prom1,Prph2,Rom1,Rs1,Stat3,Tulp1,Grk1,Cacna1f,Arl6,Agtpbp1,Impg2,Rorb,Gngt1,Pcare,Fscn2,Ahr,Jun,Cited2,Ulk1,Map3k1,Fgf2,Myo7a,Esrrb,Ttc39c,Whrn",35/-,Rp
3_Summary,GO Biological Processes,GO:0046365,monosaccharide catabolic process,-6.22517,-3.396,1.53E+223,"Hk1,Foxk1,Pfkfb2,Pfkl,Tpi1,Pfkp,Dhdh,Glb1l2,Hk2,Nt5e,Pals2,Gfpt1,Ranbp2,Slc16a1,Alpl,Nadk2,Hspa1b,Ndufa12,Pik3r1,Man2a2,Stat3,Camk2d,Pdk1,Atp1a1,Plcb4,Gucy2f,Ncoa2,Egr1,Rock2,Kcnb1,Ptprn,Nr1d1,Fgf2,Il6st,Uqcrfs1,Mtfr1,Chchd10,Nsun4,Lrpprc,Hspa1a,Acadvl,Lpin1,Glo1",43/-,Rp
4_Summary,GO Biological Processes,GO:0030522,intracellular receptor signaling pathway,-6.0782858,-3.266,"11,622,117,981,537,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Ahr,Xiap,Nr4a1,Ncoa2,Stat3,Esrrg,Irf7,Sirt2,Lsm14a,Ipo5,Ppargc1b,Rorb,Tnip2,Nr1d2",14/-,Rp
5_Summary,GO Biological Processes,GO:0019725,cellular homeostasis,-5.336988485,-2.65,"11647,11789,11928,12296,12709,13615,14645,14695,15275,15277,16500,17425,18708,19275,20393,20530,22063,53416,54652,68585,72961,76257,94220,104394,108058,109676,217166,230872,277973,11740,14173,14725,15165,18798,20273,20501,20614,66694,67712,83814,211480,231503,269615,57776,23959","Alpl,Apc,Atp1a1,Cacnb2,Ckb,Edn2,Glul,Gnb3,Hk1,Hk2,Kcnb1,Foxk1,Pik3r1,Ptprn,Sgk1,Slc31a2,Trpc1,Stk39,Cacna1f,Rtn4,Slc17a7,Slc38a3,Cnnm4,E2f4,Camk2d,Ank2,Nr1d1,Crocc,Slc9a5,Slc25a5,Fgf2,Lrp2,Hcn1,Plcb4,Scn8a,Slc16a1,Snap25,Uqcrfs1,Slc25a37,Nedd4l,Kcnj14,Tmem150c,Plch2,Ttyh1,Nt5e",45/-,Rp
1_Summary,KEGG Pathway,mmu00190,Oxidative phosphorylation,-17.01913699,-12.775,"11984,12857,12859,12861,12864,12867,12868,22272,54405,57423,66046,66142,66152,66377,66414,66445,66594,67126,67184,68194,68197,68375,78330,108664,110323,407785,11429,20917,235339,18604,18746,66359,226757,11816,11820,12313,13001,14368,18174,19164,20168,21937,22143,23996,26442,56208,277468,11430,11674,15275,18655,21351,21881,26384,27357,13033,19211,20525,14828,15481,20867,14859,17295,22339,11773,14775,73916,18643,66734,110379,11931,11932,232975,12628,18102,15488,22139,52538,54325,68801,83603,69064,83965,15212,17434,27388,55980,13200,14426,20014,20442,56375,66357,107895,108148,140481,70544,14630,15519,30055,66092,67067,67811","Atp6v0c,Cox4i1,Cox5b,Cox6a1,Cox6c,Cox7c,Cox8a,Uqcrq,Ndufa1,Atp5mf,Ndufb5,Cox7b,Uqcr10,Ndufc1,Ndufa12,Cyc1,Uqcr11,Atp5f1e,Ndufa13,Ndufb4,Ndufc2,Ndufa8,Ndufv3,Atp6v1h,Cox6b1,Ndufs6,Aco2,Suclg2,Dlat,Pdk2,Pkm,Cox20,Wdr26,Apoe,App,Calm1,Csnk2b,Fzd6,Slc11a2,Psen1,Rtn3,Tnfrsf1a,Tuba1b,Psmc4,Psma5,Becn1,Slc39a12,Acox1,Aldoa,Hk1,Pgk1,Taldo1,Tkt,Gnpda1,Gyg1,Ctsd,Pten,Slc2a1,Hspa5,Hspa8,Stip1,Gsta3,Met,Vegfa,Ap2m1,Gpx1,Ift57,Pfn1,Map1lc3a,Sec13,Atp1b1,Atp1b2,Atp1a3,Cfh,Nme1,Hsd17b4,Ttr,Acaa2,Elovl1,Elovl5,Elovl4,Fuom,Enpp5,Hexb,Mocs2,Ptdss2,Impa1,Ddost,Galnt4,Rpn2,St3gal1,B4galt4,Ostc,Mgat5,Galnt2,Man2a2,Tmem242,Gclm,Hsp90aa1,Timm13,Ghitm,Romo1,Poldip2",103/-,RPE
2_Summary,GO Biological Processes,GO:0051651,maintenance of location in cell,-8.691199565,-5.845,"11,816,146,091,482,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Apoe,Gja1,Hspa5,Hdac3,Hexb,Hk1,Pfn1,Psen1,Twf1,Tmsb4x,Sorl1,Tmed2,Lrat,Insig1,Ankrd13c,Fbn1,Flna,Chmp4b,Spcs3,Srp54b",20/-,RPE
3_Summary,GO Biological Processes,GO:0051129,negative regulation of cellular component organization,-8.478262165,-5.666,"11816,11820,12010,12759,13010,14183,14569,14775,14828,15205,15481,16410,16423,17295,18643,19062,19164,19211,19230,19241,19261,19268,20333,20393,20660,20682,20742,20745,21937,22339,22601,24010,27360,52538,56208,66092,67199,83964,102098,107351,192176,225020,233977,14609,19303,30948,58859,277468,15519,215449,234839,18008,52004,75608,235611,246710,11773,11855,15516,17919,26941,232341,11553,14630,19224,12317,14107,16691,20377,22027,22041,72333,208846","Apoe,App,B2m,Clu,Cst3,Fgfr2,Gdi2,Gpx1,Hspa5,Hes1,Hspa8,Itgav,Cd47,Met,Pfn1,Inpp5k,Psen1,Pten,Twf1,Tmsb4x,Sirpa,Ptprf,Sec22b,Sgk1,Sorl1,Sox9,Sptbn1,Spock1,Tnfrsf1a,Vegfa,Yap1,Ik,Add3,Acaa2,Becn1,Ghitm,Pfdn1,Jam3,Arhgef18,Kank1,Flna,Fez2,Ppfia1,Gja1,Pxn,Bin1,Efemp2,Slc39a12,Hsp90aa1,Rap1b,Piezo1,Nes,Cdk2ap2,Chmp4b,Plxnb1,Rhobtb2,Ap2m1,Arhgap5,Hsp90ab1,Myo5b,Nherf1,Wnk1,Adra2c,Gclm,Ptgs1,Calr,Fat1,Krt8,Sfrp1,Hsp90b1,Trf,Palld,Daam1",73/-,RPE
4_Summary,GO Biological Processes,GO:0035239,tube morphogenesis - RPE,-8.4120717,-5.615,"11816,12628,12822,12837,13001,14183,14368,14609,14645,14725,14734,14775,15205,15902,16410,16423,17295,18212,18643,19164,19211,19303,20351,20377,20397,20682,20733,22339,22601,54612,56208,56334,58859,66042,69683,73916,83964,98711,114249,192176,277468,320910,329941","Apoe,Cfh,Col18a1,Col8a1,Csnk2b,Fgfr2,Fzd6,Gja1,Glul,Lrp2,Gpc3,Gpx1,Hes1,Id2,Itgav,Cd47,Met,Ntrk2,Pfn1,Psen1,Pten,Pxn,Sema4a,Sfrp1,Sgpl1,Sox9,Spint2,Vegfa,Yap1,Sfrp5,Becn1,Tmed2,Efemp2,Sostdc1,Emc10,Ift57,Jam3,Rdh10,Npnt,Flna,Slc39a12,Itgb8,Col8a2",43/-,RPE
5_Summary,GO Biological Processes,GO:0043603,amide metabolic process,-8.055900996,-5.356,"1,303,914,598,146,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Ctsl,Ggt1,Gclm,Gpx1,Gsta3,Gstp1,Hexb,Hsd17b4,Furin,Psap,Psen1,Sgpl1,St3gal1,Smpd1,Suclg2,Hsp90b1,Gnpda1,Acaa2,Elovl1,Becn1,B4galt4,Yipf5,Elovl5,Cers5,Pdzd11,Elovl4,Sptssa,Dlat,Itgb8,Fads3,Idua,Ahcyl2,Mat2a,Sulf1",34/-,RPE
