"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Stk35",8.60939639331305e-05,2.48866453138497,0.692,0.074,1
"Ibtk",0.000529507367510854,-2.63784426246346,0.077,0.667,1
"Rogdi",0.00054470399482083,2.05792550912786,0.692,0.185,1
"Tent5c",0.000760246766168895,3.35970944818599,0.385,0,1
"Mmd",0.000934010690295945,1.9201153045592,0.769,0.222,1
"Lgals3bp",0.00147654681516967,1.80418442329782,0.769,0.222,1
"S100pbp",0.00158206132207534,2.38136714823112,0.538,0.074,1
"Dnm1l",0.00166610257486879,-2.36843906823338,0.077,0.593,1
"Ecpas",0.00181645684484758,1.30673388758435,0.923,0.444,1
"Acvr1b",0.00270206014343514,2.41130732301382,0.538,0.111,1
"Atp1b1",0.00300647109529732,3.39416353633077,0.308,0,1
"Rwdd2b",0.00300647109529732,2.90705513776123,0.308,0,1
"Tnfrsf14",0.00300647109529732,2.74915921415801,0.308,0,1
"Sfmbt1",0.00300647109529732,2.44914436616403,0.308,0,1
"Bst2",0.00314836389973597,1.63404152704797,0.769,0.444,1
"Nfic",0.00327260330677384,-1.72482511096141,0.077,0.63,1
"Ddx50",0.00330629890374304,1.34065807874215,0.846,0.407,1
"Gabarap",0.00353793014456705,-0.625457665462104,0.846,1,1
"Hook2",0.00395688212529461,2.67829339027229,0.385,0.037,1
"Ndufab1",0.00462931865442512,1.81015127019598,0.615,0.148,1
"Psmc5",0.00482792277052404,1.16827935017702,0.846,0.519,1
"Pdha1",0.00509123391205392,-1.04453526837244,0.538,0.815,1
"Mtch2",0.00516257530306503,1.81021981790115,0.615,0.222,1
"Homer1",0.00518251859542723,-1.18374275865923,0.462,0.815,1
"Lpp",0.00542498385798362,1.46797490630084,0.769,0.407,1
"Ctbp2",0.0066231709280321,1.08545747244861,0.846,0.556,1
"Pde1b",0.00665431635971935,-1.15535538359359,0.385,0.889,1
"Hspbp1",0.00678838828160797,2.00552249794714,0.462,0.074,1
"Rnf20",0.00685658742028402,-1.65314825894066,0.154,0.593,1
"H2-T23",0.00702471080153324,2.11557941402359,0.385,0.037,1
"Ripor1",0.00702471080153324,1.82857488589492,0.385,0.037,1
"Skint3",0.00716068579211922,1.71362542009712,0.615,0.148,1
"Nipa2",0.0075859163603552,1.09521317796702,0.846,0.519,1
"Adprh",0.00783410440095016,-0.618363560384193,0.769,0.926,1
"Cyth4",0.00788066757745909,0.650326987046902,1,0.889,1
"Use1",0.0078894140037131,0.518628743778406,1,0.926,1
"Ier3ip1",0.00818287685937699,1.03786703965234,0.846,0.593,1
"Rxylt1",0.00823419125469023,1.86996202647629,0.538,0.148,1
"Alox5",0.00826065133143383,-2.01469571652007,0.077,0.556,1
"Fchsd2",0.00868036398481754,2.24813686422242,0.462,0.074,1
"Seh1l",0.00894077082206934,1.21217355199433,0.846,0.444,1
"Tsc22d1",0.00917096837501244,-2.54732488931077,0,0.407,1
"N4bp1",0.00940557648825609,-1.09666179228024,0.538,0.815,1
"Arih2",0.00946753224448155,0.741996182422575,0.923,0.741,1
"Rbm33",0.00959380950787991,-0.863206910059575,0.538,0.852,1
"Pttg1",0.00985242489224967,-1.22389616866803,0.462,0.704,1
"Ctcf",0.00999475040861553,1.36888959990598,0.692,0.259,1
"L3mbtl3",0.0100996131087849,2.41451388661054,0.385,0.074,1
"Ndufaf7",0.0102654880628123,-1.42397679296829,0.231,0.667,1
"Rasgrp4",0.0104361416298305,0.956628835830984,0.846,0.704,1
"Psmd11",0.0107207872316449,-1.16941339534608,0.308,0.741,1
"Ccpg1",0.0108814897001775,-0.954677096443777,0.615,0.815,1
"Cd209c",0.0114449702603725,3.06057134458558,0.231,0,1
