Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:1902895,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-6.6,23,11,21160,58,96,6,6.2,2.5,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-2.4,hits
GO Biological Processes,19,GO:2000630,positive regulation of miRNA metabolic process,19_GO:0048518 positive regulation of biological process,-6.3,20,11,21160,65,96,6,6.2,2.5,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-2.4,hits
GO Biological Processes,19,GO:1902893,regulation of miRNA transcription,19_GO:0050789 regulation of biological process,-5.8,17,9.5,21160,78,96,6,6.2,2.5,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-2.1,hits
GO Biological Processes,19,GO:2000628,regulation of miRNA metabolic process,19_GO:0050789 regulation of biological process,-5.3,14,8.5,21160,95,96,6,6.2,2.5,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-1.8,hits
Reactome Gene Sets,6,R-MMU-450282,MAPK targets/ Nuclear events mediated by MAP kinases,,-5.3,34,11,21160,26,96,4,4.2,2,14281|16476|67603|101568,Fos|Jun|Dusp6|Vrk3,-1.8,hits
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0009987 cellular process,-5.2,4.9,6.2,21160,542,96,12,12,3.4,12609|12611|13653|14281|14282|16476|16478|18508|18708|20807|50794|80859,Cebpd|Cebpg|Egr1|Fos|Fosb|Jun|Jund|Pax6|Pik3r1|Srf|Klf13|Nfkbiz,-1.8,hits
WikiPathways,27,WP2432,Spinal cord injury,,-5.2,13,8.2,21160,101,96,6,6.2,2.5,11852|12227|12824|13653|14281|22695,Rhob|Btg2|Col2a1|Egr1|Fos|Zfp36,-1.8,hits
GO Biological Processes,19,GO:0048545,response to steroid hormone,19_GO:0050896 response to stimulus,-5.1,6.8,6.7,21160,293,96,9,9.4,3,12192|14281|14282|16476|16478|16601|18708|22695|56338,Zfp36l1|Fos|Fosb|Jun|Jund|Klf9|Pik3r1|Zfp36|Txnip,-1.8,hits
WikiPathways,27,WP65,Insulin signaling,,-5.1,9.7,7.4,21160,159,96,7,7.3,2.7,13653|14281|16476|18708|20525|20807|108079,Egr1|Fos|Jun|Pik3r1|Slc2a1|Srf|Prkaa2,-1.8,hits
GO Biological Processes,19,GO:0071276,cellular response to cadmium ion,19_GO:0050896 response to stimulus,-4.9,28,10,21160,32,96,4,4.2,2,14281|16476|17748|17750,Fos|Jun|Mt1|Mt2,-1.7,hits
GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0009987 cellular process,-4.9,5.5,6.1,21160,400,96,10,10,3.1,13653|14281|14282|16476|16478|18508|18708|20807|50794|80859,Egr1|Fos|Fosb|Jun|Jund|Pax6|Pik3r1|Srf|Klf13|Nfkbiz,-1.7,hits
