_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-6.603590337011219,GO:0048518,positive regulation of biological process,M1,1,GO:1902895 positive regulation of miRNA transcription
1,-5.832759523333044,GO:0050789,regulation of biological process,M1,1,GO:1902893 regulation of miRNA transcription
1,-5.204355306573107,GO:0009987,cellular process,M1,1,GO:0006351 DNA-templated transcription
1,-5.125819316420534,GO:0050896,response to stimulus,M1,1,GO:0048545 response to steroid hormone
1,-4.837344525903727,GO:0042592,homeostatic process,M1,1,GO:0045647 negative regulation of erythrocyte differentiation
1,-4.534474793151524,GO:0032502,developmental process,M1,1,GO:0001944 vasculature development
1,-4.430629800644556,GO:0048519,negative regulation of biological process,M1,1,GO:0008285 negative regulation of cell population proliferation
1,-3.619086813671615,GO:0002376,immune system process,M1,1,GO:1903706 regulation of hemopoiesis
1,-3.5297574815455115,GO:0040007,growth,M1,1,GO:0040008 regulation of growth
1,-3.5138702437281273,GO:0048511,rhythmic process,M1,1,GO:0032922 circadian regulation of gene expression
1,-3.241460948520379,GO:0065007,biological regulation,M1,1,GO:0051099 positive regulation of binding
1,-2.689152225623917,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
1,-2.6212345612045347,GO:0051179,localization,M1,1,GO:0051028 mRNA transport
1,-2.2407237283167416,GO:0032501,multicellular organismal process,M1,1,GO:0007611 learning or memory
