_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.603590337011219,GO:1902895,M1,1,0,GO Biological Processes,19,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-6.603590337011219,22.801724137931036,11.224210174394013,21160,58,96,6,6.25,2.4705294220065466,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-2.3621638105500176,0,1,1,1,-6.603590337011219,33.910256410256416,
1,-6.304890955915966,GO:2000630,M1,1,0,GO Biological Processes,19,positive regulation of miRNA metabolic process,19_GO:0048518 positive regulation of biological process,-6.304890955915966,20.346153846153847,10.545673308146405,21160,65,96,6,6.25,2.4705294220065466,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-2.3621638105500176,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-5.832759523333044,GO:1902893,M1,1,0,GO Biological Processes,19,regulation of miRNA transcription,19_GO:0050789 regulation of biological process,-5.832759523333044,16.955128205128204,9.530253610713704,21160,78,96,6,6.25,2.4705294220065466,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-2.0661236370227765,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-5.330259991920737,GO:2000628,M1,1,0,GO Biological Processes,19,regulation of miRNA metabolic process,19_GO:0050789 regulation of biological process,-5.330259991920737,13.921052631578947,8.52102283545865,21160,95,96,6,6.25,2.4705294220065466,13018|13653|14281|16476|18508|20807,Ctcf|Egr1|Fos|Jun|Pax6|Srf,-1.8039186369611198,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-5.258952395995896,R-MMU-450282,M1,1,0,Reactome Gene Sets,6,MAPK targets/ Nuclear events mediated by MAP kinases,,-5.258952395995896,33.910256410256416,11.335478333675239,21160,26,96,4,4.166666666666667,2.039468771609502,14281|16476|67603|101568,Fos|Jun|Dusp6|Vrk3,-1.8039186369611198,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-5.204355306573107,GO:0006351,M1,1,0,GO Biological Processes,19,DNA-templated transcription,19_GO:0009987 cellular process,-5.204355306573107,4.880073800738008,6.17773286128575,21160,542,96,12,12.5,3.375385780420761,12609|12611|13653|14281|14282|16476|16478|18508|18708|20807|50794|80859,Cebpd|Cebpg|Egr1|Fos|Fosb|Jun|Jund|Pax6|Pik3r1|Srf|Klf13|Nfkbiz,-1.8039186369611198,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-5.093433268551725,WP65,M1,1,0,WikiPathways,27,Insulin signaling,,-5.093433268551725,9.703878406708595,7.437109104280629,21160,159,96,7,7.291666666666667,2.653610480491801,13653|14281|16476|18708|20525|20807|108079,Egr1|Fos|Jun|Pik3r1|Slc2a1|Srf|Prkaa2,-1.8039186369611198,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.859015370940899,GO:0006366,M1,1,0,GO Biological Processes,19,transcription by RNA polymerase II,19_GO:0009987 cellular process,-4.859015370940899,5.510416666666666,6.148168296772433,21160,400,96,10,10.416666666666666,3.1177578118173557,13653|14281|14282|16476|16478|18508|18708|20807|50794|80859,Egr1|Fos|Fosb|Jun|Jund|Pax6|Pik3r1|Srf|Klf13|Nfkbiz,-1.6727686309214216,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.773417417702173,mmu05166,M1,1,0,KEGG Pathway,24,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),,-4.773417417702173,7.139001349527666,6.551651672466948,21160,247,96,8,8.333333333333334,2.8208466682763755,13653|14281|16476|18708|20525|20807|22695|217232,Egr1|Fos|Jun|Pik3r1|Slc2a1|Srf|Zfp36|Cdc27,-1.6436036289790794,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.394651871408851,GO:0071248,M1,1,0,GO Biological Processes,19,cellular response to metal ion,19_GO:0050896 response to stimulus,-4.394651871408851,7.563316993464053,6.359120166318296,21160,204,96,7,7.291666666666667,2.653610480491801,14281|14282|16476|16478|17748|17750|108079,Fos|Fosb|Jun|Jund|Mt1|Mt2|Prkaa2,-1.3550147130348462,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.346071300086972,GO:0071277,M1,1,0,GO Biological Processes,19,cellular response to calcium ion,19_GO:0050896 response to stimulus,-4.346071300086972,12.814922480620154,7.411726363103136,21160,86,96,5,5.208333333333333,2.2677691801411686,14281|14282|16476|16478|108079,Fos|Fosb|Jun|Jund|Prkaa2,-1.3327630804353163,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.217111429900706,GO:0051592,M1,1,0,GO Biological Processes,19,response to calcium ion,19_GO:0050896 response to stimulus,-4.217111429900706,8.875838926174497,6.512974249560792,21160,149,96,6,6.25,2.4705294220065466,14281|14282|16476|16478|56338|108079,Fos|Fosb|Jun|Jund|Txnip|Prkaa2,-1.2286267939740823,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.0608021832144745,WP493,M1,1,0,WikiPathways,27,Mapk signaling pathway,,-4.0608021832144745,8.317610062893081,6.252599344491247,21160,159,96,6,6.25,2.4705294220065466,14281|16476|16478|19252|20807|67603,Fos|Jun|Jund|Dusp1|Srf|Dusp6,-1.2114851259462809,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.050479615662646,GO:0006979,M1,1,0,GO Biological Processes,19,response to oxidative stress,19_GO:0050896 response to stimulus,-4.050479615662646,4.934701492537314,5.377059293642161,21160,402,96,9,9.375,2.9749113694780895,11852|12226|14281|15925|16476|17387|56338|68031|108079,Rhob|Btg1|Fos|Ide|Jun|Mmp14|Txnip|Rnf146|Prkaa2,-1.2114851259462809,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.046002883248124,GO:0062197,M1,1,0,GO Biological Processes,19,cellular response to chemical stress,19_GO:0050896 response to stimulus,-4.046002883248124,5.633652822151225,5.57553619320802,21160,313,96,8,8.333333333333334,2.8208466682763755,11852|12192|14281|16476|20525|68031|100604|108079,Rhob|Zfp36l1|Fos|Jun|Slc2a1|Rnf146|Lrrc8c|Prkaa2,-1.2114851259462809,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.040268919005393,R-MMU-448424,M1,1,0,Reactome Gene Sets,6,Interleukin-17 signaling,,-4.040268919005393,16.955128205128208,7.77662558937003,21160,52,96,4,4.166666666666667,2.039468771609502,14281|16476|67603|101568,Fos|Jun|Dusp6|Vrk3,-1.2114851259462809,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-4.040268919005393,R-MMU-450294,M1,1,0,Reactome Gene Sets,6,MAP kinase activation,,-4.040268919005393,16.955128205128208,7.77662558937003,21160,52,96,4,4.166666666666667,2.039468771609502,14281|16476|67603|101568,Fos|Jun|Dusp6|Vrk3,-1.2114851259462809,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-3.832347846040731,WP572,M1,1,0,WikiPathways,27,EGFR1 signaling pathway,,-3.832347846040731,7.557142857142857,5.880197943315496,21160,175,96,6,6.25,2.4705294220065466,14281|16476|16478|18708|19252|23942,Fos|Jun|Jund|Pik3r1|Dusp1|Mta2,-1.1326319757606327,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-3.8252009206482356,R-MMU-187037,M1,1,0,Reactome Gene Sets,6,Signaling by NTRK1 (TRKA),,-3.8252009206482356,14.943502824858758,7.240342968643743,21160,59,96,4,4.166666666666667,2.039468771609502,18708|20807|67603|101568,Pik3r1|Srf|Dusp6|Vrk3,-1.1326319757606327,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-3.749326137727648,R-MMU-8953897,M1,1,0,Reactome Gene Sets,6,Cellular responses to stimuli,,-3.749326137727648,4.059238796807858,4.875434434610103,21160,543,96,10,10.416666666666666,3.1177578118173557,14281|14672|16476|17750|67665|81489|108079|109270|217232|319158,Fos|Gna11|Jun|Mt2|Dctn4|Dnajb1|Prkaa2|Prr5|Cdc27|H4c9,-1.085352593314528,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-3.713124866049719,R-MMU-198725,M1,1,0,Reactome Gene Sets,6,Nuclear Events (kinase and transcription factor activation),,-3.713124866049719,26.45,8.595466017884844,21160,25,96,3,3.125,1.7758049084616998,20807|67603|101568,Srf|Dusp6|Vrk3,-1.0821515817395246,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-3.636554258226209,GO:0009612,M1,1,0,GO Biological Processes,19,response to mechanical stimulus,19_GO:0050896 response to stimulus,-3.636554258226209,5.714506172839506,5.263342522920567,21160,270,96,7,7.291666666666667,2.653610480491801,12227|14281|14282|16476|17387|20525|56338,Btg2|Fos|Fosb|Jun|Mmp14|Slc2a1|Txnip,-1.0362497936824666,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-3.619086813671615,GO:1903706,M1,1,0,GO Biological Processes,19,regulation of hemopoiesis,19_GO:0002376 immune system process,-3.619086813671615,4.321895424836601,4.857461860653709,21160,459,96,9,9.375,2.9749113694780895,12192|14281|16476|17387|18708|21807|22695|50794|80859,Zfp36l1|Fos|Jun|Mmp14|Pik3r1|Tsc22d1|Zfp36|Klf13|Nfkbiz,-1.028542186417029,0,1,0,0,-6.603590337011219,33.910256410256416,
1,-3.5138702437281273,R-MMU-166520,M1,1,0,Reactome Gene Sets,6,Signaling by NTRKs,,-3.5138702437281273,12.417840375586856,6.505758096285892,21160,71,96,4,4.166666666666667,2.039468771609502,18708|20807|67603|101568,Pik3r1|Srf|Dusp6|Vrk3,-0.9712788825429616,0,1,0,0,-6.603590337011219,33.910256410256416,
