Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
19651,3.0,1,1,1
20807,3.0,1,1,1
16478,3.0,1,1,1
15205,3.0,1,1,1
14672,3.0,1,1,1
18708,3.0,1,1,1
17750,3.0,1,1,1
101568,3.0,1,1,1
108079,3.0,1,1,1
17748,3.0,1,1,1
14282,3.0,1,1,1
17210,3.0,1,1,1
18626,3.0,1,1,1
14281,3.0,1,1,1
12824,3.0,1,1,1
16007,3.0,1,1,1
21406,3.0,1,1,1
67490,3.0,1,1,1
16476,3.0,1,1,1
12227,3.0,1,1,1
12192,2.0,1,1,0
18508,2.0,1,1,0
67665,2.0,1,0,1
20893,2.0,1,1,0
268420,2.0,1,1,0
69581,2.0,1,0,1
17184,2.0,1,1,0
229599,2.0,1,1,0
235320,2.0,1,1,0
319158,2.0,1,0,1
81489,2.0,1,0,1
11852,2.0,1,0,1
20403,2.0,1,0,1
217232,2.0,1,0,1
13653,2.0,1,1,0
12609,2.0,1,1,0
319939,2.0,1,1,0
12611,2.0,1,0,1
50794,2.0,1,1,0
12340,2.0,1,0,1
16601,2.0,1,1,0
12226,2.0,1,1,0
237759,2.0,1,0,1
56338,2.0,1,1,0
67220,2.0,1,0,1
20525,2.0,1,1,0
15388,2.0,1,0,1
100604,2.0,1,1,0
11932,2.0,1,1,0
53379,2.0,1,0,1
17387,2.0,1,1,0
22695,2.0,1,1,0
19252,2.0,1,1,0
109270,2.0,1,1,0
67603,2.0,1,1,0
13018,2.0,1,1,0
170788,2.0,1,1,0
214685,2.0,1,1,0
15982,2.0,1,1,0
23942,2.0,1,1,0
56332,1.0,1,0,0
223775,1.0,1,0,0
231386,1.0,1,0,0
22682,1.0,1,0,0
21976,1.0,1,0,0
270110,1.0,1,0,0
140780,1.0,1,0,0
235132,1.0,1,0,0
80859,1.0,1,0,0
77853,1.0,1,0,0
104771,1.0,1,0,0
241520,1.0,1,0,0
233115,1.0,1,0,0
67819,1.0,1,0,0
15936,1.0,1,0,0
63955,1.0,1,0,0
230789,1.0,1,0,0
30945,1.0,1,0,0
52552,1.0,1,0,0
56706,1.0,1,0,0
17304,1.0,1,0,0
15925,1.0,1,0,0
65945,1.0,1,0,0
244962,1.0,1,0,0
227298,1.0,1,0,0
381801,1.0,1,0,0
276846,1.0,1,0,0
207740,1.0,1,0,0
52857,1.0,1,0,0
240514,1.0,1,0,0
76952,1.0,1,0,0
68031,1.0,1,0,0
23849,1.0,1,0,0
64540,1.0,1,0,0
240028,1.0,1,0,0
14066,1.0,1,0,0
54394,1.0,1,0,0
17190,1.0,1,0,0
232288,1.0,1,0,0
21807,1.0,1,0,0
