_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.3,GO:0046942,carboxylic acid transport,M1,1,0
1,-4.1,GO:0032328,alanine transport,M1,1,0
1,-3.3,GO:0006099,tricarboxylic acid cycle,M1,1,0
1,-4.8,GO:0006631,fatty acid metabolic process,M1,1,0
1,-3.3,GO:0015849,organic acid transport,M1,1,0
1,-2.9,GO:0045494,photoreceptor cell maintenance,M1,1,0
1,-2.8,GO:0030501,positive regulation of bone mineralization,M1,1,0
1,-2.3,GO:0090287,regulation of cellular response to growth factor stimulus,M1,1,0
1,-2.3,GO:0030278,regulation of ossification,M1,1,0
1,-2,GO:0006469,negative regulation of protein kinase activity,M1,1,0
1,-6.2,GO:0032787,monocarboxylic acid metabolic process,M1,1,0
1,-2,GO:0034440,lipid oxidation,M1,1,0
1,-2.1,GO:0034103,regulation of tissue remodeling,M1,1,0
1,-2.7,GO:1901293,nucleoside phosphate biosynthetic process,M1,1,0
1,-2.2,GO:0010975,regulation of neuron projection development,M1,1,0
1,-3.4,GO:0051962,positive regulation of nervous system development,M1,1,0
1,-2.9,GO:0048812,neuron projection morphogenesis,M1,1,0
1,-2.3,GO:0044272,sulfur compound biosynthetic process,M1,1,0
1,-2.2,GO:0006090,pyruvate metabolic process,M1,1,0
1,-2.2,GO:0070972,protein localization to endoplasmic reticulum,M1,1,0
1,-2.5,GO:1902475,L-alpha-amino acid transmembrane transport,M1,1,0
1,-2.6,GO:0006897,endocytosis,M1,1,0
1,-2.8,GO:0015804,neutral amino acid transport,M1,1,0
1,-3.7,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-2.5,GO:0090407,organophosphate biosynthetic process,M1,1,0
1,-2.4,GO:0072524,pyridine-containing compound metabolic process,M1,1,0
1,-2.5,GO:0046364,monosaccharide biosynthetic process,M1,1,0
1,-2.4,mmu00010,Glycolysis / Gluconeogenesis - Mus musculus (house mouse),M1,1,0
1,-2.8,GO:0016053,organic acid biosynthetic process,M1,1,0
1,-2.6,GO:0015980,energy derivation by oxidation of organic compounds,M1,1,0
1,-2.1,mmu04727,GABAergic synapse - Mus musculus (house mouse),M1,1,0
1,-2.4,GO:0043604,amide biosynthetic process,M1,1,0
1,-2.7,GO:0032870,cellular response to hormone stimulus,M1,1,0
1,-2.7,GO:0006094,gluconeogenesis,M1,1,0
1,-2.3,GO:0006641,triglyceride metabolic process,M1,1,0
1,-3.4,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2.2,GO:0098739,import across plasma membrane,M1,1,0
1,-4.6,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-2.6,GO:0019319,hexose biosynthetic process,M1,1,0
1,-4.4,GO:1905039,carboxylic acid transmembrane transport,M1,1,0
1,-2.4,GO:0009135,purine nucleoside diphosphate metabolic process,M1,1,0
1,-2.1,GO:0045859,regulation of protein kinase activity,M1,1,0
1,-2.7,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,M1,1,0
1,-2.6,GO:0045229,external encapsulating structure organization,M1,1,0
1,-2.4,R-MMU-170834,Signaling by TGF-beta Receptor Complex,M1,1,0
1,-2.3,GO:0014013,regulation of gliogenesis,M1,1,0
1,-2.1,GO:0009132,nucleoside diphosphate metabolic process,M1,1,0
1,-3,GO:0071356,cellular response to tumor necrosis factor,M1,1,0
1,-2,GO:0097305,response to alcohol,M1,1,0
1,-2.7,WP4346,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,M1,1,0
1,-2.5,GO:0032892,positive regulation of organic acid transport,M1,1,0
1,-3.4,mmu00020,Citrate cycle (TCA cycle) - Mus musculus (house mouse),M1,1,0
1,-2.8,GO:0072163,mesonephric epithelium development,M1,1,0
1,-4.8,R-MMU-75105,Fatty acyl-CoA biosynthesis,M1,1,0
1,-2.1,GO:0043954,cellular component maintenance,M1,1,0
1,-4.4,WP2316,PPAR signaling pathway,M1,1,0
1,-2.5,GO:0019362,pyridine nucleotide metabolic process,M1,1,0
1,-2.4,GO:0045778,positive regulation of ossification,M1,1,0
1,-2.1,GO:0033273,response to vitamin,M1,1,0
1,-2.6,GO:0043062,extracellular structure organization,M1,1,0
1,-6.1,GO:0070848,response to growth factor,M1,1,0
1,-3.7,R-MMU-210991,Basigin interactions,M1,1,0
1,-2.8,GO:0001823,mesonephros development,M1,1,0
1,-2.7,GO:0022904,respiratory electron transport chain,M1,1,0
1,-5.6,GO:0071363,cellular response to growth factor stimulus,M1,1,0
1,-3.3,mmu04142,Lysosome - Mus musculus (house mouse),M1,1,0
1,-2,GO:0051781,positive regulation of cell division,M1,1,0
1,-2.1,GO:0071560,cellular response to transforming growth factor beta stimulus,M1,1,0
