_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-7.802181583230767,mmu01212,M1,1,0,KEGG Pathway,24,Fatty acid metabolism - Mus musculus (house mouse),,-7.802181583230767,24.131638970348646,12.50567905134496,21160,62,99,7,7.070707070707071,2.5762626767677763,11363|11430|20250|54325|76267|106529|216739,Acadl|Acox1|Scd2|Elovl1|Fads1|Tecr|Acsl6,-3.558424442200837,0,1,1,1,-7.802181583230767,49.324009324009324,
1,-6.29597901706087,mmu01040,M1,1,0,KEGG Pathway,24,Biosynthesis of unsaturated fatty acids - Mus musculus (house mouse),,-6.29597901706087,31.43196672608437,12.175491833172126,21160,34,99,5,5.05050505050505,2.200878850596578,11430|20250|54325|76267|106529,Acox1|Scd2|Elovl1|Fads1|Tecr,-2.6013592815746382,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-6.15481357740914,GO:0032787,M1,1,0,GO Biological Processes,19,monocarboxylic acid metabolic process,19_GO:0009987 cellular process,-6.15481357740914,5.029114676173499,6.834856909353696,21160,595,99,14,14.141414141414142,3.5020366660455653,11363|11430|11676|14732|14751|20250|22178|54325|55951|69772|76267|105727|106529|216739,Acadl|Acox1|Aldoc|Gpam|Gpi1|Scd2|Tyrp1|Elovl1|Mpc1|Bdh2|Fads1|Slc38a1|Tecr|Acsl6,-2.6013592815746382,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-5.907136240245979,R-MMU-8978868,M1,1,0,Reactome Gene Sets,6,Fatty acid metabolism,,-5.907136240245979,10.17797017797018,8.188418800198372,21160,168,99,8,8.080808080808081,2.739131597330529,11363|11430|14598|20250|54325|76267|106529|216739,Acadl|Acox1|Ggt1|Scd2|Elovl1|Fads1|Tecr|Acsl6,-2.4415303495996925,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-5.265170639318615,R-MMU-556833,M1,1,0,Reactome Gene Sets,6,Metabolism of lipids,,-5.265170639318615,4.547603696539867,6.100789357360681,21160,611,99,13,13.131313131313131,3.3944397918942557,11363|11430|14598|14667|14732|19062|20250|54325|66234|69772|76267|106529|216739,Acadl|Acox1|Ggt1|Gm2a|Gpam|Inpp5k|Scd2|Elovl1|Msmo1|Bdh2|Fads1|Tecr|Acsl6,-1.9756560077280103,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-4.825531042226064,GO:0006631,M1,1,0,GO Biological Processes,19,fatty acid metabolic process,19_GO:0009987 cellular process,-4.825531042226064,5.46642899584076,6.111765636655358,21160,391,99,10,10.1010101010101,3.0286020461497487,11363|11430|14732|20250|22178|54325|69772|76267|106529|216739,Acadl|Acox1|Gpam|Scd2|Tyrp1|Elovl1|Bdh2|Fads1|Tecr|Acsl6,-1.6231665863543592,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-4.561278474650866,R-MMU-2046104,M1,1,0,Reactome Gene Sets,6,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,,-4.561278474650866,49.324009324009324,11.9491200794734,21160,13,99,3,3.0303030303030303,1.7228340715604882,11430|54325|76267,Acox1|Elovl1|Fads1,-1.5216413162768607,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-4.561278474650866,R-MMU-2046106,M1,1,0,Reactome Gene Sets,6,alpha-linolenic acid (ALA) metabolism,,-4.561278474650866,49.324009324009324,11.9491200794734,21160,13,99,3,3.0303030303030303,1.7228340715604882,11430|54325|76267,Acox1|Elovl1|Fads1,-1.5216413162768607,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-4.458020774741123,WP4351,M1,1,0,WikiPathways,27,Omega 9 fatty acid synthesis,,-4.458020774741123,45.8008658008658,11.496403109315212,21160,14,99,3,3.0303030303030303,1.7228340715604882,20250|54325|76267,Scd2|Elovl1|Fads1,-1.4710389000827344,0,1,0,0,-7.802181583230767,49.324009324009324,
1,-4.458020774741123,WP4491,M1,1,0,WikiPathways,27,Elongation of very long chain fatty acids,,-4.458020774741123,45.8008658008658,11.496403109315212,21160,14,99,3,3.0303030303030303,1.7228340715604882,20250|54325|76267,Scd2|Elovl1|Fads1,-1.4710389000827344,0,1,0,0,-7.802181583230767,49.324009324009324,
