Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,KEGG Pathway,24,mmu01200,Carbon metabolism - Mus musculus (house mouse),,-9.8,32,15,21160,122,44,8,18,5.8,11430|11676|12359|14751|17449|21351|66945|67834,Acox1|Aldoc|Cat|Gpi1|Mdh1|Taldo1|Sdha|Idh3a,-5.9
hits,GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0009987 cellular process,-8.3,13,10,21160,383,44,10,23,6.3,11430|11676|12359|12869|14751|17449|21351|66694|66945|67834,Acox1|Aldoc|Cat|Cox8b|Gpi1|Mdh1|Taldo1|Uqcrfs1|Sdha|Idh3a,-4.7
hits,KEGG Pathway,24,mmu01212,Fatty acid metabolism - Mus musculus (house mouse),,-6.7,39,14,21160,62,44,5,11,4.8,11363|11430|76267|106529|216739,Acadl|Acox1|Fads1|Tecr|Acsl6,-3.5
hits,GO Biological Processes,19,GO:0009060,aerobic respiration,19_GO:0009987 cellular process,-5.9,17,9.6,21160,168,44,6,14,5.2,12359|12869|17449|66694|66945|67834,Cat|Cox8b|Mdh1|Uqcrfs1|Sdha|Idh3a,-2.8
hits,KEGG Pathway,24,mmu00071,Fatty acid degradation - Mus musculus (house mouse),,-5.4,37,12,21160,52,44,4,9.1,4.3,11363|11430|11669|216739,Acadl|Acox1|Aldh2|Acsl6,-2.4
hits,GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0009987 cellular process,-5.3,14,8.4,21160,211,44,6,14,5.2,12359|12869|17449|66694|66945|67834,Cat|Cox8b|Mdh1|Uqcrfs1|Sdha|Idh3a,-2.4
hits,KEGG Pathway,24,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),,-5,9.2,7.2,21160,367,44,7,16,5.5,12978|14688|16419|18414|20393|21828|22340,Csf1r|Gnb1|Itgb5|Osmr|Sgk1|Thbs4|Vegfb,-2.2
hits,Reactome Gene Sets,6,R-MMU-8978868,Fatty acid metabolism,,-4.6,14,7.9,21160,168,44,5,11,4.8,11363|11430|76267|106529|216739,Acadl|Acox1|Fads1|Tecr|Acsl6,-1.9
hits,WikiPathways,27,WP2316,PPAR signaling pathway,,-4.6,23,9.3,21160,82,44,4,9.1,4.3,11363|11430|22190|216739,Acadl|Acox1|Ubc|Acsl6,-1.9
hits,GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0009987 cellular process,-4.5,9.8,7,21160,293,44,6,14,5.2,12359|12869|17449|66694|66945|67834,Cat|Cox8b|Mdh1|Uqcrfs1|Sdha|Idh3a,-1.8
hits,KEGG Pathway,24,mmu03320,PPAR signaling pathway - Mus musculus (house mouse),,-4.5,22,8.9,21160,89,44,4,9.1,4.3,11363|11430|22190|216739,Acadl|Acox1|Ubc|Acsl6,-1.8
hits,WikiPathways,27,WP434,TCA cycle,,-4.4,47,12,21160,31,44,3,6.8,3.8,17449|66945|67834,Mdh1|Sdha|Idh3a,-1.8
hits,KEGG Pathway,24,mmu00020,Citrate cycle (TCA cycle) - Mus musculus (house mouse),,-4.4,45,11,21160,32,44,3,6.8,3.8,17449|66945|67834,Mdh1|Sdha|Idh3a,-1.7
hits,GO Biological Processes,19,GO:0006099,tricarboxylic acid cycle,19_GO:0009987 cellular process,-4.3,42,11,21160,34,44,3,6.8,3.8,17449|66945|67834,Mdh1|Sdha|Idh3a,-1.7
hits,KEGG Pathway,24,mmu01040,Biosynthesis of unsaturated fatty acids - Mus musculus (house mouse),,-4.3,42,11,21160,34,44,3,6.8,3.8,11430|76267|106529,Acox1|Fads1|Tecr,-1.7
hits,KEGG Pathway,24,mmu00030,Pentose phosphate pathway - Mus musculus (house mouse),,-4.3,42,11,21160,34,44,3,6.8,3.8,11676|14751|21351,Aldoc|Gpi1|Taldo1,-1.7
hits,GO Biological Processes,19,GO:0000038,very long-chain fatty acid metabolic process,19_GO:0009987 cellular process,-4.3,42,11,21160,34,44,3,6.8,3.8,11430|106529|216739,Acox1|Tecr|Acsl6,-1.7
hits,WikiPathways,27,WP2841,Focal adhesion PI3K Akt mTOR signaling pathway,,-4.3,9,6.6,21160,322,44,6,14,5.2,12978|14688|16419|18414|21828|22340,Csf1r|Gnb1|Itgb5|Osmr|Thbs4|Vegfb,-1.7
