Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0010661,positive regulation of muscle cell apoptotic process,19_GO:0048518 positive regulation of biological process,-5.7,24,10,21160,46,97,5,5.2,2.2,11911|17128|18569|19211|26419,Atf4|Smad4|Pdcd4|Pten|Mapk8,-1.4,hits
GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-5.3,6.2,6.7,21160,350,97,10,10,3.1,12696|14913|17246|26419|26420|53376|63958|93759|170788|218461,Cirbp|Guca1a|Mdm2|Mapk8|Mapk9|Usp2|Ube4b|Sirt1|Crb1|Pde8b,-1.4,hits
GO Biological Processes,19,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,19_GO:0048518 positive regulation of biological process,-5.1,13,8.2,21160,101,97,6,6.2,2.4,17246|19211|26419|26420|93759|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Hspa1a,-1.4,hits
GO Biological Processes,19,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-4.9,9,7.1,21160,170,97,7,7.2,2.6,17246|19211|26419|26420|93759|170823|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Glmn|Hspa1a,-1.4,hits
GO Biological Processes,19,GO:0006979,response to oxidative stress,19_GO:0050896 response to stimulus,-4.8,5.4,6.1,21160,402,97,10,10,3.1,11911|12226|15925|17246|19053|21929|26419|26420|68031|93759,Atf4|Btg1|Ide|Mdm2|Ppp2cb|Tnfaip3|Mapk8|Mapk9|Rnf146|Sirt1,-1.4,hits
KEGG Pathway,24,mmu04141,Protein processing in endoplasmic reticulum - Mus musculus (house mouse),,-4.8,8.7,7,21160,175,97,7,7.2,2.6,11911|13002|26419|26420|63958|66530|193740,Atf4|Dnajc5|Mapk8|Mapk9|Ube4b|Ubxn6|Hspa1a,-1.4,hits
GO Biological Processes,19,GO:0010660,regulation of muscle cell apoptotic process,19_GO:0050789 regulation of biological process,-4.7,11,7.4,21160,119,97,6,6.2,2.4,11911|17128|18569|19211|26419|93759,Atf4|Smad4|Pdcd4|Pten|Mapk8|Sirt1,-1.4,hits
GO Biological Processes,19,GO:0042542,response to hydrogen peroxide,19_GO:0050896 response to stimulus,-4.7,11,7.4,21160,119,97,6,6.2,2.4,17246|19053|21929|26419|68031|93759,Mdm2|Ppp2cb|Tnfaip3|Mapk8|Rnf146|Sirt1,-1.4,hits
Reactome Gene Sets,6,R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,,-4.6,6.7,6.3,21160,259,97,8,8.2,2.8,22380|22608|56215|60532|66070|67010|68592|73826,Wbp4|Ybx1|Acin1|Wtap|Cwc15|Rbm7|Syf2|Poldip3,-1.4,hits
GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0009987 cellular process,-4.5,4.2,5.5,21160,626,97,12,12,3.3,11911|14852|15259|19401|22380|22608|27981|56215|60532|66070|68592|193740,Atf4|Gspt1|Hipk3|Rara|Wbp4|Ybx1|Rsrp1|Acin1|Wtap|Cwc15|Syf2|Hspa1a,-1.4,hits
GO Biological Processes,19,GO:0070301,cellular response to hydrogen peroxide,19_GO:0050896 response to stimulus,-4.5,14,7.7,21160,79,97,5,5.2,2.2,17246|21929|26419|68031|93759,Mdm2|Tnfaip3|Mapk8|Rnf146|Sirt1,-1.4,hits
GO Biological Processes,19,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-4.5,9.9,7,21160,132,97,6,6.2,2.4,17246|26419|26420|93759|170823|193740,Mdm2|Mapk8|Mapk9|Sirt1|Glmn|Hspa1a,-1.4,hits
GO Biological Processes,19,GO:1903052,positive regulation of proteolysis involved in protein catabolic process,19_GO:0048518 positive regulation of biological process,-4.5,9.9,7,21160,132,97,6,6.2,2.4,17246|19211|26419|26420|93759|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Hspa1a,-1.4,hits
GO Biological Processes,19,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,19_GO:0048518 positive regulation of biological process,-4.5,14,7.7,21160,80,97,5,5.2,2.2,17246|26419|26420|93759|193740,Mdm2|Mapk8|Mapk9|Sirt1|Hspa1a,-1.4,hits
KEGG Pathway,24,mmu04068,FoxO signaling pathway - Mus musculus (house mouse),,-4.5,9.8,6.9,21160,133,97,6,6.2,2.4,17128|17246|19211|26419|26420|93759,Smad4|Mdm2|Pten|Mapk8|Mapk9|Sirt1,-1.4,hits
GO Biological Processes,19,GO:0000302,response to reactive oxygen species,19_GO:0050896 response to stimulus,-4.4,7.5,6.3,21160,204,97,7,7.2,2.6,17246|19053|21929|26419|26420|68031|93759,Mdm2|Ppp2cb|Tnfaip3|Mapk8|Mapk9|Rnf146|Sirt1,-1.3,hits
GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-4.3,4,5.3,21160,660,97,12,12,3.3,11911|12226|17128|18569|18611|19211|21766|26419|26420|56215|76500|93759,Atf4|Btg1|Smad4|Pdcd4|Pea15a|Pten|Tex261|Mapk8|Mapk9|Acin1|Ip6k2|Sirt1,-1.3,hits
GO Biological Processes,19,GO:0043518,"negative regulation of DNA damage response, signal transduction by p53 class mediator",19_GO:0048519 negative regulation of biological process,-4.3,41,11,21160,16,97,3,3.1,1.8,13548|17246|93759,Dyrk1a|Mdm2|Sirt1,-1.3,hits
GO Biological Processes,19,GO:0034614,cellular response to reactive oxygen species,19_GO:0050896 response to stimulus,-4.2,9,6.6,21160,146,97,6,6.2,2.4,17246|21929|26419|26420|68031|93759,Mdm2|Tnfaip3|Mapk8|Mapk9|Rnf146|Sirt1,-1.3,hits
