_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.6,GO:0010665,regulation of cardiac muscle cell apoptotic process,M1,1,0
1,-2,mmu04657,IL-17 signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.2,WP1560,MicroRNAs in cardiomyocyte hypertrophy,M1,1,0
1,-2.2,GO:0001837,epithelial to mesenchymal transition,M1,1,0
1,-2.9,GO:0097190,apoptotic signaling pathway,M1,1,0
1,-2.4,mmu04728,Dopaminergic synapse - Mus musculus (house mouse),M1,1,0
1,-2.9,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.8,GO:2000772,regulation of cellular senescence,M1,1,0
1,-5.7,GO:0010661,positive regulation of muscle cell apoptotic process,M1,1,0
1,-2.2,GO:1902115,regulation of organelle assembly,M1,1,0
1,-2.8,GO:0051153,regulation of striated muscle cell differentiation,M1,1,0
1,-3.2,GO:0050684,regulation of mRNA processing,M1,1,0
1,-2.2,GO:2001234,negative regulation of apoptotic signaling pathway,M1,1,0
1,-2.9,GO:1903312,negative regulation of mRNA metabolic process,M1,1,0
1,-2.4,R-MMU-168164,Toll Like Receptor 3 (TLR3) Cascade,M1,1,0
1,-3.2,R-MMU-5688426,Deubiquitination,M1,1,0
1,-3.1,GO:0034391,regulation of smooth muscle cell apoptotic process,M1,1,0
1,-3.2,GO:1903311,regulation of mRNA metabolic process,M1,1,0
1,-3.8,GO:0150105,protein localization to cell-cell junction,M1,1,0
1,-2.9,GO:0071900,regulation of protein serine/threonine kinase activity,M1,1,0
1,-2.1,GO:0010038,response to metal ion,M1,1,0
1,-2.1,mmu05210,Colorectal cancer - Mus musculus (house mouse),M1,1,0
1,-4.3,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-2.3,R-MMU-168188,Toll Like Receptor TLR6:TLR2 Cascade,M1,1,0
1,-5.1,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.9,GO:0007623,circadian rhythm,M1,1,0
1,-3.1,GO:0060420,regulation of heart growth,M1,1,0
1,-2.1,GO:1901796,regulation of signal transduction by p53 class mediator,M1,1,0
1,-4,GO:0009411,response to UV,M1,1,0
1,-2.2,R-MMU-975155,MyD88 dependent cascade initiated on endosome,M1,1,0
1,-3.2,GO:0010611,regulation of cardiac muscle hypertrophy,M1,1,0
1,-2.1,GO:0008285,negative regulation of cell population proliferation,M1,1,0
1,-3.2,GO:0043433,negative regulation of DNA-binding transcription factor activity,M1,1,0
1,-3,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),M1,1,0
1,-2.9,GO:0006469,negative regulation of protein kinase activity,M1,1,0
1,-3.8,GO:0018210,peptidyl-threonine modification,M1,1,0
1,-2.7,GO:0009299,mRNA transcription,M1,1,0
