_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.6665996211246314,GO:0010661,M1,1,0,GO Biological Processes,19,positive regulation of muscle cell apoptotic process,19_GO:0048518 positive regulation of biological process,-5.6665996211246314,23.711340206185568,10.464289416278383,21160,46,97,5,5.154639175257732,2.2450256869438823,11911|17128|18569|19211|26419,Atf4|Smad4|Pdcd4|Pten|Mapk8,-1.4236608510950508,0,1,1,1,-5.6665996211246314,24.238258877434138,
1,-4.741175585309184,GO:0010660,M1,1,0,GO Biological Processes,19,regulation of muscle cell apoptotic process,19_GO:0050789 regulation of biological process,-4.741175585309184,10.99887377631465,7.422747733119422,21160,119,97,6,6.185567010309279,2.4459001290227738,11911|17128|18569|19211|26419|93759,Atf4|Smad4|Pdcd4|Pten|Mapk8|Sirt1,-1.4013268022715473,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-4.313407161185877,GO:0043065,M1,1,0,GO Biological Processes,19,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-4.313407161185877,3.9662605435801312,5.253849823424956,21160,660,97,12,12.371134020618557,3.343047016062692,11911|12226|17128|18569|18611|19211|21766|26419|26420|56215|76500|93759,Atf4|Btg1|Smad4|Pdcd4|Pea15a|Pten|Tex261|Mapk8|Mapk9|Acin1|Ip6k2|Sirt1,-1.312688114977469,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-4.201393142783223,GO:0043068,M1,1,0,GO Biological Processes,19,positive regulation of programmed cell death,19_GO:0048518 positive regulation of biological process,-4.201393142783223,3.860961591095703,5.138235625332965,21160,678,97,12,12.371134020618557,3.343047016062692,11911|12226|17128|18569|18611|19211|21766|26419|26420|56215|76500|93759,Atf4|Btg1|Smad4|Pdcd4|Pea15a|Pten|Tex261|Mapk8|Mapk9|Acin1|Ip6k2|Sirt1,-1.2640477770887406,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-3.5983082424584403,GO:0010666,M1,1,0,GO Biological Processes,19,positive regulation of cardiac muscle cell apoptotic process,19_GO:0048518 positive regulation of biological process,-3.5983082424584403,24.238258877434138,8.199327124618979,21160,27,97,3,3.0927835051546393,1.7577898514653305,17128|19211|26419,Smad4|Pten|Mapk8,-0.9700344017244925,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-3.5936027674158186,GO:0010665,M1,1,0,GO Biological Processes,19,regulation of cardiac muscle cell apoptotic process,19_GO:0050789 regulation of biological process,-3.5936027674158186,13.023542083397444,6.689196831058273,21160,67,97,4,4.123711340206185,2.0188956325901244,17128|19211|26419|93759,Smad4|Pten|Mapk8|Sirt1,-0.9700344017244925,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-3.550533272425384,GO:0010663,M1,1,0,GO Biological Processes,19,positive regulation of striated muscle cell apoptotic process,19_GO:0048518 positive regulation of biological process,-3.550533272425384,23.372606774668633,8.038937027510267,21160,28,97,3,3.0927835051546393,1.7577898514653305,17128|19211|26419,Smad4|Pten|Mapk8,-0.9610455507527476,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-3.544376262277222,GO:0010662,M1,1,0,GO Biological Processes,19,regulation of striated muscle cell apoptotic process,19_GO:0050789 regulation of biological process,-3.544376262277222,12.646048109965633,6.575486067770763,21160,69,97,4,4.123711340206185,2.0188956325901244,17128|19211|26419|93759,Smad4|Pten|Mapk8|Sirt1,-0.9610455507527476,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-2.959406389931668,GO:0045926,M1,1,0,GO Biological Processes,19,negative regulation of growth,19_GO:0040007 growth,-2.959406389931668,5.173383317713215,4.5318549307893194,21160,253,97,6,6.185567010309279,2.4459001290227738,12696|16468|17128|19211|76500|193740,Cirbp|Jarid2|Smad4|Pten|Ip6k2|Hspa1a,-0.6105554168393649,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-2.6880601201306584,GO:0030308,M1,1,0,GO Biological Processes,19,negative regulation of cell growth,19_GO:0040007 growth,-2.6880601201306584,5.593444356330954,4.373021924025037,21160,195,97,5,5.154639175257732,2.2450256869438823,12696|17128|19211|76500|193740,Cirbp|Smad4|Pten|Ip6k2|Hspa1a,-0.4621546893998581,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-2.4208973884786182,GO:0048738,M1,1,0,GO Biological Processes,19,cardiac muscle tissue development,19_GO:0032502 developmental process,-2.4208973884786182,4.847651775486827,3.937529849685148,21160,225,97,5,5.154639175257732,2.2450256869438823,16468|17128|19211|19401|63958,Jarid2|Smad4|Pten|Rara|Ube4b,-0.26786372988843554,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-2.2999365421928455,GO:0001558,M1,1,0,GO Biological Processes,19,regulation of cell growth,19_GO:0040007 growth,-2.2999365421928455,3.3487068185928743,3.4407841024986645,21160,456,97,7,7.216494845360825,2.6273181942122648,12696|13548|17128|19211|76500|93759|193740,Cirbp|Dyrk1a|Smad4|Pten|Ip6k2|Sirt1|Hspa1a,-0.2123338096283267,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-2.1000861443400054,GO:0008285,M1,1,0,GO Biological Processes,19,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-2.1000861443400054,2.593525718721486,3.029935089418815,21160,757,97,9,9.278350515463918,2.94581174512516,12226|16468|17128|18569|19211|19401|21929|170823|193740,Btg1|Jarid2|Smad4|Pdcd4|Pten|Rara|Tnfaip3|Glmn|Hspa1a,-0.09323686065915915,0,1,0,0,-5.6665996211246314,24.238258877434138,
1,-5.324459628648824,GO:0009416,M1,1,0,GO Biological Processes,19,response to light stimulus,19_GO:0050896 response to stimulus,-5.324459628648824,6.232695139911635,6.698795776268537,21160,350,97,10,10.309278350515465,3.08746487094359,12696|14913|17246|26419|26420|53376|63958|93759|170788|218461,Cirbp|Guca1a|Mdm2|Mapk8|Mapk9|Usp2|Ube4b|Sirt1|Crb1|Pde8b,-1.4013268022715473,0,2,1,1,-5.324459628648824,28.453608247422682,
1,-5.149865513813628,GO:2000060,M1,1,0,GO Biological Processes,19,positive regulation of ubiquitin-dependent protein catabolic process,19_GO:0048518 positive regulation of biological process,-5.149865513813628,12.959069102786568,8.175465920200622,21160,101,97,6,6.185567010309279,2.4459001290227738,17246|19211|26419|26420|93759|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Hspa1a,-1.4013268022715473,0,2,0,0,-5.324459628648824,28.453608247422682,
1,-4.87421137807029,GO:2000058,M1,1,0,GO Biological Processes,19,regulation of ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-4.87421137807029,8.982413583990297,7.0912988707383,21160,170,97,7,7.216494845360825,2.6273181942122648,17246|19211|26419|26420|93759|170823|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Glmn|Hspa1a,-1.4013268022715473,0,2,0,0,-5.324459628648824,28.453608247422682,
1,-4.800387475773656,GO:0006979,M1,1,0,GO Biological Processes,19,response to oxidative stress,19_GO:0050896 response to stimulus,-4.800387475773656,5.426475868082269,6.080673660444317,21160,402,97,10,10.309278350515465,3.08746487094359,11911|12226|15925|17246|19053|21929|26419|26420|68031|93759,Atf4|Btg1|Ide|Mdm2|Ppp2cb|Tnfaip3|Mapk8|Mapk9|Rnf146|Sirt1,-1.4013268022715473,0,2,0,0,-5.324459628648824,28.453608247422682,
