Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:2000058,regulation of ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-7.2,19,11,21160,170,45,7,16,5.4,17246|19211|26419|26420|93759|170823|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Glmn|Hspa1a,-3.2
hits,GO Biological Processes,19,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,19_GO:0048518 positive regulation of biological process,-7.1,28,13,21160,101,45,6,13,5.1,17246|19211|26419|26420|93759|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Hspa1a,-3.2
hits,GO Biological Processes,19,GO:0042542,response to hydrogen peroxide,19_GO:0050896 response to stimulus,-6.7,24,11,21160,119,45,6,13,5.1,17246|19053|21929|26419|68031|93759,Mdm2|Ppp2cb|Tnfaip3|Mapk8|Rnf146|Sirt1,-3
hits,GO Biological Processes,19,GO:0000302,response to reactive oxygen species,19_GO:0050896 response to stimulus,-6.6,16,10,21160,204,45,7,16,5.4,17246|19053|21929|26419|26420|68031|93759,Mdm2|Ppp2cb|Tnfaip3|Mapk8|Mapk9|Rnf146|Sirt1,-3
hits,GO Biological Processes,19,GO:1903052,positive regulation of proteolysis involved in protein catabolic process,19_GO:0048518 positive regulation of biological process,-6.5,21,11,21160,132,45,6,13,5.1,17246|19211|26419|26420|93759|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Hspa1a,-3
hits,GO Biological Processes,19,GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,19_GO:0050789 regulation of biological process,-6.5,21,11,21160,132,45,6,13,5.1,17246|26419|26420|93759|170823|193740,Mdm2|Mapk8|Mapk9|Sirt1|Glmn|Hspa1a,-3
hits,KEGG Pathway,24,mmu04068,FoxO signaling pathway - Mus musculus (house mouse),,-6.4,21,11,21160,133,45,6,13,5.1,17128|17246|19211|26419|26420|93759,Smad4|Mdm2|Pten|Mapk8|Mapk9|Sirt1,-3
hits,GO Biological Processes,19,GO:1903050,regulation of proteolysis involved in protein catabolic process,19_GO:0050789 regulation of biological process,-6.2,14,9.3,21160,234,45,7,16,5.4,17246|19211|26419|26420|93759|170823|193740,Mdm2|Pten|Mapk8|Mapk9|Sirt1|Glmn|Hspa1a,-3
hits,GO Biological Processes,19,GO:0034614,cellular response to reactive oxygen species,19_GO:0050896 response to stimulus,-6.2,19,10,21160,146,45,6,13,5.1,17246|21929|26419|26420|68031|93759,Mdm2|Tnfaip3|Mapk8|Mapk9|Rnf146|Sirt1,-3
hits,GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-6.2,11,8.5,21160,350,45,8,18,5.7,12696|14913|17246|26419|26420|53376|93759|170788,Cirbp|Guca1a|Mdm2|Mapk8|Mapk9|Usp2|Sirt1|Crb1,-3
