GroupID,Category,Term,Description,LogP,Log(q-value),Genes,Symbols,InTerm_InList,Cluster
1_Summary,GO Biological Processes,GO:0010661,positive regulation of muscle cell apoptotic process,-5.666599621,-1.424,"119,111,712,818,569,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Atf4,Smad4,Pdcd4,Pten,Mapk8,Sirt1,Btg1,Pea15a,Tex261,Mapk9,Acin1,Ip6k2,Cirbp,Jarid2,Hspa1a,Rara,Ube4b,Dyrk1a,Tnfaip3,Glmn",20/-,Rp
2_Summary,GO Biological Processes,GO:0009416,response to light stimulus,-5.324459629,-1.401,"126,961,491,317,246,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Cirbp,Guca1a,Mdm2,Mapk8,Mapk9,Usp2,Ube4b,Sirt1,Crb1,Pde8b,Pten,Hspa1a,Glmn,Atf4,Btg1,Ide,Ppp2cb,Tnfaip3,Rnf146,Smad4,Actg1,Rock2,Sptan1,Pea15a,Ranbp3,Tax1bp1,Rara,H2bc4,Ybx1,Odf2,Sdha,Syf2,Dpf3,Hipk3",34/-,Rp
3_Summary,KEGG Pathway,mmu04141,Protein processing in endoplasmic reticulum,-4.792585555,-1.401,"1,191,113,002,264,190,000,000,000,000,000,000,000,000,000,000","Atf4,Dnajc5,Mapk8,Mapk9,Ube4b,Ubxn6,Hspa1a,Ppp2cb,Scamp5",9/-,Rp
4_Summary,Reactome Gene Sets,R-MMU-72203,Processing of Capped Intron-Containing Pre-mRNA,-4.592718369,-1.401,"22,380,226,085,621,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Wbp4,Ybx1,Acin1,Wtap,Cwc15,Rbm7,Syf2,Poldip3,Atf4,Gspt1,Hipk3,Rara,Rsrp1,Hspa1a,Cirbp,Ddx24,Dnajc8",17/-,Rp
5_Summary,GO Biological Processes,GO:0043518,"negative regulation of DNA damage response, signal transduction by p53 class mediator",-4.30035438,-1.313,"1,354,817,246,937,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Dyrk1a,Mdm2,Sirt1,Atf4,Pten,Rock2,Mapk8,Mapk9,Usp2,Ybx1,Jarid2,Pdcd4,Wbp2,Pea15a,Scamp5,Pde8b,Tnfaip3,Syf2",18/-,Rp
1_Summary,KEGG Pathway,mmu01212,Fatty acid metabolism,-7.802181583,-3.558,"11,363,114,302,025,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Acadl,Acox1,Scd2,Elovl1,Fads1,Tecr,Acsl6,Aldoc,Gpam,Gpi1,Tyrp1,Mpc1,Bdh2,Slc38a1,Ggt1,Gm2a,Inpp5k,Msmo1,Mdh1",19/-,RPE
2_Summary,KEGG Pathway,mmu01200,Carbon metabolism,-6.970569849,-3.028,"114,301,167,612,359,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Acox1,Aldoc,Cat,Gpi1,Mdh1,Taldo1,Sdha,Idh3a,Cox8b,Tyrp1,Uqcrfs1,Mpc1,Gm2a,Man1a,Slc3a2,Fuca1,Gnptg,Ak2,Aldh2",19/-,RPE
3_Summary,GO Biological Processes,GO:0070848,response to growth factor,-6.146146418,-2.601,"121,621,235,912,978,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Bmp7,Cat,Csf1r,Lrp2,Itgb5,Lrp8,Inpp5k,Sfrp1,Sort1,Vegfb,Spg21,Ramp2,Npnt,Wfikkn2,Ggt1,Gpi1,Snw1",17/-,RPE
4_Summary,Reactome Gene Sets,R-MMU-75105,Fatty acyl-CoA biosynthesis,-4.833911877,-1.623,"2,025,054,325,106,520,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Scd2,Elovl1,Tecr,Acsl6,Acox1,Ak2,Aldoc,Gpam,Gpi1,Mdh1,Taldo1,Mpc1,Slc16a9,Sdha,Tyrp1,Ggt1",16/-,RPE
5_Summary,Reactome Gene Sets,R-MMU-6798695,Neutrophil degranulation,-4.605232878,-1.522,"116,761,201,012,359,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Aldoc,B2m,Cat,Ddost,Eef2,Gm2a,Gpi1,Padi2,Fuca1,Tubb4b,Dnajc3",11/-,RPE
