"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fgf2",2.05183786761404e-05,2.25107967125547,0.481,0.1,0.661307344732004
"Ptprn",8.69111498690034e-05,0.857294760103144,0.889,0.64,1
"Antxr2",0.000137976409457835,1.62985141863971,0.593,0.3,1
"Pbxip1",0.000160765371309282,2.97121009202706,0.296,0.02,1
"Cd47",0.000356675603213869,0.716831280470035,0.907,0.68,1
"Agtpbp1",0.000410735566270123,0.48906961229809,0.981,0.9,1
"Cd63",0.000422166261315724,1.67333871661824,0.463,0.14,1
"Cacna2d1",0.000448287427359585,1.61116681301949,0.463,0.14,1
"Pcolce",0.000448789667366605,2.16869300053559,0.315,0.04,1
"Ccar1",0.000527321045844019,0.494120914933136,0.944,0.84,1
"Dnttip1",0.000544994333139736,1.27422715621016,0.593,0.26,1
"Pde12",0.000584947227461268,1.24378103967754,0.537,0.2,1
"Pcid2",0.000605345289360978,1.64846750519621,0.481,0.18,1
"Tnpo1",0.000666610279137672,0.335223164535947,0.981,0.9,1
"Lad1",0.000774385670351399,1.62188121736341,0.426,0.12,1
"Sugp1",0.000829909025719378,0.979904329930411,0.704,0.38,1
"Pygo2",0.000836023059788962,1.52173573844749,0.5,0.2,1
"Hif1an",0.000844413885276527,0.800821760953868,0.796,0.54,1
"Stxbp5",0.000935093049063708,-0.364284122086563,0.907,0.92,1
"Abhd6",0.000996104398748146,1.99066811864795,0.315,0.06,1
"Tmem259",0.0010087067896427,0.61599094189701,0.907,0.66,1
"Pfkp",0.00102688923141585,0.854793159651282,0.796,0.56,1
"Cers4",0.00115310591666549,-0.368932068942073,0.907,0.96,1
"Tnnt2",0.00121558882216688,2.61067468137943,0.241,0.02,1
"Zfyve28",0.00122828959432811,0.839121829473537,0.759,0.52,1
"Dennd4c",0.00125427433906522,0.766980787341836,0.778,0.52,1
"Mxd4",0.00126224683460128,1.12102986213933,0.63,0.3,1
"Eaf1",0.00136099434774837,1.36285388172281,0.463,0.16,1
