"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bst2",0.00043692968510687,0.904962949008215,0.889,0.586,1
"Arid5a",0.00293993701854877,-2.69444144000671,0,0.271,1
"Pfkl",0.00386186535611869,-1.12652448342773,0.37,0.7,1
"Hspa5",0.00404804404589007,-1.69319426629103,0.111,0.429,1
"Ifitm3",0.00424759555292756,0.985547088531504,0.704,0.514,1
"Ap2s1",0.00445090595441516,-2.41515934766537,0.037,0.314,1
"Cep78",0.00466951927228389,2.24289920721155,0.259,0.057,1
"Tyrobp",0.00503871128321858,3.78413439082672,0.111,0,1
"Ccdc103",0.00503871128321858,3.63827828925765,0.111,0,1
"Inpp5d",0.00503871128321858,3.17480703107352,0.111,0,1
"Iffo2",0.00558139363072899,-2.45706738619669,0.037,0.3,1
"Atp6v0c",0.00565395966010649,-0.456929160969215,0.667,0.857,1
"Mif",0.00600542504354104,1.09008033761417,0.667,0.443,1
"Tnfsf13",0.00630248751384617,-2.55969396534294,0.037,0.286,1
"Add3",0.00642559340391846,0.798743226950258,0.741,0.486,1
"Atl1",0.00669595014099465,-2.53504021611668,0.074,0.329,1
"Cab39",0.00674633943274453,-1.65058124561345,0.222,0.486,1
"Smarca1",0.00716924962557406,3.54999249758751,0.148,0.014,1
"Trim27",0.00728003631913665,-2.69826904907004,0,0.229,1
"Fbxo10",0.00728333464404415,-1.78631571740863,0.037,0.3,1
"Cep97",0.00757124443475585,1.61145752719827,0.222,0.043,1
"Hist2h2be",0.00763334032858648,3.3725726305277,0.148,0.014,1
"Ccn2",0.00807823661153064,-2.27029999630941,0.074,0.329,1
"Cdyl",0.00809586929446749,-1.83956707890556,0.074,0.343,1
"Fchsd1",0.00813486402106117,2.51932980284338,0.185,0.029,1
"Rbm27",0.00823857488243076,1.79914520914934,0.333,0.114,1
"Mthfsl",0.00857677519054673,2.59823066421412,0.185,0.029,1
"Tnpo3",0.00859281028118848,-1.96495806431688,0.074,0.329,1
"Cplx2",0.00904002541425013,2.05798088773474,0.185,0.029,1
"Btg1",0.00937557009368581,-2.22260104559728,0.074,0.314,1
"Zc3h14",0.00951461688673442,-1.67831796165234,0.148,0.429,1
"Abcf3",0.00976414198980514,-2.89334554659679,0,0.214,1
"Ammecr1",0.00981235604863308,2.50233662660986,0.259,0.071,1
"Klhl30",0.0103215296436507,-1.51847884924231,0.222,0.486,1
"Eed",0.0112613122510028,-1.51880730597045,0.074,0.343,1
"Ccdc91",0.0112891792056137,-1.77647040688603,0.074,0.329,1
"Ttc4",0.0117318237602781,2.08000464721337,0.296,0.1,1
"Cep85l",0.0119005994868344,-2.50968963983109,0.037,0.257,1
"Fam122a",0.0123349859714917,-1.95478612082069,0.074,0.314,1
"Adamts1",0.0124711168302688,-1.26932424759045,0.148,0.429,1
"Thap11",0.0126416979135823,2.61171014838617,0.222,0.057,1
"Tusc2",0.0127081771708587,-2.4767577900183,0.037,0.257,1
"Prkar2a",0.0130448081664463,-2.3273973245331,0,0.2,1
"Nup205",0.0130448081664463,-2.55238392416945,0,0.2,1
"Cstf2",0.0131298690624466,-2.12022432762938,0.037,0.257,1
"Npc2",0.0132545353400237,0.539771154363385,0.815,0.671,1
"Dnajb6",0.0135054547482984,-1.82268375080693,0.148,0.386,1
"Car6",0.0135355188184335,-0.761951482243862,0.481,0.7,1
"BC003965",0.0135513922666292,1.614157059635,0.296,0.1,1
"Prkx",0.0149429305447487,-1.84852418756518,0.037,0.257,1
"Armh4",0.015200309317918,1.61737318067862,0.259,0.071,1
"Smpd2",0.0154293092973197,-1.91016776866385,0.037,0.257,1
"Manf",0.0154553325133046,-1.54641559324773,0.148,0.386,1
"Dcbld1",0.0156298317709175,2.02699988864588,0.222,0.057,1
"Atp5md",0.01610653100921,1.20948504431169,0.519,0.3,1
"Uba1",0.0161407316954437,-0.955357706437481,0.333,0.6,1
"Chd3",0.0161793395560925,1.23577985223314,0.556,0.371,1
"Pnpla7",0.0167646239415847,-1.94960299739035,0.037,0.243,1
"Mkrn1",0.0167646239415847,-2.22827044713108,0.037,0.243,1
"Dnajc16",0.016808925423813,1.85916738691316,0.37,0.157,1
"Fbxo33",0.0173649180712896,-1.98122199271474,0,0.186,1
"Obsl1",0.0173649180712896,-2.10063835269872,0,0.186,1
"Ankra2",0.0173649180712896,-2.23697758937164,0,0.186,1
"Cck",0.0174328547089308,-0.7023525133323,0.481,0.729,1
