"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem120a",0.00044066567888131,3.23145742921666,0.462,0.032,1
"Megf8",0.000700733901657819,1.66613751915609,0.846,0.323,1
"Hpf1",0.000827244361600885,2.28756462149217,0.692,0.226,1
"Luzp1",0.00125339994213042,-2.88490764645949,0,0.548,1
"Tapbpl",0.00151478219577394,3.35176803867886,0.308,0,1
"Naca",0.00224371960218226,1.75201828675624,0.769,0.355,1
"Mast2",0.00241121174316726,2.12093951237529,0.615,0.194,1
"Plekhm1",0.00241121174316726,2.00079944140707,0.615,0.194,1
"Spsb1",0.00272751206532275,1.33567328088602,0.846,0.387,1
"Nr2c1",0.00316818368766846,2.49935497989698,0.538,0.161,1
"Dctn4",0.00323169180981886,1.46691962678172,0.769,0.355,1
"Isy1",0.00325146084551007,2.27439805727409,0.538,0.129,1
"Aagab",0.00415208344183254,1.67442073429831,0.692,0.355,1
"Ikzf5",0.00433678073512042,2.32301100149147,0.538,0.161,1
"Ap1m1",0.00442299118521291,1.70218882582263,0.692,0.323,1
"Dpy30",0.0046645655810908,1.6793189729526,0.692,0.29,1
"Dnajc4",0.00485618477511528,-2.31987250757405,0,0.452,1
"Cyld",0.00485618477511528,-2.73306908821456,0,0.452,1
"Spg20",0.00501332040887927,-1.79142164535825,0.231,0.645,1
"Poll",0.0053145578699621,3.13845479099735,0.385,0.065,1
"Nt5dc3",0.0053145578699621,2.89215003515095,0.385,0.065,1
"Glud1",0.00572003470984504,1.39487076636858,0.769,0.387,1
"Mageh1",0.00575568597390464,1.99003051099207,0.615,0.258,1
"Mob3c",0.00593982931848477,2.90228510942668,0.462,0.129,1
"Zfp169",0.00601566307186053,2.82578493875691,0.385,0.065,1
"Pet100",0.00601566307186053,2.74896541755553,0.385,0.065,1
"Ubxn6",0.00608867351742011,2.42802954027416,0.538,0.194,1
"Arhgap5",0.0063756443793758,-2.41634530651212,0.077,0.516,1
"Pgam5",0.00677567302511339,3.50630525869043,0.231,0,1
"Foxj1",0.00677567302511339,3.49119686832156,0.231,0,1
"Thg1l",0.00677567302511339,3.30874124765496,0.231,0,1
"Zgrf1",0.00677567302511339,3.27292507970913,0.231,0,1
"Rab15",0.00677567302511339,3.22306696592389,0.231,0,1
"Pigw",0.00677567302511339,3.20019760530396,0.231,0,1
"Nlgn3",0.00677567302511339,3.08737430653672,0.231,0,1
"Agk",0.00679903504056614,2.69528258893908,0.385,0.065,1
"Dzip1l",0.00692146053952877,2.06366023442249,0.462,0.097,1
"Ednrb",0.00718358777356748,-0.285779033183652,0.923,0.968,1
"Vopp1",0.0073403982318654,2.89019592854894,0.462,0.129,1
"Tent4a",0.00738032741930004,-2.4585863253339,0,0.419,1
"Fntb",0.00738032741930004,-2.53842934568342,0,0.419,1
"Cdr2",0.00780304075399423,3.01799574503773,0.308,0.032,1
"Oaz1",0.0083101286689867,1.31463174978633,0.692,0.387,1
"Cic",0.00861294531827206,-2.46853239658379,0.077,0.484,1
"Mapk12",0.00895413100984107,2.85461502118663,0.308,0.032,1
"Prdm4",0.00895413100984107,2.63741058380618,0.308,0.032,1
"Pigv",0.00903037710824655,2.27297962814836,0.462,0.129,1
"Kdm4a",0.00939887878659817,-2.26835136134763,0.077,0.484,1
"Rnaseh2a",0.00959031701323269,1.95024822371987,0.538,0.161,1
"Ypel2",0.0097805586755755,2.03307304352279,0.538,0.194,1
"Cdc42se2",0.0101847431127207,-1.54443198483985,0.077,0.548,1
"Zfp738",0.010254550061371,2.50144142807452,0.308,0.032,1
"Fahd1",0.010254550061371,2.46364772410826,0.308,0.032,1
"Slc39a11",0.010254550061371,2.38666012778865,0.308,0.032,1
"Usp9x",0.01066489744646,1.11785493669032,0.769,0.452,1
"Nek1",0.010716135688015,1.71496805037682,0.615,0.29,1
"Ssbp1",0.0110510978936442,-2.00390832896009,0,0.387,1
"Casc3",0.0110510978936442,-2.16355829537483,0,0.387,1
"Rnf181",0.0113022963481026,-2.11375042442568,0.154,0.548,1
"Ctdspl2",0.0115802088760302,1.71924422252418,0.538,0.161,1
"Numb",0.0116503373100333,1.49545223235117,0.615,0.258,1
"Rp1",0.0117204735575127,2.52671794548534,0.308,0.032,1
"Elovl4",0.0117204735575127,2.14716277743495,0.308,0.032,1
"Flot2",0.012253875204875,1.52864026367923,0.692,0.323,1
"Atp7a",0.0126099566060197,-1.39007291746701,0.308,0.677,1
"Sdc2",0.0127494158640779,-1.34138889674349,0.308,0.742,1
"Phip",0.0132757665905548,-1.95589731953408,0.154,0.548,1
"Cap1",0.0132974510956136,-0.931292918146524,0.538,0.774,1
"Sh3bgrl2",0.0133693697870167,2.07639408850458,0.308,0.032,1
"Cox6b1",0.0134165642147391,1.41719628178599,0.692,0.387,1
"Rassf8",0.013746213308797,1.38477894944927,0.615,0.29,1
"Slc25a4",0.0140589117793875,-0.98727448194583,0.462,0.839,1
"Axin1",0.0143679527403564,-1.83080789922645,0.077,0.484,1
"Gtf3c4",0.0148708449440209,2.38517061846282,0.462,0.161,1
"Sf3b2",0.0155331079711661,-1.64758597279737,0.231,0.613,1
"Gabarapl2",0.0155836079183173,0.90811066779464,0.923,0.581,1
"Gpat4",0.0156027621795663,-1.79761935414358,0.077,0.484,1
"Nit1",0.0159818912890386,2.40813867162686,0.385,0.097,1
"Rad54l2",0.0159818912890386,2.3551567593677,0.385,0.097,1
"Ascc3",0.0161651547236848,1.57817995514173,0.615,0.29,1
"Slc25a46",0.0163198564567926,-1.87755065738758,0,0.355,1
"Ier3ip1",0.0163198564567926,-1.92089864888491,0,0.355,1
"Arel1",0.0163198564567926,-2.01202183034771,0,0.355,1
"Rab40c",0.0163198564567926,-2.02928289913152,0,0.355,1
"Soga1",0.0163198564567926,-2.372223304135,0,0.355,1
"F11r",0.0163198564567926,-2.51789056628228,0,0.355,1
"Gid8",0.0163198564567926,-2.63796374006711,0,0.355,1
"Ndor1",0.0163669654635196,1.54429926408174,0.462,0.129,1
"Usp32",0.0167473378995501,1.16257639448625,0.692,0.419,1
"Rpa1",0.0168863517737249,-1.63436891419927,0.231,0.581,1
"Akr1b10",0.0177359273240478,2.30909100057425,0.385,0.097,1
"Ap4m1",0.0177359273240478,2.12987193141329,0.385,0.097,1
"Ccdc107",0.0178914882290513,2.44794842806665,0.462,0.161,1
"Dct",0.0179536953272179,-0.0870032510224421,1,1,1
"Cbx5",0.0180441170733723,1.31543427009449,0.692,0.419,1
"Osbpl6",0.0182064813891292,-1.48808668383877,0.231,0.581,1
"Srek1",0.0182483407476683,1.30216503141219,0.692,0.355,1
"Kmt2c",0.0186244998211257,1.32526203478673,0.615,0.323,1
"Tmem259",0.0187314302796842,1.02325006643784,0.692,0.484,1
"Ice1",0.0189505303391163,1.37954609923388,0.615,0.29,1
"Ccndbp1",0.0190639747911209,1.91096358857046,0.538,0.258,1
"Tor1aip1",0.0194224147150221,1.16239342755227,0.769,0.452,1
"Ift43",0.0195930358053628,1.82566892804817,0.538,0.226,1
"Homer3",0.0198944405835941,1.83614589070986,0.538,0.194,1
"Pigm",0.0204943974430735,1.46696674510848,0.615,0.29,1
