"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Guca1a",3.65371470764581e-39,-0.662314184237053,0.488,0.676,1.17759225027425e-34
"Edn2",2.03041210114854e-33,3.49345944762535,0.148,0.016,6.54401820200173e-29
"Kcnj14",1.80209395965416e-32,-0.316014368922252,0.764,0.854,5.80814883196536e-28
"Nrl",3.35763286072232e-30,0.11712370274933,0.975,0.968,1.0821650710108e-25
"Agtpbp1",4.8843610703977e-30,0.357724559977061,0.834,0.792,1.57422957298918e-25
"Fgf2",8.97821983601215e-30,1.48674879088038,0.305,0.138,2.89368025314672e-25
"Rabgef1",1.19742326341318e-29,-0.310067746226861,0.778,0.872,3.85929517798069e-25
"Gnb3",1.07393298552694e-28,0.710257865119188,0.601,0.467,3.46128601235332e-24
"Plekhb1",8.37800298247838e-26,0.126472042639525,0.965,0.953,2.70023036125278e-21
"Antxr2",1.21595326769642e-25,2.12485817730443,0.191,0.061,3.91901738178557e-21
"Pcolce",7.94276219984896e-25,2.21344465934546,0.173,0.05,2.55995225701132e-20
"Stk35",1.02836168238628e-24,-0.407128835620503,0.632,0.755,3.31440970233097e-20
"Stat3",2.67517117766773e-23,0.858331256316086,0.452,0.307,8.62207670562311e-19
"Gnb2",3.8316488193818e-23,1.29934655307221,0.273,0.129,1.23494041448675e-18
"Cebpd",2.69014919574028e-22,3.06918732607277,0.121,0.023,8.67035085787091e-18
"Lad1",5.11872679101472e-22,2.22532474120452,0.154,0.045,1.64976564474404e-17
"Agrn",4.9727086054053e-21,1.27913364206798,0.28,0.144,1.60270398352213e-16
"Tnnt2",7.26470226464015e-19,3.73906765390508,0.076,0.005,2.34141353989352e-14
"Pcmtd2",3.32779725124693e-18,-0.13786924545345,0.9,0.922,1.07254905407689e-13
"E2f6",3.33612209242221e-18,1.12453779727663,0.31,0.186,1.07523215038768e-13
"Ptprn",1.09353505235184e-17,1.42117281628005,0.202,0.091,3.52446347372997e-13
"Ache",1.31156789967595e-17,1.57385363721062,0.166,0.063,4.22718334065559e-13
"Arl6",4.27444267306445e-17,0.142825515211803,0.917,0.903,1.37765287352867e-12
"Rgs9bp",1.080381246537e-16,-0.287889238977971,0.689,0.78,3.48206875758874e-12
"Mef2c",2.02532649849531e-16,-1.08316211043711,0.118,0.222,6.5276273046504e-12
"Pbxip1",4.95888636601194e-16,3.19461227521565,0.074,0.009,1.59824907576565e-11
"Bcl3",4.98874725708421e-16,3.76156651438019,0.064,0.004,1.60787324095824e-11
"Cd47",2.60813134435771e-14,0.604949103198722,0.474,0.367,8.4060073228649e-10
"Igsf9",2.68525050876945e-14,-0.370561902662665,0.544,0.655,8.65456238976395e-10
"Hk2",3.63405171175382e-14,-0.454063442139116,0.425,0.545,1.17125486669826e-09
"Syne3",6.3192589427219e-14,-0.666450572081871,0.222,0.34,2.03669715723927e-09
"Slc25a37",9.85998519540507e-14,0.790297063452251,0.337,0.225,3.17787322847905e-09
"Hcls1",2.53537262072348e-13,-0.950183954116552,0.12,0.212,8.17150595659177e-09
"Eif2s3y",2.99725334237995e-13,0.686903438637935,0.365,0.25,9.66014752249057e-09
"Rs1",5.0061792679803e-13,-0.0798134794182663,0.979,0.987,1.61349157807005e-08
"Egr1",5.44897373025249e-13,-0.364647855019906,0.464,0.599,1.75620423326038e-08
"Fbxo24",6.45688772069005e-13,1.6460268546747,0.115,0.041,2.0810549123784e-08
"Rfx2",6.95805346205741e-13,0.97543370360119,0.226,0.127,2.2425806308211e-08
"Gadd45b",7.22051520294747e-13,1.66492677864816,0.121,0.046,2.32717204990997e-08
"Cirbp",1.12471808893648e-12,0.18029878390636,0.843,0.799,3.62496640064229e-08
"Faim",1.40166847365971e-12,-0.458337283291181,0.407,0.515,4.51757749060526e-08
"Pmvk",2.45512096531246e-12,0.776570152664286,0.335,0.234,7.91285487120205e-08
"Ipo5",2.51755192184015e-12,0.408747069288412,0.588,0.506,8.1140698440908e-08
"Rnf144b",2.64055714392161e-12,0.844395711619473,0.316,0.221,8.51051567485934e-08
"Cerkl",2.99897724492322e-12,0.311539641755871,0.683,0.624,9.66570366038755e-08
"Impg2",3.0189062721996e-12,0.0852401244384473,0.941,0.949,9.72993491529932e-08
"Xiap",3.77009956724307e-12,-0.34769026395401,0.514,0.617,1.21510309052244e-07
"Htra1",4.41744522545974e-12,0.527328991578175,0.466,0.366,1.42374259616567e-07
"Tnfaip3",1.22308030754529e-11,-0.287522250797157,0.609,0.708,3.94198783121846e-07
"Abca4",1.80792978416213e-11,-0.0709200721683827,0.969,0.978,5.82695769435456e-07
"Rtl8b",1.90333706568809e-11,-1.04418082486765,0.066,0.136,6.13445536271271e-07
"Notch1",2.28574493401324e-11,2.03654407888232,0.084,0.026,7.36695592232466e-07
"Mtdh",2.56664910188495e-11,-0.422212916202756,0.432,0.53,8.2723100553752e-07
"Guca1b",2.73690599300254e-11,-0.0884677374209764,0.947,0.965,8.82104801544718e-07
"Map4",3.85792705847692e-11,-0.35285793293872,0.501,0.598,1.24340989094711e-06
"Cadm1",3.93523161507152e-11,0.0836712123907224,0.935,0.945,1.26832514953755e-06
"AW549877",5.50359683058865e-11,0.144242314343168,0.858,0.835,1.77380925849872e-06
"Glo1",7.50408093709035e-11,0.181107670994481,0.794,0.761,2.41856528602422e-06
"Kcng4",8.46083773622122e-11,2.5897564121834,0.057,0.01,2.7269280023841e-06
"Socs3",9.12046258350994e-11,2.39147198428347,0.057,0.01,2.93952509066525e-06
"Susd3",1.03742699300162e-10,-0.217507449270598,0.713,0.781,3.34362719844421e-06
"Nefl",1.22544180573782e-10,-1.62085066085896,0.017,0.057,3.94959893989301e-06
"Celf3",1.28861664167222e-10,0.761473033873358,0.233,0.14,4.15321143610958e-06
"Plekhg4",2.91839179913927e-10,-0.673619229993474,0.125,0.209,9.40597676862588e-06
"Plk2",5.32087281414539e-10,1.08859641920214,0.157,0.082,1.71491730799906e-05
"Pdzph1",5.32243381092362e-10,-0.339140006349121,0.477,0.576,1.71542041726068e-05
"Rock2",5.4488372872757e-10,0.503440384378529,0.448,0.36,1.75616025768896e-05
"Ttyh1",5.79446014748359e-10,0.222388142504068,0.742,0.702,1.86755450553396e-05
"Nxnl1",6.17369828136253e-10,-0.162938908302663,0.814,0.872,1.98978295608314e-05
"Slc38a3",7.50787001908993e-10,-0.140394519956428,0.874,0.932,2.41978650715268e-05
"Cdr2",1.29639432529628e-09,-0.25699732260965,0.619,0.693,4.1782789104299e-05
"Aipl1",1.69991632798463e-09,-0.0514516873405999,0.978,0.985,5.47883032509445e-05
"Mast2",1.92395999146657e-09,-0.342515120388281,0.475,0.569,6.20092305249677e-05
"Rnf207",1.95728439412089e-09,0.381848948772344,0.549,0.464,6.30832760225161e-05
"Kdm5d",2.17660610098501e-09,0.872144168574432,0.179,0.102,7.0152014634747e-05
"Bin1",2.34026133068695e-09,0.0898489065547863,0.92,0.908,7.54266226880405e-05
"Kcnb1",2.50660315148919e-09,-0.134998138503672,0.84,0.877,8.07878195724966e-05
"Uty",3.0230496913258e-09,0.675124371436755,0.268,0.181,9.74328915514304e-05
"D1Ertd622e",3.59556312040935e-09,-0.372938304042965,0.403,0.505,0.000115884999370793
"Atp1a1",4.29088578850972e-09,0.375735354799458,0.555,0.497,0.000138295248963668
"Sptan1",4.93344419972587e-09,0.220780937297717,0.735,0.683,0.000159004906557165
"Optn",5.97638353156844e-09,-0.295333843091756,0.53,0.612,0.000192618841222451
"Grk1",6.37354320342363e-09,-0.0726249558783334,0.965,0.985,0.000205419297446344
"Kif1b",6.91618280282842e-09,0.0707581520768854,0.934,0.934,0.00022290857173516
"Sgk1",7.60693444176277e-09,-0.620514178982326,0.162,0.243,0.000245171497058014
"Clip4",8.05319909111176e-09,0.498348765725923,0.39,0.3,0.000259554606706532
"Crocc",1.1331837075795e-08,-0.134920303033217,0.875,0.925,0.000365225108952874
"Smug1",1.489230660312e-08,-0.52260864832409,0.281,0.364,0.000479979041818557
"Prph2",1.53154644659358e-08,-0.0426077354145467,0.998,0.998,0.000493617419737111
"Ip6k2",1.62844628414111e-08,-0.202591419860337,0.712,0.766,0.00052484823737868
"Osbpl8",1.83811614403672e-08,-0.269161302305624,0.554,0.645,0.000592424833223033
"Btc",2.40879134581323e-08,0.874061885525883,0.183,0.111,0.000776353450755602
"Kif21b",2.5981283419325e-08,0.112967228248422,0.849,0.843,0.000837376764604846
"Pcare",3.35531891525602e-08,0.101897284511792,0.858,0.858,0.00108141928638702
"Mpp6",3.4204522868408e-08,0.820686306024061,0.188,0.117,0.00110241177204879
"Pde6b",3.57924283593365e-08,-0.0268480602053491,0.994,0.997,0.00115358996602142
"Slc9a5",3.6112149650684e-08,-0.424749976273003,0.31,0.401,0.00116389458324155
"Crlf3",3.6822154477715e-08,-0.294615046701626,0.495,0.584,0.00118677803881675
"Nefh",3.72986181545745e-08,0.840638148023292,0.159,0.092,0.00120213446312194
"Laptm4b",5.65365867851818e-08,-0.0868486160514497,0.911,0.927,0.00182217419208641
"Pfkfb3",5.86444956076492e-08,2.1297373013834,0.05,0.013,0.00189011209343453
"Tnip2",6.44648724332864e-08,0.468304492797972,0.385,0.298,0.00207770283852482
"Herc3",7.0873911425961e-08,-0.0742865392774623,0.948,0.964,0.00228426616525872
"Myo5b",7.66842003592778e-08,1.33401871853782,0.076,0.03,0.00247153177757952
"Fhad1",8.78484434016514e-08,1.91873380687711,0.057,0.018,0.00283135533083523
"Rnf145",9.96134563878582e-08,0.302517210843784,0.585,0.533,0.00321054169938067
"Thoc5",1.15845207460193e-07,-0.207445920465335,0.655,0.715,0.00373369103644201
"Junb",1.19797166070307e-07,0.758813864307875,0.207,0.137,0.00386106266244599
"Dct",1.22474084759811e-07,-0.965783339133689,0.061,0.111,0.00394733975180872
"Tmem35a",1.30488271168755e-07,-0.446884464427487,0.265,0.349,0.00420563697976897
"R3hcc1l",1.39861261579857e-07,0.345039955559193,0.52,0.451,0.00450772846071879
"Agpat3",1.57890633769637e-07,-0.0615929406922846,0.966,0.98,0.0050888151263954
"Lrrc2",1.58635748941136e-07,0.516364200798265,0.427,0.372,0.00511283018837281
"D16Ertd472e",1.65229876954325e-07,-0.350491361921437,0.391,0.477,0.00532535893423789
"Pitpnm1",1.69408978110468e-07,-0.0689356223416826,0.949,0.962,0.00546005136450039
"Col5a3",1.72962863175051e-07,0.693579362206408,0.2,0.13,0.00557459308013188
"Map3k1",2.10348131200891e-07,0.380991135475588,0.487,0.429,0.00677952026860472
