"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pik3c2b",0.000136211618569575,1.58788957980371,0.312,0.109,1
"Irx2",0.000158708599553957,-0.768788518430322,0.469,0.689,1
"Sntb2",0.000251361486753594,-0.483814611057434,0.771,0.891,1
"Pik3r1",0.000262428605887961,-0.404072750209277,0.875,0.941,1
"Fxyd2",0.000327069409609529,3.12498270144075,0.104,0,1
"St13",0.000437997499515948,0.485700957089711,0.802,0.655,1
"Angptl4",0.000441260786443522,0.854840837323736,0.635,0.403,1
"Ranbp2",0.00051463973454672,-0.418718666222186,0.781,0.882,1
"Ralgps2",0.000568534042403543,1.49117778845617,0.281,0.101,1
"Gng8",0.00057148404585283,-1.38849504407244,0.146,0.353,1
"Pappa2",0.000585775000927135,-1.11621560716506,0.229,0.445,1
"Irgm1",0.000608499458332077,-1.22992715532209,0.344,0.529,1
"Rfx1",0.000630727653713571,1.1673938153576,0.427,0.227,1
"Ddx3y",0.000641832894565514,0.863100792752627,0.531,0.294,1
"Pam",0.000669761334088416,0.438656916391574,0.906,0.807,1
"Ifit1",0.000729748246715656,-2.32711197282879,0.031,0.176,1
"Gramd1a",0.000740511393150504,-0.664276876926263,0.448,0.714,1
"Bcl6",0.000776131282126521,-0.687074498022289,0.469,0.689,1
"Epas1",0.000787033419281711,-0.394348077564789,0.833,0.941,1
"Ankfy1",0.000830069938153756,-0.606219645401342,0.49,0.714,1
"Sult1a1",0.000871693734575722,-0.635657399703442,0.531,0.731,1
"Pard6g",0.000964275778710338,-0.961603818639074,0.229,0.445,1
"Adi1",0.00109151779583932,-0.783633597115432,0.323,0.555,1
"Prima1",0.00115645717701053,1.77562831245216,0.167,0.034,1
"Prss35",0.00140980834769613,1.09235880500001,0.344,0.16,1
"S100a6",0.00144507887907714,0.431145358649892,0.875,0.756,1
"Rgs7bp",0.00151899077721923,-0.490698712131641,0.667,0.79,1
"Rxfp3",0.00179939911910453,-2.46216825652686,0.031,0.16,1
"Avpr1a",0.00191394953301976,-1.27693777837566,0.146,0.328,1
"Rabggta",0.00195017554512343,1.31716027404231,0.323,0.151,1
"Mtdh",0.00197633695006899,-0.475285421542798,0.635,0.773,1
"Dipk2a",0.00204599125991584,0.954528589411449,0.531,0.336,1
"Ammecr1l",0.00213213878454583,-0.529450527299791,0.521,0.697,1
"Cox4i2",0.00224152548482049,-0.98956315506595,0.167,0.361,1
"Fcer1g",0.00231959994879089,-2.1529319168996,0.01,0.118,1
"Polg",0.00238847563816804,0.622004768724049,0.615,0.403,1
"Selenop",0.00254549054784837,-0.135519136242411,0.99,0.966,1
"Tarbp2",0.00257506142365759,0.822621594401291,0.406,0.227,1
"Bhlhe40",0.00263806054364724,0.442778967165279,0.865,0.697,1
"Samm50",0.00280148021714057,0.547024000351807,0.74,0.597,1
"Rapgef6",0.00280553471144749,0.495762396216346,0.729,0.63,1
"Thrb",0.00289857736089199,-1.02900592506016,0.229,0.403,1
"Smarcc2",0.00300508407695789,0.228060242839621,0.979,0.95,1
"Actg1",0.00305985116831663,0.230176345398732,0.99,0.958,1
"Itm2b",0.00307113755616691,-0.0715891162223783,1,1,1
"Ak3",0.00316877816073692,-0.25808210916207,0.875,0.924,1
"Slc41a1",0.00317988472262305,-0.454381957215567,0.625,0.782,1
"Vav2",0.00324020953307549,-0.623618329598304,0.469,0.639,1
"Zmym5",0.0032515359885234,-0.458183229310113,0.552,0.714,1
"Tpd52l2",0.00330126086564117,-0.303963792335276,0.812,0.857,1
"Csf2ra",0.00332856250885335,-1.25096368568864,0.156,0.319,1
"Fam57a",0.00336454714794981,1.59235538741566,0.208,0.076,1
"Tmem260",0.00341395947631341,-0.721594180114034,0.365,0.563,1
"Emcn",0.00343394268487911,-0.547992192665017,0.521,0.697,1
"Itga8",0.00353630773873516,1.13505666739633,0.427,0.269,1
"Alcam",0.00354934544731317,1.10485056723683,0.219,0.076,1
"Ppic",0.00356868312235138,0.301050450827174,0.969,0.874,1
"Eif1a",0.00369769292558031,0.513186665335593,0.74,0.538,1
"Klhdc4",0.00371100646580206,-1.17449213678014,0.188,0.361,1
"Hr",0.00373890185485516,-0.82942891949838,0.208,0.403,1
"Plxna3",0.0037792517227873,0.894411439044691,0.406,0.235,1
"Snx8",0.00385605042886776,0.880776562061729,0.427,0.252,1
"AI413582",0.00391259209638677,1.17221288285091,0.281,0.126,1
"Ninj1",0.00394150930827566,0.795976766447818,0.49,0.328,1
"Snap23",0.00399859362280957,0.89369627519832,0.438,0.277,1
"Abcc9",0.00402718751271275,-0.540677570878633,0.458,0.647,1
"Tenm4",0.00416414450359407,-1.81108697822335,0.062,0.193,1
"Pcdhb9",0.00425404410305597,2.27900539166652,0.125,0.025,1
"Itgb5",0.00430710427050466,-0.21377343440525,0.938,0.983,1
"Camp",0.00433829658471912,-1.98917474143353,0.052,0.176,1
"Mto1",0.00437004653309053,1.25558727869919,0.25,0.101,1
"Prcd",0.00441498204108034,1.25195593363396,0.208,0.076,1
"Cdc37",0.00444977708192169,0.275047485111118,0.854,0.84,1
"Cs",0.00454871746581641,0.699930417953163,0.562,0.361,1
"Ccdc85a",0.00455584302383776,-1.63571154412622,0.073,0.21,1
"Ptpn3",0.00459131019789639,-0.639439678576158,0.365,0.571,1
"Fn1",0.00466540570402069,0.45804830919741,0.604,0.361,1
"Zfp839",0.00472945322598032,-1.95354541665402,0.031,0.143,1
"Creld2",0.00473484915918385,0.559978211562695,0.646,0.479,1
"Nrxn1",0.00478917575520473,-1.73219460015211,0.062,0.193,1
"Arhgap20",0.00486757599049422,0.867037726247102,0.51,0.345,1
"Ppp1r11",0.00497350050439836,0.487316277668981,0.75,0.588,1
"Armc8",0.00500181656720346,0.541535344716022,0.667,0.479,1
"Zfp365",0.00505111478980331,1.45782365623881,0.125,0.025,1
"Eif2a",0.00510496329842781,0.445498054169834,0.75,0.639,1
"Pqlc3",0.00511266620847693,0.621767808419402,0.531,0.37,1
"Lum",0.00513390744767516,-0.340789089016018,0.708,0.824,1
"Lpin2",0.00521550804002043,-0.582437091261396,0.354,0.563,1
"Hars2",0.0054514899074945,-0.75453887709366,0.375,0.546,1
"Cspp1",0.00550631736052906,-0.81619790014116,0.365,0.521,1
