"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Phc2",0.00021946987066461,0.765309041305529,1,0.818,1
"Svip",0.000297695248567719,2.20886951410491,0.8,0.091,1
"Rab7",0.000563117564779662,0.835689157792909,1,0.727,1
"Igsf9",0.000611423855455989,-2.34617995064841,0.15,0.727,1
"Hspa5",0.000887777444135637,-0.775367331476577,0.9,1,1
"Ush2a",0.000896741316775238,-2.74132451044088,0.1,0.636,1
"Lrtm1",0.000915378617754912,-1.77155551363217,0.5,0.909,1
"Xpr1",0.00102500271766479,0.99971226924252,0.95,0.818,1
"Gsr",0.00115783197660075,1.85572120748277,0.75,0.182,1
"Agtpbp1",0.00119127027782823,0.534640764906157,1,1,1
"Dcaf7",0.00137582184104569,-0.272286137624078,1,1,1
"Bbs12",0.00141992992969579,-2.58614253185781,0,0.455,1
"Mgat4a",0.00141992992969579,-2.7170854493001,0,0.455,1
"Tle2",0.0015795111483013,0.818079101105886,0.95,0.818,1
"Aqr",0.00160218405700543,1.382042039982,0.9,0.364,1
"Cntn4",0.00165300735445812,-1.51405492469917,0.5,0.909,1
"Rfx5",0.00166747410111552,-1.19149736312856,0.6,1,1
"Dok6",0.00170725418491297,-1.93987819792088,0.15,0.727,1
"Sgsm3",0.00171941635652505,1.12087032079719,0.9,0.545,1
"Traf4",0.00205996910766065,2.12014940028546,0.6,0,1
"Igf1r",0.00209926279540253,0.51322686110425,1,1,1
"Ugdh",0.00219718033510204,-1.42065699503287,0.45,0.909,1
"Copb1",0.00224698733267874,0.511829519911856,0.95,0.909,1
"Brix1",0.00250022284953139,1.27245264441011,0.85,0.364,1
"Sik2",0.00253052314992127,-1.27546885675956,0.45,0.909,1
"Wdsub1",0.0026761175533531,-1.61377667219286,0.35,0.818,1
"Lsm14b",0.00274937482135186,0.625076656321084,0.95,0.818,1
"Exoc6b",0.00274937482135186,-0.805079978049699,0.85,1,1
"Acbd4",0.00280812147205927,-2.18256307018957,0.05,0.545,1
"Preb",0.00285301851346448,0.780446685482828,0.85,0.727,1
"Cbll1",0.00290953980032819,-1.29664819448699,0.45,0.909,1
"Akt1s1",0.00309106183816669,2.0647774498814,0.65,0.091,1
"Cmc4",0.00309294210012649,-2.00217899558642,0.15,0.636,1
"Hnrnpdl",0.00333310496671256,-1.24129666961131,0.45,1,1
"Akain1",0.00333970970827154,-1.31634664900097,0.45,0.909,1
"Osbpl11",0.00348913034047831,-0.903048636518052,0.7,1,1
"Vps35",0.0035391571984864,0.793066604702922,0.9,0.727,1
"Uqcc1",0.00367558364398038,1.20349512580025,0.9,0.364,1
"Abcd2",0.00403785176261662,-0.938592922007043,0.75,1,1
"Amn1",0.00406366436904055,1.06914294588565,0.85,0.545,1
"Psap",0.00410892448393789,-0.442412573545152,0.95,1,1
"Taf11",0.00429890789187208,1.21065116830675,0.85,0.364,1
"Med8",0.00436157068774321,1.15233783215415,0.8,0.364,1
"Cdkn1b",0.00438526132490165,0.682520749451925,0.95,0.909,1
"Lonp1",0.00459952619569381,0.896419960090904,0.95,0.636,1
"Hspa4l",0.00467833884497293,-0.754108773081704,0.9,1,1
"Arid4a",0.00490264132369611,1.14439913850534,0.85,0.364,1
"Tbrg4",0.00490264132369611,1.08681767582322,0.85,0.364,1
"Smc6",0.0050679765182151,1.00636993797056,0.9,0.545,1
"Ppip5k1",0.0050679765182151,-1.0431785070548,0.65,1,1
"Spata33",0.00512935945294412,-2.25822170079338,0,0.364,1
"Myh9",0.00512935945294412,-2.33363011061705,0,0.364,1
"Gpd1",0.00512935945294412,-2.38139857554289,0,0.364,1
"Pak1ip1",0.00527248998034876,1.20015513667218,0.85,0.545,1
"Grid1",0.00527686210535608,-0.779580770998074,0.8,1,1
"Mark3",0.00532289342426947,0.600984414750556,1,0.909,1
"Ap4e1",0.00566791198242426,-1.44632212927614,0.4,0.909,1
"Gpcpd1",0.00602098937663134,0.713286763913791,0.95,0.818,1
"Igflr1",0.00615002430503037,-1.37216386263926,0.35,0.818,1
"Slc6a9",0.00646271521959145,-2.36507406671251,0.05,0.455,1
"Tsc1",0.00653532946257125,0.896146273584076,0.9,0.545,1
"Morn2",0.00670508724327146,-1.78708279565227,0.35,0.727,1
"Tmem120b",0.0067334755140396,1.881610222922,0.5,0,1
"Zfp51",0.0067334755140396,1.69645217749389,0.5,0,1
"Zc3h10",0.0067334755140396,1.56141820623235,0.5,0,1
"Exoc6",0.0067334755140396,1.52899821135449,0.5,0,1
"Cct3",0.00673418783159175,0.787634883288006,0.95,0.636,1
"Babam1",0.00682358809226682,-0.675851080782585,0.85,1,1
"Gria2",0.00684603592327462,-0.43565665078443,1,1,1
"Gnb5",0.00684603592327462,-0.407873273899088,0.95,1,1
"Edil3",0.00772105550929321,-0.646066208043014,0.85,1,1
"H3f3b",0.00774575170514943,0.244109213698502,1,1,1
"Det1",0.00790102011952886,-1.8234227128369,0.1,0.545,1
"Sugp1",0.00837424448125677,0.962686109097682,0.9,0.545,1
"Sumo2",0.00872289501481546,0.546688197439319,0.95,0.818,1
"Zfp523",0.00872289501481546,-0.80661060124295,0.85,1,1
"Heatr1",0.00873495257454283,1.40293921796742,0.65,0.182,1
"Hipk2",0.00874322874902718,0.519932943963395,1,0.818,1
"Serinc3",0.00874322874902718,-0.564444758126392,0.9,1,1
"Dpf3",0.00874322874902718,-0.647804051477148,0.9,1,1
"Wdr7",0.00875001195981403,-0.590309994294355,1,0.909,1
"Rbm14",0.00875001195981403,-0.417712530439067,1,1,1
"Ank2",0.00875001195981403,-0.454845670146034,1,1,1
"Snrpb2",0.00876938561811724,1.2888411767377,0.7,0.273,1
"Cfp",0.00890636643912695,-1.23966185411927,0.4,1,1
"Fam234b",0.00899678721133034,1.02148913176802,0.85,0.455,1
"Rnf144a",0.00899678721133034,1.21926780388672,0.8,0.545,1
"Cse1l",0.00922361238595645,0.675502846359881,0.95,0.727,1
"Smoc1",0.00939451600614829,-1.17102814717508,0.5,0.909,1
"Fam32a",0.00972091065487682,0.867374440138221,0.95,0.636,1
"Riok2",0.00972091065487682,-0.851869004658982,0.8,0.909,1
"Vps37a",0.00986905564818801,-0.59165382552958,0.95,1,1
"Arhgap44",0.0103487746031067,-1.75442516126925,0.25,0.636,1
"Tnfsf12",0.0103487746031067,-1.88625615236052,0.25,0.636,1
"Sec63",0.0104408882088676,0.940218268448045,0.8,0.636,1
"Dkk3",0.0104495901419988,-1.7005799791115,0.15,0.636,1
"Phyhd1",0.0104495901419988,-1.75703816298983,0.15,0.636,1
