Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP295,Electron transport chain,,-13,17,14,21160,99,181,14,7.7,2,12857|12859|12861|22272|27425|54405|57423|66043|66414|68194|68375|78330|110323|407785,Cox4i1|Cox5b|Cox6a1|Uqcrq|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-8.6,hits
GO Biological Processes,19,GO:0009060,aerobic respiration,19_GO:0009987 cellular process,-12,11,12,21160,168,181,16,8.8,2.1,12857|12859|12861|12867|20917|22272|54405|57423|66043|66414|68194|68375|78330|110323|170718|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Suclg2|Uqcrq|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Idh3b|Ndufs6,-8.1,hits
KEGG Pathway,24,mmu00190,Oxidative phosphorylation - Mus musculus (house mouse),,-12,12,13,21160,141,181,15,8.3,2,12857|12859|12861|12867|22272|27425|54405|57423|66043|66414|68194|68375|78330|110323|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Uqcrq|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-8.1,hits
GO Biological Processes,19,GO:0006119,oxidative phosphorylation,19_GO:0009987 cellular process,-12,13,13,21160,122,181,14,7.7,2,12857|12859|12861|12867|22272|54405|57423|66043|66414|68194|68375|78330|110323|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Uqcrq|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-7.9,hits
GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0009987 cellular process,-11,6.4,9.9,21160,383,181,21,12,2.4,12857|12859|12861|12867|14387|18642|18655|20917|21881|22272|26384|54405|57423|66043|66414|68194|68375|78330|110323|170718|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Gaa|Pfkm|Pgk1|Suclg2|Tkt|Uqcrq|Gnpda1|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Idh3b|Ndufs6,-7.2,hits
KEGG Pathway,24,mmu04714,Thermogenesis - Mus musculus (house mouse),,-11,8.4,11,21160,238,181,17,9.4,2.2,12857|12859|12861|12867|18176|19082|22272|27425|54405|57423|66043|66414|68194|68375|78330|110323|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Nras|Prkag1|Uqcrq|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-7.1,hits
GO Biological Processes,19,GO:0045333,cellular respiration,19_GO:0009987 cellular process,-10,8.9,11,21160,211,181,16,8.8,2.1,12857|12859|12861|12867|20917|22272|54405|57423|66043|66414|68194|68375|78330|110323|170718|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Suclg2|Uqcrq|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Idh3b|Ndufs6,-7,hits
GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0009987 cellular process,-10,7.2,9.9,21160,293,181,18,9.9,2.2,12857|12859|12861|12867|14387|18642|20917|22272|54405|57423|66043|66414|68194|68375|78330|110323|170718|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Gaa|Pfkm|Suclg2|Uqcrq|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Idh3b|Ndufs6,-6.8,hits
KEGG Pathway,24,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),,-9.9,10,11,21160,162,181,14,7.7,2,12857|12859|12861|12867|19082|21937|22272|54405|66414|68194|68375|78330|110323|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Prkag1|Tnfrsf1a|Uqcrq|Ndufa1|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-6.6,hits
Reactome Gene Sets,6,R-MMU-1428517,Aerobic respiration and respiratory electron transport,,-9.8,8.1,10,21160,231,181,16,8.8,2.1,12857|12861|12867|20917|22272|27425|54405|57423|66043|66414|68194|68375|78330|110323|170718|407785,Cox4i1|Cox6a1|Cox7c|Suclg2|Uqcrq|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Idh3b|Ndufs6,-6.6,hits
KEGG Pathway,24,mmu05415,Diabetic cardiomyopathy - Mus musculus (house mouse),,-9.2,8.1,9.7,21160,217,181,15,8.3,2,12857|12859|12861|12867|13033|19211|22272|54405|66043|66414|68194|68375|78330|110323|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Ctsd|Pten|Uqcrq|Ndufa1|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-6,hits
KEGG Pathway,24,mmu05208,Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse),,-8.9,7.7,9.4,21160,229,181,15,8.3,2,12857|12859|12861|12867|18176|19211|22272|54405|66043|66414|68194|68375|78330|110323|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Nras|Pten|Uqcrq|Ndufa1|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-5.7,hits
KEGG Pathway,24,mmu05016,Huntington disease - Mus musculus (house mouse),,-8.9,6.5,9,21160,308,181,17,9.4,2.2,11773|12857|12859|12861|12867|14775|22143|22272|54405|66043|66414|68194|68375|73916|78330|110323|407785,Ap2m1|Cox4i1|Cox5b|Cox6a1|Cox7c|Gpx1|Tuba1b|Uqcrq|Ndufa1|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ift57|Ndufv3|Cox6b1|Ndufs6,-5.7,hits
KEGG Pathway,24,mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),,-8.2,4.9,8,21160,481,181,20,11,2.3,11820|12857|12859|12861|12867|14775|18176|21937|22143|22272|54405|66043|66414|66734|68194|68375|73916|78330|110323|407785,App|Cox4i1|Cox5b|Cox6a1|Cox7c|Gpx1|Nras|Tnfrsf1a|Tuba1b|Uqcrq|Ndufa1|Atp5f1d|Ndufa12|Map1lc3a|Ndufb4|Ndufa8|Ift57|Ndufv3|Cox6b1|Ndufs6,-5.1,hits
KEGG Pathway,24,mmu05010,Alzheimer disease - Mus musculus (house mouse),,-8.1,5.4,8.2,21160,389,181,18,9.9,2.2,11816|11820|12857|12859|12861|12867|18176|21937|22143|22272|54405|66043|66414|68194|68375|78330|110323|407785,Apoe|App|Cox4i1|Cox5b|Cox6a1|Cox7c|Nras|Tnfrsf1a|Tuba1b|Uqcrq|Ndufa1|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-5.1,hits
GO Biological Processes,19,GO:0015986,proton motive force-driven ATP synthesis,19_GO:0009987 cellular process,-8.1,15,11,21160,69,181,9,5,1.6,27425|54405|57423|66043|66414|68194|68375|78330|407785,Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Ndufs6,-5.1,hits
GO Biological Processes,19,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,19_GO:0009987 cellular process,-8.1,12,10,21160,94,181,10,5.5,1.7,18102|27425|54405|57423|66043|66414|68194|68375|78330|407785,Nme1|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Ndufs6,-5.1,hits
GO Biological Processes,19,GO:0009145,purine nucleoside triphosphate biosynthetic process,19_GO:0009987 cellular process,-8.1,12,10,21160,95,181,10,5.5,1.7,18102|27425|54405|57423|66043|66414|68194|68375|78330|407785,Nme1|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Ndufs6,-5.1,hits
GO Biological Processes,19,GO:0042775,mitochondrial ATP synthesis coupled electron transport,19_GO:0009987 cellular process,-7.9,14,11,21160,73,181,9,5,1.6,12857|12859|12861|12867|22272|66414|68375|78330|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Uqcrq|Ndufa12|Ndufa8|Ndufv3|Ndufs6,-5,hits
GO Biological Processes,19,GO:0009205,purine ribonucleoside triphosphate metabolic process,19_GO:0009987 cellular process,-7.9,7.8,8.9,21160,194,181,13,7.2,1.9,12628|18102|18642|18655|27425|54405|57423|66043|66414|68194|68375|78330|407785,Cfh|Nme1|Pfkm|Pgk1|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Ndufs6,-5,hits
GO Biological Processes,19,GO:0009201,ribonucleoside triphosphate biosynthetic process,19_GO:0009987 cellular process,-7.9,12,10,21160,99,181,10,5.5,1.7,18102|27425|54405|57423|66043|66414|68194|68375|78330|407785,Nme1|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Ndufs6,-5,hits
GO Biological Processes,19,GO:0042773,ATP synthesis coupled electron transport,19_GO:0009987 cellular process,-7.8,14,10,21160,75,181,9,5,1.6,12857|12859|12861|12867|22272|66414|68375|78330|407785,Cox4i1|Cox5b|Cox6a1|Cox7c|Uqcrq|Ndufa12|Ndufa8|Ndufv3|Ndufs6,-4.9,hits
GO Biological Processes,19,GO:0009199,ribonucleoside triphosphate metabolic process,19_GO:0009987 cellular process,-7.7,7.6,8.7,21160,201,181,13,7.2,1.9,12628|18102|18642|18655|27425|54405|57423|66043|66414|68194|68375|78330|407785,Cfh|Nme1|Pfkm|Pgk1|Atp5mg|Ndufa1|Atp5mf|Atp5f1d|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Ndufs6,-4.8,hits
Reactome Gene Sets,6,R-MMU-611105,Respiratory electron transport,,-7.7,9.7,9.3,21160,133,181,11,6.1,1.8,12857|12861|12867|22272|54405|66414|68194|68375|78330|110323|407785,Cox4i1|Cox6a1|Cox7c|Uqcrq|Ndufa1|Ndufa12|Ndufb4|Ndufa8|Ndufv3|Cox6b1|Ndufs6,-4.8,hits
