Cluster,Score,Type,Gene,Symbol,Network
1,5.5,Clustered,68375,Ndufa8,hits_SUB1
1,5.5,Clustered,66414,Ndufa12,hits_SUB1
1,5.5,Clustered,68194,Ndufb4,hits_SUB1
1,5.5,Clustered,22272,Uqcrq,hits_SUB1
1,5.5,Clustered,12857,Cox4i1,hits_SUB1
1,5.5,Clustered,110323,Cox6b1,hits_SUB1
1,5.5,Clustered,12861,Cox6a1,hits_SUB1
1,5.5,Clustered,78330,Ndufv3,hits_SUB1
1,5.5,Clustered,12859,Cox5b,hits_SUB1
1,5.5,Clustered,407785,Ndufs6,hits_SUB1
1,5.5,Seed,54405,Ndufa1,hits_SUB1
1,5.5,Clustered,12867,Cox7c,hits_SUB1
2,2.3333333333333335,Clustered,27643,Ubl4a,hits_SUB1
2,2.3333333333333335,Clustered,56347,Eif3c,hits_SUB1
2,2.3333333333333335,Seed,68184,Denr,hits_SUB1
2,2.3333333333333335,Clustered,54208,Arl6ip1,hits_SUB1
2,2.3333333333333335,Clustered,53356,Eif3g,hits_SUB1
2,2.3333333333333335,Clustered,13681,Eif4a1,hits_SUB1
4,1.5,Seed,13167,Dbi,hits_SUB1
4,1.5,Clustered,11816,Apoe,hits_SUB1
4,1.5,Clustered,12759,Clu,hits_SUB1
4,1.5,Clustered,11820,App,hits_SUB1
3,1.2,Clustered,66105,Ube2d3,hits_SUB1
3,1.2,Clustered,56438,Rbx1,hits_SUB1
3,1.2,Seed,28199,Dcaf11,hits_SUB1
3,1.2,Clustered,18538,Pcna,hits_SUB1
3,1.2,Clustered,26894,Cops7a,hits_SUB1
5,1.0,Clustered,56334,Tmed2,hits_SUB1
5,1.0,Seed,11842,Arf3,hits_SUB1
5,1.0,Clustered,20333,Sec22b,hits_SUB1
