_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.7,GO:0036293,response to decreased oxygen levels,M1,1,0
1,-2.3,GO:0048593,camera-type eye morphogenesis,M1,1,0
1,-2.2,GO:0005975,carbohydrate metabolic process,M1,1,0
1,-3.7,GO:0009154,purine ribonucleotide catabolic process,M1,1,0
1,-2.6,GO:1903530,regulation of secretion by cell,M1,1,0
1,-2.6,GO:0051046,regulation of secretion,M1,1,0
1,-3,GO:0000226,microtubule cytoskeleton organization,M1,1,0
1,-2.8,GO:0044282,small molecule catabolic process,M1,1,0
1,-2.4,GO:1904035,regulation of epithelial cell apoptotic process,M1,1,0
1,-2.1,GO:1902532,negative regulation of intracellular signal transduction,M1,1,0
1,-3,GO:0046321,positive regulation of fatty acid oxidation,M1,1,0
1,-2.4,R-MMU-8953897,Cellular responses to stimuli,M1,1,0
1,-2,GO:0060042,retina morphogenesis in camera-type eye,M1,1,0
1,-3,GO:0061462,protein localization to lysosome,M1,1,0
1,-4,GO:0006090,pyruvate metabolic process,M1,1,0
1,-2.4,GO:0016079,synaptic vesicle exocytosis,M1,1,0
1,-4.3,mmu04922,Glucagon signaling pathway - Mus musculus (house mouse),M1,1,0
1,-5.1,GO:0006006,glucose metabolic process,M1,1,0
1,-3.1,GO:0007423,sensory organ development,M1,1,0
1,-2.6,GO:2001234,negative regulation of apoptotic signaling pathway,M1,1,0
1,-4.6,GO:0001654,eye development,M1,1,0
1,-2.2,GO:0017156,calcium-ion regulated exocytosis,M1,1,0
1,-3.5,GO:0072526,pyridine-containing compound catabolic process,M1,1,0
1,-2.1,R-MMU-9707564,Cytoprotection by HMOX1,M1,1,0
1,-4,GO:0006376,mRNA splice site recognition,M1,1,0
1,-3,R-MMU-2187338,Visual phototransduction,M1,1,0
1,-3.5,GO:0009261,ribonucleotide catabolic process,M1,1,0
1,-2.6,GO:0032303,regulation of icosanoid secretion,M1,1,0
1,-3.4,GO:0009134,nucleoside diphosphate catabolic process,M1,1,0
1,-2.8,mmu04728,Dopaminergic synapse - Mus musculus (house mouse),M1,1,0
1,-3.9,GO:0007601,visual perception,M1,1,0
1,-2.4,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.5,GO:0048511,rhythmic process,M1,1,0
1,-2.5,mmu04931,Insulin resistance - Mus musculus (house mouse),M1,1,0
1,-3,WP157,Glycolysis and gluconeogenesis,M1,1,0
1,-2.1,GO:0019725,cellular homeostasis,M1,1,0
1,-5.5,GO:0006007,glucose catabolic process,M1,1,0
1,-2.9,GO:0019362,pyridine nucleotide metabolic process,M1,1,0
1,-3.6,GO:0019364,pyridine nucleotide catabolic process,M1,1,0
1,-3.8,GO:0009132,nucleoside diphosphate metabolic process,M1,1,0
1,-3.2,GO:0019217,regulation of fatty acid metabolic process,M1,1,0
1,-6.7,GO:0046365,monosaccharide catabolic process,M1,1,0
1,-4,GO:0009185,ribonucleoside diphosphate metabolic process,M1,1,0
1,-2.9,GO:0006094,gluconeogenesis,M1,1,0
1,-3.4,GO:0006195,purine nucleotide catabolic process,M1,1,0
1,-3,GO:0043065,positive regulation of apoptotic process,M1,1,0
1,-3.6,GO:0007269,neurotransmitter secretion,M1,1,0
1,-3.8,WP2084,SREBF and miR33 in cholesterol and lipid homeostasis,M1,1,0
1,-2,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-2.4,GO:0010565,regulation of ketone metabolic process,M1,1,0
1,-4.7,GO:0061621,canonical glycolysis,M1,1,0
1,-2.3,mmu04530,Tight junction - Mus musculus (house mouse),M1,1,0
1,-2.2,GO:0046890,regulation of lipid biosynthetic process,M1,1,0
1,-2.6,GO:0046364,monosaccharide biosynthetic process,M1,1,0
1,-2.3,GO:0046034,ATP metabolic process,M1,1,0
1,-3,GO:0000245,spliceosomal complex assembly,M1,1,0
1,-3.8,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.8,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-2.1,GO:1904951,positive regulation of establishment of protein localization,M1,1,0
1,-2.6,GO:0051402,neuron apoptotic process,M1,1,0
1,-2.6,R-MMU-71387,Metabolism of carbohydrates,M1,1,0
1,-5.2,GO:0043010,camera-type eye development,M1,1,0
1,-2.3,mmu04919,Thyroid hormone signaling pathway - Mus musculus (house mouse),M1,1,0
1,-4.3,GO:0061615,glycolytic process through fructose-6-phosphate,M1,1,0
1,-2.1,GO:0051588,regulation of neurotransmitter transport,M1,1,0
1,-6.9,GO:0019320,hexose catabolic process,M1,1,0
1,-3,GO:0043524,negative regulation of neuron apoptotic process,M1,1,0
1,-2.4,GO:0046928,regulation of neurotransmitter secretion,M1,1,0
1,-2,GO:1903573,negative regulation of response to endoplasmic reticulum stress,M1,1,0
1,-3.6,GO:0030522,intracellular receptor signaling pathway,M1,1,0
1,-3.5,GO:0009191,ribonucleoside diphosphate catabolic process,M1,1,0
1,-4.4,GO:0009135,purine nucleoside diphosphate metabolic process,M1,1,0
1,-2.7,GO:1901632,regulation of synaptic vesicle membrane organization,M1,1,0
1,-3.4,R-MMU-70326,Glucose metabolism,M1,1,0
1,-2.1,GO:0046320,regulation of fatty acid oxidation,M1,1,0
1,-3.3,mmu04920,Adipocytokine signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.7,GO:2001242,regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.7,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-3.4,GO:0048791,calcium ion-regulated exocytosis of neurotransmitter,M1,1,0
1,-3.7,R-MMU-70171,Glycolysis,M1,1,0
1,-2.4,R-MMU-556833,Metabolism of lipids,M1,1,0
1,-2.7,GO:0031630,regulation of synaptic vesicle fusion to presynaptic active zone membrane,M1,1,0
1,-2.1,GO:0062197,cellular response to chemical stress,M1,1,0
1,-4.2,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,M1,1,0
