Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0006007,glucose catabolic process,19_GO:0009987 cellular process,-6.9,41,14,21160,26,99,5,5.1,2.2,11674|14751|18640|18641|21991,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-4.2
hits,GO Biological Processes,19,GO:0006006,glucose metabolic process,19_GO:0009987 cellular process,-6.4,12,8.9,21160,146,99,8,8.1,2.7,11674|12894|14751|18640|18641|19013|19017|21991,Aldoa|Cpt1a|Gpi1|Pfkfb2|Pfkl|Ppara|Ppargc1a|Tpi1,-3.9
hits,GO Biological Processes,19,GO:0046031,ADP metabolic process,19_GO:0009987 cellular process,-6.3,20,11,21160,63,99,6,6.1,2.4,11639|11674|14751|18640|18641|21991,Ak4|Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.8
hits,KEGG Pathway,24,mmu04922,Glucagon signaling pathway - Mus musculus (house mouse),,-6.2,14,9.4,21160,104,99,7,7.1,2.6,12894|18641|19013|19017|19057|19079|108058,Cpt1a|Pfkl|Ppara|Ppargc1a|Ppp3cc|Prkab1|Camk2d,-3.8
hits,GO Biological Processes,19,GO:0009135,purine nucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-6,18,10,21160,70,99,6,6.1,2.4,11639|11674|14751|18640|18641|21991,Ak4|Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.6
hits,GO Biological Processes,19,GO:0009179,purine ribonucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-6,18,10,21160,70,99,6,6.1,2.4,11639|11674|14751|18640|18641|21991,Ak4|Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.6
hits,GO Biological Processes,19,GO:0061621,canonical glycolysis,19_GO:0009987 cellular process,-5.9,47,14,21160,18,99,4,4,2,11674|14751|18641|21991,Aldoa|Gpi1|Pfkl|Tpi1,-3.5
hits,GO Biological Processes,19,GO:0006735,NADH regeneration,19_GO:0009987 cellular process,-5.9,47,14,21160,18,99,4,4,2,11674|14751|18641|21991,Aldoa|Gpi1|Pfkl|Tpi1,-3.5
hits,GO Biological Processes,19,GO:0061718,glucose catabolic process to pyruvate,19_GO:0009987 cellular process,-5.9,47,14,21160,18,99,4,4,2,11674|14751|18641|21991,Aldoa|Gpi1|Pfkl|Tpi1,-3.5
hits,GO Biological Processes,19,GO:0019320,hexose catabolic process,19_GO:0009987 cellular process,-5.7,24,11,21160,44,99,5,5.1,2.2,11674|14751|18640|18641|21991,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.4
hits,KEGG Pathway,24,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),,-5.7,12,8.4,21160,127,99,7,7.1,2.6,12894|15357|18640|18641|19017|19079|226849,Cpt1a|Hmgcr|Pfkfb2|Pfkl|Ppargc1a|Prkab1|Ppp2r5a,-3.3
hits,GO Biological Processes,19,GO:0019318,hexose metabolic process,19_GO:0009987 cellular process,-5.6,9.4,7.8,21160,182,99,8,8.1,2.7,11674|12894|14751|18640|18641|19013|19017|21991,Aldoa|Cpt1a|Gpi1|Pfkfb2|Pfkl|Ppara|Ppargc1a|Tpi1,-3.3
hits,GO Biological Processes,19,GO:0009185,ribonucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-5.6,16,9.1,21160,82,99,6,6.1,2.4,11639|11674|14751|18640|18641|21991,Ak4|Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.3
hits,GO Biological Processes,19,GO:0061620,glycolytic process through glucose-6-phosphate,19_GO:0009987 cellular process,-5.6,41,12,21160,21,99,4,4,2,11674|14751|18641|21991,Aldoa|Gpi1|Pfkl|Tpi1,-3.3
hits,GO Biological Processes,19,GO:0046365,monosaccharide catabolic process,19_GO:0009987 cellular process,-5.6,23,10,21160,47,99,5,5.1,2.2,11674|14751|18640|18641|21991,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.3
hits,GO Biological Processes,19,GO:0009132,nucleoside diphosphate metabolic process,19_GO:0009987 cellular process,-5.5,15,8.8,21160,87,99,6,6.1,2.4,11639|11674|14751|18640|18641|21991,Ak4|Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.2
hits,GO Biological Processes,19,GO:0045923,positive regulation of fatty acid metabolic process,19_GO:0048518 positive regulation of biological process,-5.4,21,9.9,21160,50,99,5,5.1,2.2,12894|19013|19017|26420|64383,Cpt1a|Ppara|Ppargc1a|Mapk9|Sirt2,-3.2
hits,GO Biological Processes,19,GO:0061615,glycolytic process through fructose-6-phosphate,19_GO:0009987 cellular process,-5.4,37,12,21160,23,99,4,4,2,11674|14751|18641|21991,Aldoa|Gpi1|Pfkl|Tpi1,-3.2
hits,GO Biological Processes,19,GO:0019677,NAD catabolic process,19_GO:0009987 cellular process,-5.4,37,12,21160,23,99,4,4,2,11674|14751|18641|21991,Aldoa|Gpi1|Pfkl|Tpi1,-3.2
hits,GO Biological Processes,19,GO:0009154,purine ribonucleotide catabolic process,19_GO:0009987 cellular process,-5.3,14,8.5,21160,92,99,6,6.1,2.4,11674|14751|18640|18641|21991|218461,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1|Pde8b,-3.2
hits,GO Biological Processes,19,GO:0006096,glycolytic process,19_GO:0009987 cellular process,-5.3,20,9.5,21160,54,99,5,5.1,2.2,11674|14751|18640|18641|21991,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3.1
hits,GO Biological Processes,19,GO:0005996,monosaccharide metabolic process,19_GO:0009987 cellular process,-5.2,8.3,7.2,21160,206,99,8,8.1,2.7,11674|12894|14751|18640|18641|19013|19017|21991,Aldoa|Cpt1a|Gpi1|Pfkfb2|Pfkl|Ppara|Ppargc1a|Tpi1,-3.1
hits,GO Biological Processes,19,GO:0007269,neurotransmitter secretion,19_GO:0051179 localization,-5.2,13,8.3,21160,96,99,6,6.1,2.4,13447|15370|20616|22249|116838|235415,Doc2b|Nr4a1|Snap91|Unc13b|Rims2|Cplx3,-3.1
hits,GO Biological Processes,19,GO:0099643,signal release from synapse,19_GO:0051179 localization,-5.2,13,8.3,21160,96,99,6,6.1,2.4,13447|15370|20616|22249|116838|235415,Doc2b|Nr4a1|Snap91|Unc13b|Rims2|Cplx3,-3.1
hits,GO Biological Processes,19,GO:0046032,ADP catabolic process,19_GO:0009987 cellular process,-5.1,18,9.1,21160,58,99,5,5.1,2.2,11674|14751|18640|18641|21991,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-3
hits,GO Biological Processes,19,GO:0009261,ribonucleotide catabolic process,19_GO:0009987 cellular process,-5.1,13,8.1,21160,101,99,6,6.1,2.4,11674|14751|18640|18641|21991|218461,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1|Pde8b,-3
hits,GO Biological Processes,19,GO:0061669,spontaneous neurotransmitter secretion,19_GO:0051179 localization,-5.1,71,14,21160,9,99,3,3,1.7,13447|22249|116838,Doc2b|Unc13b|Rims2,-3
hits,Reactome Gene Sets,6,R-MMU-70171,Glycolysis,,-5,18,8.9,21160,60,99,5,5.1,2.2,11674|14751|18640|18641|21991,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1,-2.9
hits,GO Biological Processes,19,GO:0019674,NAD metabolic process,19_GO:0009987 cellular process,-5,18,8.9,21160,60,99,5,5.1,2.2,11674|14751|18641|21991|68646,Aldoa|Gpi1|Pfkl|Tpi1|Nadk2,-2.9
hits,GO Biological Processes,19,GO:0006195,purine nucleotide catabolic process,19_GO:0009987 cellular process,-5,12,7.9,21160,104,99,6,6.1,2.4,11674|14751|18640|18641|21991|218461,Aldoa|Gpi1|Pfkfb2|Pfkl|Tpi1|Pde8b,-2.9
hits,GO Biological Processes,19,GO:0051223,regulation of protein transport,19_GO:0051179 localization,-5,4.7,6,21160,550,99,12,12,3.3,12894|13447|15357|16589|18640|18641|20616|22249|66753|71764|218461|226418,Cpt1a|Doc2b|Hmgcr|Uhmk1|Pfkfb2|Pfkl|Snap91|Unc13b|Erlec1|C2cd2l|Pde8b|Yod1,-2.9
