Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
13447,3.0,1,1,1
68576,3.0,1,1,1
19057,3.0,1,1,1
328110,3.0,1,1,1
18587,3.0,1,1,1
226418,3.0,1,1,1
26420,3.0,1,1,1
70750,3.0,1,1,1
67260,3.0,1,1,1
20616,3.0,1,1,1
18641,3.0,1,1,1
14688,3.0,1,1,1
68585,3.0,1,1,1
68646,3.0,1,1,1
66753,3.0,1,1,1
15370,3.0,1,1,1
18099,3.0,1,1,1
14697,3.0,1,1,1
226849,3.0,1,1,1
11639,3.0,1,1,1
14375,3.0,1,1,1
228026,3.0,1,1,1
225998,3.0,1,1,1
26400,3.0,1,1,1
211770,3.0,1,1,1
19013,3.0,1,1,1
210992,3.0,1,1,1
110809,3.0,1,1,1
17978,3.0,1,1,1
27226,3.0,1,1,1
21991,3.0,1,1,1
12759,3.0,1,1,1
14751,3.0,1,1,1
19017,3.0,1,1,1
50784,3.0,1,1,1
116838,3.0,1,1,1
64383,3.0,1,1,1
15357,3.0,1,1,1
56392,3.0,1,1,1
19079,3.0,1,1,1
22143,3.0,1,1,1
268903,3.0,1,1,1
12894,3.0,1,1,1
108058,3.0,1,1,1
78808,3.0,1,1,1
235415,3.0,1,1,1
218461,3.0,1,1,1
22249,3.0,1,1,1
110213,3.0,1,1,1
76938,3.0,1,1,1
18640,3.0,1,1,1
11674,3.0,1,1,1
320557,2.0,1,0,1
227541,2.0,1,0,1
23821,2.0,1,0,1
72157,2.0,1,1,0
16589,2.0,1,0,1
53610,2.0,1,0,1
71538,2.0,1,0,1
57230,2.0,1,0,1
78825,2.0,1,0,1
76199,2.0,1,0,1
14007,2.0,1,1,0
66246,2.0,1,0,1
100732,2.0,1,0,1
15312,2.0,1,0,1
18779,2.0,1,1,0
77974,2.0,1,1,0
50769,2.0,1,1,0
12864,2.0,1,1,0
14252,2.0,1,1,0
19661,2.0,1,1,0
19158,2.0,1,0,1
215008,2.0,1,0,1
68177,2.0,1,0,1
236266,2.0,1,1,0
217030,2.0,1,0,1
58233,2.0,1,0,1
269587,2.0,1,0,1
108797,2.0,1,0,1
12951,2.0,1,0,1
231086,2.0,1,1,0
240595,2.0,1,0,1
54673,2.0,1,1,0
320244,2.0,1,1,0
67877,2.0,1,1,0
74249,2.0,1,0,1
29873,2.0,1,1,0
71206,2.0,1,0,1
234664,2.0,1,0,1
16563,2.0,1,0,1
21872,2.0,1,0,1
12142,2.0,1,1,0
546143,2.0,1,0,1
170822,2.0,1,0,1
71764,2.0,1,0,1
22154,2.0,1,0,1
73750,2.0,1,0,1
27999,2.0,1,0,1
101100,2.0,1,1,0
107589,2.0,1,1,0
244757,2.0,1,1,0
11481,2.0,1,1,0
19023,2.0,1,0,1
17319,2.0,1,1,0
20028,2.0,1,0,1
269615,2.0,1,0,1
74200,2.0,1,1,0
17187,2.0,1,0,1
80879,2.0,1,1,0
14897,2.0,1,0,1
70790,2.0,1,1,0
239667,2.0,1,0,1
27057,2.0,1,1,0
23989,2.0,1,0,1
225876,2.0,1,1,0
67072,2.0,1,0,1
73916,2.0,1,0,1
66385,2.0,1,0,1
66168,2.0,1,1,0
233895,2.0,1,0,1
13002,2.0,1,0,1
17475,2.0,1,0,1
231051,2.0,1,0,1
75847,2.0,1,0,1
105689,2.0,1,1,0
195522,1.0,1,0,0
12716,1.0,1,0,0
67070,1.0,1,0,0
217874,1.0,1,0,0
77889,1.0,1,0,0
117198,1.0,1,0,0
109594,1.0,1,0,0
15500,1.0,1,0,0
225028,1.0,1,0,0
216516,1.0,1,0,0
28105,1.0,1,0,0
232023,1.0,1,0,0
235574,1.0,1,0,0
231503,1.0,1,0,0
28106,1.0,1,0,0
54610,1.0,1,0,0
66912,1.0,1,0,0
69583,1.0,1,0,0
67454,1.0,1,0,0
241494,1.0,1,0,0
71306,1.0,1,0,0
13360,1.0,1,0,0
107368,1.0,1,0,0
70599,1.0,1,0,0
112405,1.0,1,0,0
666060,1.0,1,0,0
75782,1.0,1,0,0
170823,1.0,1,0,0
239857,1.0,1,0,0
19245,1.0,1,0,0
74011,1.0,1,0,0
50709,1.0,1,0,0
104444,1.0,1,0,0
244879,1.0,1,0,0
668158,1.0,1,0,0
227696,1.0,1,0,0
217944,1.0,1,0,0
70012,1.0,1,0,0
71323,1.0,1,0,0
74493,1.0,1,0,0
66540,1.0,1,0,0
94279,1.0,1,0,0
270201,1.0,1,0,0
72029,1.0,1,0,0
14050,1.0,1,0,0
235283,1.0,1,0,0
214572,1.0,1,0,0
13800,1.0,1,0,0
170772,1.0,1,0,0
215690,1.0,1,0,0
228136,1.0,1,0,0
12226,1.0,1,0,0
11732,1.0,1,0,0
333639,1.0,1,0,0
104069,1.0,1,0,0
67010,1.0,1,0,0
244484,1.0,1,0,0
74158,1.0,1,0,0
17117,1.0,1,0,0
56068,1.0,1,0,0
100121,1.0,1,0,0
72982,1.0,1,0,0
70122,1.0,1,0,0
320191,1.0,1,0,0
17245,1.0,1,0,0
235472,1.0,1,0,0
74309,1.0,1,0,0
100044509,1.0,1,0,0
231712,1.0,1,0,0
80981,1.0,1,0,0
70572,1.0,1,0,0
77569,1.0,1,0,0
