_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.2505344552963615,GO:0045724,M1,1,0,GO Biological Processes,19,positive regulation of cilium assembly,19_GO:0048518 positive regulation of biological process,-4.2505344552963615,18.99887766554433,8.291439386752113,21160,33,135,4,2.962962962962963,1.4593685767441318,101565|219103|225523|234776,Ccp110|Cpap|Cep120|Atmin,-0.27917948244275914,0,1,1,1,-4.2505344552963615,18.99887766554433,
1,-2.7439507992970515,GO:1902017,M1,1,0,GO Biological Processes,19,regulation of cilium assembly,19_GO:0050789 regulation of biological process,-2.7439507992970515,7.740283493369913,4.8701475814940896,21160,81,135,4,2.962962962962963,1.4593685767441318,101565|219103|225523|234776,Ccp110|Cpap|Cep120|Atmin,0.0,0,1,0,0,-4.2505344552963615,18.99887766554433,
1,-2.5084269991262658,GO:1902117,M1,1,0,GO Biological Processes,19,positive regulation of organelle assembly,19_GO:0048518 positive regulation of biological process,-2.5084269991262658,6.669818754925138,4.414571084710366,21160,94,135,4,2.962962962962963,1.4593685767441318,101565|219103|225523|234776,Ccp110|Cpap|Cep120|Atmin,0.0,0,1,0,0,-4.2505344552963615,18.99887766554433,
1,-2.3512730144323855,GO:0031023,M1,1,0,GO Biological Processes,19,microtubule organizing center organization,19_GO:0009987 cellular process,-2.3512730144323855,6.028490028490028,4.11919904597974,21160,104,135,4,2.962962962962963,1.4593685767441318,70297|101565|219103|225523,Gcc2|Ccp110|Cpap|Cep120,0.0,0,1,0,0,-4.2505344552963615,18.99887766554433,
1,-2.273962668802949,GO:1902115,M1,1,0,GO Biological Processes,19,regulation of organelle assembly,19_GO:0050789 regulation of biological process,-2.273962668802949,3.776885319053994,3.531967252692191,21160,249,135,6,4.444444444444445,1.7736577773894293,14182|73205|101565|219103|225523|234776,Fgfr1|C9orf72|Ccp110|Cpap|Cep120|Atmin,0.0,0,1,0,0,-4.2505344552963615,18.99887766554433,
1,-2.108241731200038,GO:0120034,M1,1,0,GO Biological Processes,19,positive regulation of plasma membrane bounded cell projection assembly,19_GO:0048518 positive regulation of biological process,-2.108241731200038,5.139040680024286,3.67387043443491,21160,122,135,4,2.962962962962963,1.4593685767441318,101565|219103|225523|234776,Ccp110|Cpap|Cep120|Atmin,0.0,0,1,0,0,-4.2505344552963615,18.99887766554433,
1,-2.0066659948818057,GO:0044089,M1,1,0,GO Biological Processes,19,positive regulation of cellular component biogenesis,19_GO:0048518 positive regulation of biological process,-2.0066659948818057,2.519047619047619,2.9192967442992166,21160,560,135,9,6.666666666666667,2.146870629065102,20410|71436|99633|101565|110829|219103|225523|234776|239250,Sorbs3|Flrt3|Adgrl2|Ccp110|Lims1|Cpap|Cep120|Atmin|Slitrk6,0.0,0,1,0,0,-4.2505344552963615,18.99887766554433,
1,-4.2210882568083585,R-MMU-2262752,M1,1,0,Reactome Gene Sets,6,Cellular responses to stress,,-4.2210882568083585,3.9185185185185185,5.182678347965865,21160,480,135,12,8.88888888888889,2.449303065212295,13666|13875|14950|15516|17684|19744|20655|22143|70247|77891|112406|333182,Eif2ak3|Erf|H13|Hsp90ab1|Cited2|Rheb|Sod1|Tuba1b|Psmd1|Ube2s|Egln2|Cox6b2,-0.27917948244275914,0,2,1,1,-4.2210882568083585,4.593135259801926,
1,-3.7189405869928573,R-MMU-8953897,M1,1,0,Reactome Gene Sets,6,Cellular responses to stimuli,,-3.7189405869928573,3.4638837732760384,4.660728963039718,21160,543,135,12,8.88888888888889,2.449303065212295,13666|13875|14950|15516|17684|19744|20655|22143|70247|77891|112406|333182,Eif2ak3|Erf|H13|Hsp90ab1|Cited2|Rheb|Sod1|Tuba1b|Psmd1|Ube2s|Egln2|Cox6b2,-0.07806180829123906,0,2,0,0,-4.2210882568083585,4.593135259801926,
1,-3.427185633637719,mmu05020,M1,1,0,KEGG Pathway,24,Prion disease - Mus musculus (house mouse),,-3.427185633637719,4.593135259801926,4.788101051783447,21160,273,135,8,5.925925925925926,2.0321052657792213,12859|13666|16440|18709|20655|22143|70247|333182,Cox5b|Eif2ak3|Itpr3|Pik3r2|Sod1|Tuba1b|Psmd1|Cox6b2,-0.029344903622395092,0,2,0,0,-4.2210882568083585,4.593135259801926,
1,-2.7176157794329554,mmu05012,M1,1,0,KEGG Pathway,24,Parkinson disease - Mus musculus (house mouse),,-2.7176157794329554,4.004325493376588,4.010893023950725,21160,274,135,7,5.185185185185185,1.9083294480578685,12859|13666|16440|20655|22143|70247|333182,Cox5b|Eif2ak3|Itpr3|Sod1|Tuba1b|Psmd1|Cox6b2,0.0,0,2,0,0,-4.2210882568083585,4.593135259801926,
1,-2.546202816712184,mmu05014,M1,1,0,KEGG Pathway,24,Amyotrophic lateral sclerosis - Mus musculus (house mouse),,-2.546202816712184,3.3438024691358024,3.669510022126103,21160,375,135,8,5.925925925925926,2.0321052657792213,12859|13666|16440|20655|22143|70247|73205|333182,Cox5b|Eif2ak3|Itpr3|Sod1|Tuba1b|Psmd1|C9orf72|Cox6b2,0.0,0,2,0,0,-4.2210882568083585,4.593135259801926,
1,-4.000754567460388,mmu04140,M1,1,0,KEGG Pathway,24,Autophagy - animal - Mus musculus (house mouse),,-4.000754567460388,6.569971168773564,5.790557535642133,21160,167,135,7,5.185185185185185,1.9083294480578685,13033|13666|18709|19053|19744|73205|77040,Ctsd|Eif2ak3|Pik3r2|Ppp2cb|Rheb|C9orf72|Atg16l1,-0.2349370521504695,0,3,1,1,-4.000754567460388,6.569971168773564,
1,-2.770194127593049,mmu04210,M1,1,0,KEGG Pathway,24,Apoptosis - Mus musculus (house mouse),,-2.770194127593049,5.848535102266445,4.511604951108415,21160,134,135,5,3.7037037037037037,1.625384169393539,13033|13666|16440|18709|22143,Ctsd|Eif2ak3|Itpr3|Pik3r2|Tuba1b,0.0,0,3,0,0,-4.000754567460388,6.569971168773564,
1,-2.770194127593049,mmu04915,M1,1,0,KEGG Pathway,24,Estrogen signaling pathway - Mus musculus (house mouse),,-2.770194127593049,5.848535102266445,4.511604951108415,21160,134,135,5,3.7037037037037037,1.625384169393539,11513|13033|15516|16440|18709,Adcy7|Ctsd|Hsp90ab1|Itpr3|Pik3r2,0.0,0,3,0,0,-4.000754567460388,6.569971168773564,
1,-2.366188429164796,GO:1900182,M1,1,0,GO Biological Processes,19,positive regulation of protein localization to nucleus,19_GO:0051179 localization,-2.366188429164796,6.087019057892844,4.146963183566296,21160,103,135,4,2.962962962962963,1.4593685767441318,13666|15516|18709|83396,Eif2ak3|Hsp90ab1|Pik3r2|Glis2,0.0,0,3,0,0,-4.000754567460388,6.569971168773564,
1,-3.4842974117039547,GO:0010498,M1,1,0,GO Biological Processes,19,proteasomal protein catabolic process,19_GO:0009987 cellular process,-3.4842974117039547,3.4972579069942156,4.495671690426685,21160,493,135,11,8.148148148148149,2.3545424916462516,13666|14950|19053|22644|28199|66967|70247|75770|77891|83814|117198,Eif2ak3|H13|Ppp2cb|Rnf103|Dcaf11|Edem3|Psmd1|Brsk2|Ube2s|Nedd4l|Ivns1abp,-0.029344903622395092,0,4,1,1,-3.4842974117039547,8.249512670565302,
1,-3.444926426134391,GO:0036503,M1,1,0,GO Biological Processes,19,ERAD pathway,19_GO:0050896 response to stimulus,-3.444926426134391,8.249512670565302,5.67461413421472,21160,95,135,5,3.7037037037037037,1.625384169393539,13666|14950|22644|66967|75770,Eif2ak3|H13|Rnf103|Edem3|Brsk2,-0.029344903622395092,0,4,0,0,-3.4842974117039547,8.249512670565302,
1,-3.180183193114787,GO:0051603,M1,1,0,GO Biological Processes,19,proteolysis involved in protein catabolic process,19_GO:0009987 cellular process,-3.180183193114787,2.8538230106857556,4.037938010925576,21160,714,135,13,9.62962962962963,2.538931236445939,13666|14950|19053|22129|22644|28199|66515|66967|70247|75770|77891|83814|117198,Eif2ak3|H13|Ppp2cb|Ttc3|Rnf103|Dcaf11|Cul7|Edem3|Psmd1|Brsk2|Ube2s|Nedd4l|Ivns1abp,-0.01642566913283102,0,4,0,0,-3.4842974117039547,8.249512670565302,
1,-3.02688455426747,GO:0034976,M1,1,0,GO Biological Processes,19,response to endoplasmic reticulum stress,19_GO:0050896 response to stimulus,-3.02688455426747,4.533823079277625,4.430358371762806,21160,242,135,7,5.185185185185185,1.9083294480578685,13666|14950|18709|19053|22644|66967|75770,Eif2ak3|H13|Pik3r2|Ppp2cb|Rnf103|Edem3|Brsk2,0.0,0,4,0,0,-3.4842974117039547,8.249512670565302,
1,-3.2563515472023914,R-MMU-69275,M1,1,0,Reactome Gene Sets,6,G2/M Transition,,-3.2563515472023914,5.914744933612858,4.9845506069290355,21160,159,135,6,4.444444444444445,1.7736577773894293,15516|19053|22143|70247|101565|219103,Hsp90ab1|Ppp2cb|Tuba1b|Psmd1|Ccp110|Cpap,-0.02538217822957745,0,5,1,1,-3.2563515472023914,7.70856102003643,
1,-3.227755173952413,R-MMU-453274,M1,1,0,Reactome Gene Sets,6,Mitotic G2-G2/M phases,,-3.227755173952413,5.841269841269841,4.941051408008714,21160,161,135,6,4.444444444444445,1.7736577773894293,15516|19053|22143|70247|101565|219103,Hsp90ab1|Ppp2cb|Tuba1b|Psmd1|Ccp110|Cpap,-0.02538217822957745,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.8783084809048813,R-MMU-69278,M1,1,0,Reactome Gene Sets,6,"Cell Cycle, Mitotic",,-2.8783084809048813,3.160095579450418,3.900794405746749,21160,496,135,10,7.407407407407407,2.254002294259943,12444|15516|19053|19387|22143|70247|77891|101565|219103|231506,Ccnd2|Hsp90ab1|Ppp2cb|Rangap1|Tuba1b|Psmd1|Ube2s|Ccp110|Cpap|Lin54,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.3776170806120374,R-MMU-1640170,M1,1,0,Reactome Gene Sets,6,Cell Cycle,,-2.3776170806120374,2.6931398752704596,3.3189384626757583,21160,582,135,10,7.407407407407407,2.254002294259943,12444|15516|19053|19387|22143|70247|77891|101565|219103|231506,Ccnd2|Hsp90ab1|Ppp2cb|Rangap1|Tuba1b|Psmd1|Ube2s|Ccp110|Cpap|Lin54,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.357893620647352,R-MMU-2467813,M1,1,0,Reactome Gene Sets,6,Separation of Sister Chromatids,,-2.357893620647352,4.6928365491239745,3.8390831585099403,21160,167,135,5,3.7037037037037037,1.625384169393539,19053|19387|22143|70247|77891,Ppp2cb|Rangap1|Tuba1b|Psmd1|Ube2s,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.171313043789431,R-MMU-453279,M1,1,0,Reactome Gene Sets,6,Mitotic G1 phase and G1/S transition,,-2.171313043789431,5.358657803102247,3.78824735437995,21160,117,135,4,2.962962962962963,1.4593685767441318,12444|19053|70247|231506,Ccnd2|Ppp2cb|Psmd1|Lin54,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.1626814392506084,R-MMU-68877,M1,1,0,Reactome Gene Sets,6,Mitotic Prometaphase,,-2.1626814392506084,4.213460772600557,3.5272423020533523,21160,186,135,5,3.7037037037037037,1.625384169393539,19053|19387|22143|101565|219103,Ppp2cb|Rangap1|Tuba1b|Ccp110|Cpap,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.1562027270947053,R-MMU-8852276,M1,1,0,Reactome Gene Sets,6,The role of GTSE1 in G2/M progression after G2 checkpoint,,-2.1562027270947053,7.70856102003643,4.204455953805026,21160,61,135,3,2.2222222222222223,1.2686649460410002,15516|22143|70247,Hsp90ab1|Tuba1b|Psmd1,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.016446510427889,R-MMU-68882,M1,1,0,Reactome Gene Sets,6,Mitotic Anaphase,,-2.016446510427889,3.8797213054638795,3.2953206322618787,21160,202,135,5,3.7037037037037037,1.625384169393539,19053|19387|22143|70247|77891,Ppp2cb|Rangap1|Tuba1b|Psmd1|Ube2s,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-2.007790157846482,R-MMU-2555396,M1,1,0,Reactome Gene Sets,6,Mitotic Metaphase and Anaphase,,-2.007790157846482,3.860609377850757,3.2816213732159265,21160,203,135,5,3.7037037037037037,1.625384169393539,19053|19387|22143|70247|77891,Ppp2cb|Rangap1|Tuba1b|Psmd1|Ube2s,0.0,0,5,0,0,-3.2563515472023914,7.70856102003643,
1,-3.2321803443810198,GO:0042491,M1,1,0,GO Biological Processes,19,inner ear auditory receptor cell differentiation,19_GO:0032502 developmental process,-3.2321803443810198,10.449382716049382,5.873328444343309,21160,60,135,4,2.962962962962963,1.4593685767441318,14182|16449|20655|239250,Fgfr1|Jag1|Sod1|Slitrk6,-0.02538217822957745,0,6,1,1,-3.2321803443810198,12.374269005847953,
1,-3.0265181112141697,GO:0035315,M1,1,0,GO Biological Processes,19,hair cell differentiation,19_GO:0032502 developmental process,-3.0265181112141697,9.22004357298475,5.440216032322916,21160,68,135,4,2.962962962962963,1.4593685767441318,14182|16449|20655|239250,Fgfr1|Jag1|Sod1|Slitrk6,0.0,0,6,0,0,-3.2321803443810198,12.374269005847953,
1,-2.7400123846102464,GO:0060117,M1,1,0,GO Biological Processes,19,auditory receptor cell development,19_GO:0032502 developmental process,-2.7400123846102464,12.374269005847953,5.623338484910089,21160,38,135,3,2.2222222222222223,1.2686649460410002,14182|20655|239250,Fgfr1|Sod1|Slitrk6,0.0,0,6,0,0,-3.2321803443810198,12.374269005847953,
1,-2.5767416786198294,GO:0060113,M1,1,0,GO Biological Processes,19,inner ear receptor cell differentiation,19_GO:0032502 developmental process,-2.5767416786198294,6.966255144032922,4.545035293878157,21160,90,135,4,2.962962962962963,1.4593685767441318,14182|16449|20655|239250,Fgfr1|Jag1|Sod1|Slitrk6,0.0,0,6,0,0,-3.2321803443810198,12.374269005847953,
