Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
22143,3.0,1,1,1
19387,3.0,1,1,1
219103,3.0,1,1,1
15516,3.0,1,1,1
19744,3.0,1,1,1
19153,3.0,1,1,1
19053,3.0,1,1,1
13666,3.0,1,1,1
14182,3.0,1,1,1
16202,3.0,1,1,1
20655,3.0,1,1,1
18709,3.0,1,1,1
210992,3.0,1,1,1
16449,3.0,1,1,1
239250,3.0,1,1,1
71436,3.0,1,1,1
70247,3.0,1,1,1
14252,3.0,1,1,1
234776,2.0,1,1,0
20410,2.0,1,0,1
66967,2.0,1,1,0
67434,2.0,1,0,1
66341,2.0,1,0,1
77040,2.0,1,0,1
14670,2.0,1,0,1
21841,2.0,1,0,1
66938,2.0,1,0,1
69159,2.0,1,0,1
80915,2.0,1,0,1
83814,2.0,1,0,1
97212,2.0,1,0,1
107508,2.0,1,0,1
14873,2.0,1,0,1
22129,2.0,1,0,1
217935,2.0,1,0,1
20588,2.0,1,0,1
12444,2.0,1,1,0
66039,2.0,1,0,1
320632,2.0,1,0,1
99633,2.0,1,0,1
23986,2.0,1,0,1
17684,2.0,1,1,0
333182,2.0,1,0,1
236733,2.0,1,0,1
14950,2.0,1,1,0
56338,2.0,1,0,1
70297,2.0,1,0,1
12859,2.0,1,0,1
50784,2.0,1,1,0
75770,2.0,1,1,0
83396,2.0,1,1,0
66515,2.0,1,0,1
13207,2.0,1,0,1
140580,2.0,1,0,1
70381,2.0,1,0,1
77593,2.0,1,1,0
66569,2.0,1,1,0
76179,2.0,1,0,1
28030,2.0,1,0,1
68952,2.0,1,0,1
246316,2.0,1,0,1
112406,2.0,1,1,0
268996,2.0,1,0,1
13382,2.0,1,0,1
22644,2.0,1,1,0
230082,2.0,1,0,1
101565,2.0,1,1,0
16443,2.0,1,0,1
77891,2.0,1,0,1
18458,2.0,1,0,1
621823,2.0,1,0,1
69956,2.0,1,0,1
14567,2.0,1,0,1
19126,2.0,1,1,0
225523,2.0,1,1,0
219022,2.0,1,0,1
70152,2.0,1,0,1
20182,2.0,1,0,1
272347,2.0,1,0,1
100978,2.0,1,0,1
110829,2.0,1,0,1
11513,2.0,1,1,0
73205,2.0,1,0,1
20530,1.0,1,0,0
67556,1.0,1,0,0
69900,1.0,1,0,0
74775,1.0,1,0,0
231506,1.0,1,0,0
24100,1.0,1,0,0
72135,1.0,1,0,0
170574,1.0,1,0,0
13875,1.0,1,0,0
72361,1.0,1,0,0
70599,1.0,1,0,0
213649,1.0,1,0,0
83691,1.0,1,0,0
224902,1.0,1,0,0
117198,1.0,1,0,0
93699,1.0,1,0,0
77031,1.0,1,0,0
69080,1.0,1,0,0
28199,1.0,1,0,0
69747,1.0,1,0,0
13033,1.0,1,0,0
66614,1.0,1,0,0
217364,1.0,1,0,0
213556,1.0,1,0,0
69546,1.0,1,0,0
66660,1.0,1,0,0
99526,1.0,1,0,0
16440,1.0,1,0,0
67732,1.0,1,0,0
140721,1.0,1,0,0
16598,1.0,1,0,0
327959,1.0,1,0,0
24083,1.0,1,0,0
320717,1.0,1,0,0
212276,1.0,1,0,0
218271,1.0,1,0,0
74411,1.0,1,0,0
22643,1.0,1,0,0
320878,1.0,1,0,0
227800,1.0,1,0,0
230696,1.0,1,0,0
72465,1.0,1,0,0
12747,1.0,1,0,0
13185,1.0,1,0,0
72667,1.0,1,0,0
21355,1.0,1,0,0
212442,1.0,1,0,0
110380,1.0,1,0,0
215814,1.0,1,0,0
102866,1.0,1,0,0
67706,1.0,1,0,0
66631,1.0,1,0,0
107373,1.0,1,0,0
241490,1.0,1,0,0
114874,1.0,1,0,0
67770,1.0,1,0,0
320541,1.0,1,0,0
67557,1.0,1,0,0
22169,1.0,1,0,0
21379,1.0,1,0,0
71834,1.0,1,0,0
