GroupID,Category,Term,Description,LogP,Log(q-value),Genes,Symbols,InTerm_InList,Cluster
1_Summary,GO Biological Processes,GO:0019320,hexose catabolic process,-6.867564288,-2.72,"1,167,414,751,186,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Aldoa,Gpi1,Pfkfb2,Pfkl,Tpi1,Pgm1,Glb1l2,Cpt1a,Ppara,Ppargc1a,Ak4,Slc16a3,Pde8b,Nadk2,Hadhb,Cspg5,Pla2g7,Camk2d,Egln1,Pdk1,Amacr,Mif,Prkab1",23/-,Rp
2_Summary,GO Biological Processes,GO:0060041,retina development in camera-type eye,-6.220161879,-2.454,"11,481,121,421,295,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Acvr2b,Prdm1,Crx,Gnb1,Max,Mdm1,Pde6b,Atp8a2,Lpcat1,Rorb,Alms1,Ttll5,Hmgn1,Tdrd7,Kmt2c,Whrn",16/-,Rp
3_Summary,GO Biological Processes,GO:0050953,sensory perception of light stimulus,-4.629215488,-1.549,"12,951,185,871,902,300,000,000,000,000,000,000,000,000,000,000","Crx,Pde6b,Ppef2,Pdc,Atp8a2,Whrn,Rdh12,Rorb,Cplx3",9/-,Rp
4_Summary,GO Biological Processes,GO:0032922,circadian regulation of gene expression,-4.331379323,-1.406,"17,978,190,131,901,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Ncoa2,Ppara,Ppargc1a,Mycbp2,Kdm2a,Nrip1,Cpt1a,Pfkl,Ppp3cc,Prkab1,Camk2d,Mapk9,Sirt2,Hmgcr,Pde6b,Nono,Rorb,Pdk1,Dhcr7,Lpcat1,Pde8b,Ppp2r5a,Gpi1,Tpi1,Map2k7,Pla2r1,Alms1,Pgm1,Mif",29/-,Rp
5_Summary,GO Biological Processes,GO:0043523,regulation of neuron apoptotic process,-4.269443545,-1.406,"12,759,130,021,475,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Clu,Dnajc5,Gpi1,Ppargc1a,Bace1,Map2k7,Nono,Grina,Slc25a27,Sncb,Egln1,Nae1,Max,Tmbim6",14/-,Rp
1_Summary,WikiPathways,WP295,Electron transport chain,-12.86527173,-8.622,"12857,12859,12861,22272,27425,54405,57423,66043,66414,68194,68375,78330,110323,407785,12867,20917,170718,14387,18642,18655,21881,26384,18176,19082,21937,13033,19211,11773,14775,22143,73916,11820,66734,11816,18102,12628,69064,15212,27388,225845,22139,20442,30055,66092,67067","Cox4i1,Cox5b,Cox6a1,Uqcrq,Atp5mg,Ndufa1,Atp5mf,Atp5f1d,Ndufa12,Ndufb4,Ndufa8,Ndufv3,Cox6b1,Ndufs6,Cox7c,Suclg2,Idh3b,Gaa,Pfkm,Pgk1,Tkt,Gnpda1,Nras,Prkag1,Tnfrsf1a,Ctsd,Pten,Ap2m1,Gpx1,Tuba1b,Ift57,App,Map1lc3a,Apoe,Nme1,Cfh,Fuom,Hexb,Ptdss2,Plaat3,Ttr,St3gal1,Timm13,Ghitm,Romo1",45/-,RPE
2_Summary,KEGG Pathway,mmu04260,Cardiac muscle contraction,-6.017434964,-3.342,"11,932,128,571,285,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Atp1b2,Cox4i1,Cox5b,Cox6a1,Cox7c,Uqcrq,Cox6b1,Atp1a3,Prkag1,Prdx2,Lamtor5,Gpx1,Sin3b,Rbx1,Pcna,Sgk1,Ccnd2,Max,Ube2d3,Lmo1,Cbx6,Mt2,Tuba1b",23/-,RPE
3_Summary,GO Biological Processes,GO:0007613,memory,-5.513872265,-2.933,"11,816,118,201,244,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Apoe,App,Ccnd2,Gip,Mdk,Pten,Sgk1,Dcaf11,Camk2n1,Atp1a3,Gaa,Hexb,Id2,Psap,Dbi,Fuom,Myo5b",17/-,RPE
4_Summary,GO Biological Processes,GO:0042063,gliogenesis,-5.364525613,-2.821,"11,820,125,271,275,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","App,Cd9,Clu,Dbi,Fgfr3,Hexb,Id2,Lrp8,Mdk,Otx2,Pten,Vtn,Metrn,Psap,Nras,Pfkm,Apoe,Ccnd2,Gpx1,Hmgn1,Nme1,Ift57",22/-,RPE
5_Summary,Reactome Gene Sets,R-MMU-2129379,Molecules associated with elastic fibres,-5.14057453,-2.629,"1,216,214,118,169,980,000,000,000,000,000,000,000,000,000,000","Bmp7,Fbn1,Ltbp3,Vtn,Efemp2,Col8a1,Ctsd,Pcolce,Col8a2",9/-,RPE
