_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-6.087757664095788,GO:0032502,developmental process,M1,1,GO:0030856 regulation of epithelial cell differentiation
1,-5.439870983039644,GO:0009987,cellular process,M1,1,GO:0006351 DNA-templated transcription
1,-4.465463800389916,GO:0050896,response to stimulus,M1,1,GO:0071407 cellular response to organic cyclic compound
1,-4.326125123791754,GO:0048518,positive regulation of biological process,M1,1,GO:1902895 positive regulation of miRNA transcription
1,-3.7984582391147486,GO:0048519,negative regulation of biological process,M1,1,GO:0016479 negative regulation of transcription by RNA polymerase I
1,-3.7893130914983892,GO:0032501,multicellular organismal process,M1,1,GO:0007616 long-term memory
1,-3.6983678569059086,GO:0022414,reproductive process,M1,1,GO:0001541 ovarian follicle development
1,-3.663775191306348,GO:0042592,homeostatic process,M1,1,GO:0045647 negative regulation of erythrocyte differentiation
1,-3.604816024555026,GO:0050789,regulation of biological process,M1,1,GO:1902893 regulation of miRNA transcription
1,-3.1721463098186113,GO:0051179,localization,M1,1,GO:0006403 RNA localization
1,-2.2789191292172872,GO:0040007,growth,M1,1,GO:0040008 regulation of growth
1,-2.267908916050668,GO:0002376,immune system process,M1,1,GO:0045637 regulation of myeloid cell differentiation
1,-2.0892520302735185,GO:0040011,locomotion,M1,1,GO:0040013 negative regulation of locomotion
