Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0009987 cellular process,-7.6,5,7.7,21160,542,141,18,13,2.8,12608|13211|13653|14281|14282|16476|16477|16478|16600|19697|20807|21833|72843|83602|192176|217127|330474|544971,Cebpb|Dhx9|Egr1|Fos|Fosb|Jun|Junb|Jund|Klf4|Rela|Srf|Thra|Prdm4|Gtf2a1|Flna|Kat7|Zc3h4|Bdp1,-4.5
hits,GO Biological Processes,19,GO:0071407,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-7.2,4.6,7.3,21160,581,141,18,13,2.8,12192|12369|12703|13211|13653|14148|14672|15387|15502|16600|18712|22629|22695|52857|66878|68667|192176|245944,Zfp36l1|Casp7|Socs1|Dhx9|Egr1|Fdx1|Gna11|Hnrnpk|Dnaja1|Klf4|Pim1|Ywhah|Zfp36|Gramd1a|Riok3|Trpm4|Flna|Vps54,-4.5
hits,GO Biological Processes,19,GO:0030856,regulation of epithelial cell differentiation,19_GO:0032502 developmental process,-6.5,8.5,8.2,21160,177,141,10,7.1,2.2,12192|12577|12608|14739|17133|19877|21417|22695|24136|114716,Zfp36l1|Cdkn1c|Cebpb|S1pr2|Maff|Rock1|Zeb1|Zfp36|Zeb2|Spred2,-4.1
hits,GO Biological Processes,19,GO:0006366,transcription by RNA polymerase II,19_GO:0009987 cellular process,-6.3,5.3,7,21160,400,141,14,9.9,2.5,12608|13653|14281|14282|16476|16477|16478|16600|20807|21833|72843|83602|192176|217127,Cebpb|Egr1|Fos|Fosb|Jun|Junb|Jund|Klf4|Srf|Thra|Prdm4|Gtf2a1|Flna|Kat7,-4
hits,GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-6,5.4,6.9,21160,361,141,13,9.2,2.4,12577|12608|12703|14281|16476|16477|16590|20807|21833|22695|192176|245944|320910,Cdkn1c|Cebpb|Socs1|Fos|Jun|Junb|Kit|Srf|Thra|Zfp36|Flna|Vps54|Itgb8,-3.8
hits,Reactome Gene Sets,6,R-MMU-8953854,Metabolism of RNA,,-5.9,4.2,6.4,21160,568,141,16,11,2.7,12192|13211|14109|15387|19826|20383|22190|22695|53379|66878|66997|67045|67089|68134|78893|108062,Zfp36l1|Dhx9|Fau|Hnrnpk|Rnps1|Srsf3|Ubc|Zfp36|Hnrnpa2b1|Riok3|Psmd12|Riok2|Psmc6|Upf3b|Cnot10|Cstf2,-3.7
hits,GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-5.6,4,6.1,21160,596,141,16,11,2.7,12167|12192|13653|14281|16476|16590|16600|16998|18186|19697|19877|21417|22695|56320|108062|320910,Bmpr1b|Zfp36l1|Egr1|Fos|Jun|Kit|Klf4|Ltbp3|Nrp1|Rela|Rock1|Zeb1|Zfp36|Dbn1|Cstf2|Itgb8,-3.5
hits,GO Biological Processes,19,GO:1902895,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-5.6,16,9.1,21160,58,141,6,4.3,1.7,13653|14281|16476|16600|19697|20807,Egr1|Fos|Jun|Klf4|Rela|Srf,-3.5
hits,GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-5.6,7.8,7.3,21160,174,141,9,6.4,2.1,12167|12192|14281|16476|16998|19877|21417|56320|320910,Bmpr1b|Zfp36l1|Fos|Jun|Ltbp3|Rock1|Zeb1|Dbn1|Itgb8,-3.5
hits,Reactome Gene Sets,6,R-MMU-2454202,Fc epsilon receptor (FCERI) signaling,,-5.5,11,8.1,21160,94,141,7,5,1.8,12314|14281|16476|19697|22190|66997|67089,Calm2|Fos|Jun|Rela|Ubc|Psmd12|Psmc6,-3.4
