_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.7948906542517897,mmu05412,M1,1,0,KEGG Pathway,24,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),,-3.7948906542517897,14.68934397778549,7.16925731950825,21160,86,67,4,5.970149253731344,2.894596724576661,11465|16773|20650|241226,Actg1|Lama2|Sntb2|Itga8,0.0,0,1,1,1,-3.7948906542517897,16.622152395915162,
1,-3.542953230802025,mmu05410,M1,1,0,KEGG Pathway,24,Hypertrophic cardiomyopathy - Mus musculus (house mouse),,-3.542953230802025,12.632835820895522,6.571616473797247,21160,100,67,4,5.970149253731344,2.894596724576661,11465|16773|20650|241226,Actg1|Lama2|Sntb2|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-3.5209134881808093,WP85,M1,1,0,WikiPathways,27,Focal adhesion,,-3.5209134881808093,8.535699878983461,5.801953815553709,21160,185,67,5,7.462686567164179,3.2104701983165778,11465|14268|16773|20363|241226,Actg1|Fn1|Lama2|Selenop|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-3.493915883918894,mmu05414,M1,1,0,KEGG Pathway,24,Dilated cardiomyopathy - Mus musculus (house mouse),,-3.493915883918894,12.264889146500508,6.458967219865643,21160,103,67,4,5.970149253731344,2.894596724576661,11465|16773|20650|241226,Actg1|Lama2|Sntb2|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-3.10478266601975,R-MMU-3000171,M1,1,0,Reactome Gene Sets,6,Non-integrin membrane-ECM interactions,,-3.10478266601975,16.622152395915162,6.65613302298217,21160,57,67,3,4.477611940298507,2.526611161284531,11465|14268|20650,Actg1|Fn1|Sntb2,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-3.0740706166491654,mmu04820,M1,1,0,KEGG Pathway,24,Cytoskeleton in muscle cells - Mus musculus (house mouse),,-3.0740706166491654,6.806484817292847,5.0119787180574225,21160,232,67,5,7.462686567164179,3.2104701983165778,11465|14268|16773|20650|241226,Actg1|Fn1|Lama2|Sntb2|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-3.0197882784956573,mmu05165,M1,1,0,KEGG Pathway,24,Human papillomavirus infection - Mus musculus (house mouse),,-3.0197882784956573,5.278343657755789,4.607831378680511,21160,359,67,6,8.955223880597014,3.4884165533052993,14268|16773|55927|93737|114143|241226,Fn1|Lama2|Hes6|Pard6g|Atp6v0b|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.8635301714280565,R-MMU-216083,M1,1,0,Reactome Gene Sets,6,Integrin cell surface interactions,,-2.8635301714280565,13.731343283582088,5.969885234432165,21160,69,67,3,4.477611940298507,2.526611161284531,12837|14268|241226,Col8a1|Fn1|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.839421689786592,R-MMU-1474244,M1,1,0,Reactome Gene Sets,6,Extracellular matrix organization,,-2.839421689786592,6.027116326763132,4.6145888502713355,21160,262,67,5,7.462686567164179,3.2104701983165778,11465|12837|14268|20650|241226,Actg1|Col8a1|Fn1|Sntb2|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.547124106162049,mmu04512,M1,1,0,KEGG Pathway,24,ECM-receptor interaction - Mus musculus (house mouse),,-2.547124106162049,10.645648163676002,5.1392487692719335,21160,89,67,3,4.477611940298507,2.526611161284531,14268|16773|241226,Fn1|Lama2|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.4799981381033707,mmu05416,M1,1,0,KEGG Pathway,24,Viral myocarditis - Mus musculus (house mouse),,-2.4799981381033707,10.079390282629406,4.972163098478576,21160,94,67,3,4.477611940298507,2.526611161284531,11465|16773|20650,Actg1|Lama2|Sntb2,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.4515801629697616,WP2841,M1,1,0,WikiPathways,27,Focal adhesion PI3K Akt mTOR signaling pathway,,-2.4515801629697616,4.90405117270789,3.978608580232641,21160,322,67,5,7.462686567164179,3.2104701983165778,12539|14268|16773|240752|241226,Cdc37|Fn1|Lama2|Pik3c2b|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.412799256824103,mmu04510,M1,1,0,KEGG Pathway,24,Focal adhesion - Mus musculus (house mouse),,-2.412799256824103,6.25387911925521,4.228600310797257,21160,202,67,4,5.970149253731344,2.894596724576661,11465|14268|16773|241226,Actg1|Fn1|Lama2|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.1643458663674164,GO:0001704,M1,1,0,GO Biological Processes,19,formation of primary germ layer,19_GO:0032502 developmental process,-2.1643458663674164,7.766087594812821,4.224069937809483,21160,122,67,3,4.477611940298507,2.526611161284531,12837|14268|241226,Col8a1|Fn1|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-2.0440127116107853,GO:0007160,M1,1,0,GO Biological Processes,19,cell-matrix adhesion,19_GO:0009987 cellular process,-2.0440127116107853,7.018242122719735,3.9535235706620147,21160,135,67,3,4.477611940298507,2.526611161284531,12306|14268|241226,Anxa2|Fn1|Itga8,0.0,0,1,0,0,-3.7948906542517897,16.622152395915162,
1,-3.3513314551086664,R-MMU-421270,M1,1,0,Reactome Gene Sets,6,Cell-cell junction organization,,-3.3513314551086664,20.158780565258812,7.410672359815006,21160,47,67,3,4.477611940298507,2.526611161284531,11465|57875|93737,Actg1|Angptl4|Pard6g,0.0,0,2,1,1,-3.3513314551086664,20.158780565258812,
1,-2.8818564171612113,R-MMU-446728,M1,1,0,Reactome Gene Sets,6,Cell junction organization,,-2.8818564171612113,13.933274802458296,6.020324140635743,21160,68,67,3,4.477611940298507,2.526611161284531,11465|57875|93737,Actg1|Angptl4|Pard6g,0.0,0,2,0,0,-3.3513314551086664,20.158780565258812,
