Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
241226,3.0,1,1,1
11465,3.0,1,1,1
14268,3.0,1,1,1
16773,3.0,1,1,1
20363,2.0,1,0,1
12837,2.0,1,1,0
20650,2.0,1,1,0
18975,2.0,1,0,1
216848,2.0,1,0,1
21834,2.0,1,0,1
224907,2.0,1,0,1
15460,2.0,1,0,1
67967,2.0,1,0,1
20619,2.0,1,0,1
16432,2.0,1,0,1
12539,2.0,1,0,1
20200,2.0,1,0,1
15078,2.0,1,0,1
57875,2.0,1,1,0
12306,2.0,1,0,1
13664,2.0,1,0,1
26754,2.0,1,0,1
93737,2.0,1,1,0
13244,1.0,1,0,0
244867,1.0,1,0,0
208618,1.0,1,0,0
76737,1.0,1,0,0
52882,1.0,1,0,0
338365,1.0,1,0,0
15944,1.0,1,0,0
68861,1.0,1,0,0
70356,1.0,1,0,0
56710,1.0,1,0,0
240752,1.0,1,0,0
74569,1.0,1,0,0
229317,1.0,1,0,0
68291,1.0,1,0,0
225339,1.0,1,0,0
59056,1.0,1,0,0
67154,1.0,1,0,0
16372,1.0,1,0,0
76497,1.0,1,0,0
58226,1.0,1,0,0
23850,1.0,1,0,0
100038570,1.0,1,0,0
240332,1.0,1,0,0
116972,1.0,1,0,0
211660,1.0,1,0,0
11658,1.0,1,0,0
237542,1.0,1,0,0
545622,1.0,1,0,0
67387,1.0,1,0,0
320799,1.0,1,0,0
19386,1.0,1,0,0
56248,1.0,1,0,0
219105,1.0,1,0,0
192786,1.0,1,0,0
19038,1.0,1,0,0
75692,1.0,1,0,0
69035,1.0,1,0,0
20637,1.0,1,0,0
11736,1.0,1,0,0
104923,1.0,1,0,0
58180,1.0,1,0,0
114143,1.0,1,0,0
55927,1.0,1,0,0
17313,1.0,1,0,0
70791,1.0,1,0,0
