p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,pct.1_pct.2,pct_method_1
4.99514648056971e-308,3.62437862476598,0.562,0.051,1.60993571068762e-303,3,Bcl3,0.511,0.287182
2.520193986751e-249,3.14638338306335,0.656,0.102,8.12258521929848e-245,3,Cebpd,0.554,0.363424
4.75782340525319e-223,2.70755825758604,0.694,0.127,1.5334464835131e-218,3,Edn2,0.567,0.393498
9.77880734571322e-203,2.61815214212762,0.661,0.123,3.15170960752337e-198,3,Lad1,0.538,0.355618
8.429878545997e-196,2.64890958955988,0.687,0.148,2.71694985537483e-191,3,Pcolce,0.539,0.370293
1.24137586205238e-192,2.17274151082146,0.849,0.262,4.00095440339483e-188,3,Fgf2,0.587,0.498363
2.81041919328554e-184,2.40874694182384,0.715,0.166,9.05798105995929e-180,3,Antxr2,0.549,0.392535
1.57096064137021e-171,2.77032520784823,0.558,0.104,5.0632061471362e-167,3,Gadd45b,0.454,0.253332
6.06297886272086e-167,0.887273261673155,0.991,0.839,1.95409808745493e-162,3,Agtpbp1,0.152,0.150632
1.12152521530848e-166,1.40187890057885,0.972,0.564,3.61467576893924e-162,3,Gnb3,0.408,0.396576
6.74183335779489e-149,3.2118832671228,0.348,0.042,2.17289289121729e-144,3,Kcng4,0.306,0.106488
1.03194963223193e-144,3.3033125321224,0.336,0.04,3.32597366468351e-140,3,Socs3,0.296,0.099456
2.74763935403571e-136,2.90451730002086,0.405,0.064,8.8556416380571e-132,3,Notch1,0.341,0.138105
2.73769176086706e-131,2.00039155887104,0.734,0.242,8.82358054527454e-127,3,Agrn,0.492,0.361128
3.57211714943129e-125,1.97881609769684,0.694,0.22,1.1512933572617e-120,3,Gnb2,0.474,0.328956
1.39769766083669e-121,1.51785309688959,0.871,0.437,4.50477956087665e-117,3,Lrrc2,0.434,0.378014
7.6060360020898e-121,2.48854032040352,0.456,0.091,2.45142540347354e-116,3,Fbxo24,0.365,0.16644
7.8388680446684e-121,1.93437731296392,0.673,0.204,2.52646717079662e-116,3,Rfx2,0.469,0.315637
4.08557528264813e-119,1.75249758093695,0.762,0.272,1.31678091359749e-114,3,E2f6,0.49,0.37338
1.33282826206662e-117,0.487170740052968,0.998,0.913,4.29570548864071e-113,3,Arl6,0.085,0.08483
1.54388418526057e-115,2.5780894500546,0.379,0.064,4.97593872909482e-111,3,Tnnt2,0.315,0.119385
3.81966547391554e-115,2.77065336025625,0.36,0.059,1.23107818224298e-110,3,Pbxip1,0.301,0.10836
6.70705177230444e-110,1.16184887572462,0.908,0.579,2.16168278621372e-105,3,Ipo5,0.329,0.298732
1.70233195323497e-108,1.63060584585103,0.793,0.393,5.4866158852763e-104,3,Myo10,0.4,0.3172
1.48193112065116e-96,1.56180134588969,0.758,0.314,4.77626400185867e-92,3,Slc25a37,0.444,0.336552
9.06721791010682e-90,1.31472695163315,0.824,0.407,2.92236433242743e-85,3,Stat3,0.417,0.343608
3.75252805713095e-86,1.40580670176691,0.793,0.409,1.20943979281331e-81,3,Rbm17,0.384,0.304512
6.8388552482966e-86,1.29212103419854,0.809,0.446,2.20416304652599e-81,3,Cd47,0.363,0.293667
1.02631864767284e-82,0.828339429510649,0.929,0.679,3.30782500144956e-78,3,Igsf11,0.25,0.23225
7.72440983183636e-82,2.54117661922364,0.294,0.054,2.48957728880086e-77,3,Syngr3,0.24,0.07056
2.14747351188163e-81,1.70220926174012,0.609,0.227,6.92130712879449e-77,3,Klhl29,0.382,0.232638
1.01019439638592e-79,1.78836007266614,0.569,0.2,3.2558565395518e-75,3,Wwtr1,0.369,0.209961
1.80234437458851e-79,1.4964712862623,0.699,0.313,5.80895591929877e-75,3,Pmvk,0.386,0.269814
