"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6"
"A2m",-0.0156473288811607,0.999455473488465,-0.0106852903945068,0.977374707066814,0.000606038914937983,0.993158170862034,0.0278797756436429,0.28281810503853,-0.019672735814196,0.35346534727046,0.0228963303427689,0.602139687320325
"Aagab",0.0611022238915211,0.999455473488465,0.190134466758799,0.960590090319162,0.097471035071723,0.805593455955419,0.157945654229343,0.444053151425914,-0.510656538815051,0.000190635652845887,0.0305132324734516,0.948245525721622
"Aamdc",0.127369370569938,0.999455473488465,0.0414670729349693,0.977374707066814,0.0579946122432493,0.896669276265265,-0.270942566245558,0.186001774979228,-0.137565195268738,0.462839091103747,0.220430708175166,0.514308465635935
"Aamp",0.208946024652821,0.805170231325449,0.0151433372078111,0.995078741273058,-0.267371795361342,0.456344728776251,0.148616134256651,0.528521294671102,0.0494028849965504,0.80336379081342,-0.187359654276237,0.62202690116506
"Aars",0.194534740672289,0.914648457439929,0.0685189178674186,0.977374707066814,-0.129081859527183,0.79055093582085,-0.262510710415867,0.284136851655008,-0.330665909731493,0.0939399005598804,0.566682567551096,0.118138431341612
"Aasdh",-0.0433722785889542,0.999455473488465,0.000761298620482756,0.997964615761471,0.0925910520474229,0.61531002850272,0.161743710284543,0.0999123491636109,-0.211075043569672,0.0102166257926307,0.0123901065895227,0.963936789245197
"Abca1",0.0377637572490208,0.999455473488465,-0.0629625503525073,0.977374707066814,-0.0140840370750192,0.958263162593257,-0.1018370501893,0.46436072784281,-0.108649537043265,0.35563687134606,0.306417919592891,0.123472397840644
"Abcc5",0.0317120875343904,0.999455473488465,0.181047483238839,0.972599774869665,0.31201899776037,0.525384565392384,0.484080819500051,0.0795213595757116,-0.74341159781361,0.000562795941978961,-0.279375704775491,0.569235188649738
"Abcd2",0.0677765185258832,0.925769149968936,0.0429991901157023,0.977374707066814,0.0723117757180007,0.637353996224172,0.0481705187622437,0.602422115241004,-0.17143264798936,0.0110543327188166,-0.0643396604885547,0.67506877327579
"Abhd11",-0.0163706717209773,0.999455473488465,0.0501621082710157,0.977374707066814,0.0470004601205585,0.85937689227955,0.247735299944059,0.050365414756041,-0.339532512767632,0.000236006446830477,0.0340912344891653,0.921378191680938
"Abhd12",0.250667479027245,0.337705127628086,-0.035228644568037,0.977374707066814,-0.137146344774465,0.575133916094791,-0.0126113098910887,0.935664386593073,0.0193252552628063,0.878921126687893,-0.104934620651685,0.689419603332288
"Abhd14a",-0.0498142808976048,0.999455473488465,0.282981885188201,0.972599774869665,0.520453341308278,0.361522814681752,0.724516320282291,0.0488308274365546,-1.19832476343841,2.68576635720299e-06,-0.271266984926944,0.697560628031731
"Abhd14b",0.0159998969095873,0.999455473488465,-0.0649505384738369,0.977374707066814,0.303584677397313,0.180720489611287,0.249540341854285,0.144755440314142,-0.462586498707885,0.000327735761562269,-0.0242303961752576,0.955366937787908
"Abhd17a",0.3224823713048,0.383257453055732,0.0613026593782051,0.977374707066814,-0.257755240285489,0.388013303906582,-0.0861131276622995,0.693125409814716,0.132492549008766,0.43562881217527,-0.218367791957191,0.500856216772458
"Abhd17b",0.0853044918515349,0.999455473488465,0.366885586617435,0.522787330704285,-0.0826839011048155,0.84801099160689,0.0963516872490784,0.681165041943896,-0.3822265840013,0.0231730605260787,-0.0837051248497813,0.855698370843712
"Abhd8",0.351742989810383,0.454456057394173,-0.0356105983112944,0.977374707066814,-0.447781991299464,0.129717615584248,-0.512561057925288,0.0211811902155365,0.389676467595296,0.0356033304123496,0.279991113274877,0.451890209952586
"Ablim1",0.125398633460264,0.999455473488465,0.269062907111759,0.970357139416507,0.302347530088501,0.530192997637158,0.204537335082151,0.49735012363941,-0.567776095542971,0.0111248801476016,-0.376976208879843,0.404038279215682
"Abraxas1",0.0296428088400059,0.999455473488465,0.0337246456695399,0.977374707066814,0.0188365953024215,0.922855147649375,0.131202806582125,0.151092242038232,-0.162646067475197,0.0287246487347189,-0.0516482450224759,0.778318725163515
