"GeneID","logFC_1","adj.P.Val_1","logFC_2","adj.P.Val_2","logFC_3","adj.P.Val_3","logFC_4","adj.P.Val_4","logFC_5","adj.P.Val_5","logFC_6","adj.P.Val_6","logFC_7","adj.P.Val_7"
"A2m",-0.00444835063590565,0.998454033907698,-0.0388695053539245,0.999215727032816,-0.000802940137488495,0.994378829017785,-0.0331971551023584,0.962975234929188,0.00868692051740716,0.951574765991814,-0.118145827686919,0.0743948527936291,0.333685504677402,1.31141358785579e-05
"Aagab",0.0143681311809367,0.998454033907698,0.00170849485995106,0.999215727032816,0.066327779492565,0.778306646515937,0.0578463481643449,0.9788631557912,0.316510325013344,0.112858636219005,-0.49005834362588,5.15523086526814e-06,-0.00174396620080408,0.993750156973101
"Aamdc",0.00951175993819398,0.998454033907698,-0.0575965874899603,0.999215727032816,0.0151140765919447,0.888106124701941,0.0863063843641315,0.430874168038893,0.10129489635801,0.241515781807631,-0.148201465832663,0.00549135096461292,-0.0267136710990552,0.793703810483149
"Aamp",-0.00679896906579439,0.998454033907698,-0.0241505081862567,0.999215727032816,-0.268344186864202,0.0220119144785164,0.194262194855629,0.205400939359996,0.00438179710763356,0.987192072807732,0.119493445357942,0.170481879729296,-0.0241026682356198,0.891450460174025
"Aars",0.119588003982298,0.998454033907698,-0.231862598314493,0.999215727032816,-0.165537126136015,0.494173545931529,0.0955577428640664,0.929800898745576,0.242737461707086,0.311099350499334,-0.391177241163561,0.00759156524371715,0.561871608330192,0.0146584481478565
"Aasdh",0.00745873953440035,0.998454033907698,0.0307600379632587,0.999215727032816,0.0958182084217696,0.41344221027306,-0.00876869703695138,0.99429389708379,0.081150345497004,0.500646503927501,-0.312863127011067,1.94896547077746e-06,0.156774031840927,0.189726921183305
"Abca1",0.0583893015603398,0.998454033907698,-0.0842977059888309,0.999215727032816,0.0141388020954847,0.86126569235887,0.0694415307011682,0.372981256815521,-0.0282775204118662,0.687368700550967,-0.0810412158432169,0.0608772335124417,0.0873497260243936,0.189731034745789
"Abcc5",0.0764167596907308,0.998454033907698,0.0235266451574798,0.999215727032816,0.236025378277699,0.382846225651696,-0.106544928221393,0.936550937810439,0.222690643578436,0.424516055285593,-0.801358372142409,3.06231177396563e-09,0.540585204429306,0.0403467620024768
"Abcd2",0.0233724341203057,0.998454033907698,-0.0705161886596201,0.999215727032816,0.0640133371809992,0.554080234193256,0.0520504112728282,0.86672815208466,0.0948037275449698,0.367805894160864,-0.251438744321553,1.63290983856787e-05,0.135393181050984,0.200784353362638
"Abhd11",0.0374711933689731,0.998454033907698,0.0175806891193544,0.999215727032816,0.0405125253086618,0.81735386234484,-0.0181184861285657,0.99429389708379,0.175262981290201,0.201494695995772,-0.397127965025421,4.4400396624523e-08,0.211776428008747,0.145793630355376
"Abhd12",0.00352828820490148,0.998454033907698,-0.141708881234703,0.999215727032816,-0.122660588892815,0.384002425364365,0.232887889510265,0.142496035278357,0.095018882269113,0.517139834854663,0.0478327864804461,0.61706891433353,-0.198734130764025,0.184243339593391
"Abhd14a",0.105801123531408,0.998454033907698,0.0446541186866587,0.999215727032816,0.424092231714394,0.254341281690247,-0.116130260741675,0.975456830950311,0.222719285762408,0.590094336456516,-1.18737899905969,1.07983261084478e-09,0.783919677776199,0.0424114230690909
"Abhd14b",0.0606645867835776,0.998454033907698,-0.0591737343378305,0.999215727032816,0.257767358494775,0.104923496718889,-0.0431783769477998,0.994223261414321,0.130964823963498,0.488150224483896,-0.479668888634113,2.69708303915041e-06,0.190196942866366,0.319931121591671
