gene,wt_signed_log_p,ko_signed_log_p
Atp1b2,18.5756660452493,1.10679331451247
Gja1,6.60549528853973,23.1174123566592
Slc9a3r1,6.12677178328741,2.82371936266009
Slc2a1,1.99145339140281,1.74133978813314
Slc4a4,1.89708574053803,2.27162639006153
Slc5a5,1.62875208159746,0.24650617326172
Atp2b4,1.62046113584353,1.34691493201471
Lsr,1.30184942238942,0.919378910084977
Lrp3,1.296243181398,-0.0741633354579527
Vcl,1.28017564860789,0.0860891950184479
Slc4a3,1.18732984907904,0.102394359979543
Pecam1,1.16383563432122,0.249667349157673
Slc24a3,1.06963721428723,-0.000262699023831789
Tjp3,1.03059392403325,-0.0763595423194696
Tjp2,0.984411865034863,-0.0498980070819532
Tjp1,0.942634880360638,0.188360102990534
Cdh5,0.933822280148948,-0.496149853736183
Slc29a1,0.844240006363956,0.491104016209945
Slco1c1,0.842351566523597,-2.6387961547186
Slc38a3,0.802063708332467,0.0495801746879293
Slc8a2,0.773421501374736,-0.248233354143248
Abcc4,0.770163235859614,-0.96911182148126
F11r,0.712034337344357,-0.24660904308618
Slc5a3,0.698579192468436,-0.0869011594950271
Slc38a2,0.629485203788702,0.215639302465462
Slco3a1,0.628774055352318,0.499703005301724
Esam,0.626005787028294,-0.496540492445839
Lrp2,0.569675950309479,1.41805450835665
Slc29a2,0.525163910911072,-0.000338362383772322
Lepr,0.480509713775952,0
Slc28a2,0.480509713775952,-0.496149853736183
Slc38a5,0.480509713775952,-0.248950044990197
Abcc5,0.461494434267501,0.191467774220852
Slc1a1,0.39479316160827,-0.0352123631708143
Cldn5,0.359918684863664,-0.000413948961188881
Slc7a2,0.343460022666255,-0.503017786233214
Slc13a3,0.28324698629402,-0.774751848375174
Abcc9,0.282265612070285,-0.496149853736183
Kcnj8,0.277259230126642,-0.608154022504144
Slc38a1,0.213886012643538,-1.70073617415277
Actg1,0.198083133630333,-0.259495215073447
Slc16a1,0.187482624115201,0.409218223468743
Slc22a5,0.161323567221243,0.482070770302732
Abcg2,0.155809280289406,0
Slc1a4,0.155809280289406,0.000413948961188881
Itgb1,0.12999302966195,-1.25298719965419
Slc12a2,0.128464686644807,0.047253957323318
Slc6a9,0.123857549856743,0.450809825896654
Slc16a2,0.101142180740589,1.66416616273929
Slc2a10,0.0832630586565171,-0.496149853736183
Cldn1,0.0439904773156805,0.827175839713147
Slco2b1,0.0183087243985277,0.750876444320446
Atp2a3,0.0177674921356449,-0.496149853736183
Cldn3,0.0122921276092416,0.497726801434794
Gjb6,0.0122921276092416,0
Abcc2,0,-0.496149853736183
Abcc3,0,0
Atp1a4,0,0
Avpr1a,0,0
Lama2,0,-0.496149853736183
Slc22a1,0,0
Slc22a3,0,0
Slc5a6,-0.00174663072362588,-1.21206394670549
Cldn12,-0.00378311978014965,0.0764248665090615
Ager,-0.0130480687581163,-0.496149853736183
Insr,-0.0373195725601541,-1.60098976146402
Atp1a2,-0.0374843080380295,0.25110379815712
Abca2,-0.0503217764401401,0.292272144824935
Lamc1,-0.0550811988416503,-0.521466730464559
Slc1a5,-0.0633978603456035,0.536008464603343
Dmd,-0.0638266690692452,-0.740236038941519
Slc7a8,-0.0807535164365816,0.33992893208578
Abcc1,-0.114041201808717,0.0498876991958977
Jam2,-0.135165190086504,0.596846602279385
Slc19a1,-0.136684321829899,-0.31715000305978
Atp8a1,-0.143515070543451,0.553032539597551
Slc27a1,-0.146715319814127,0.140605849952743
Slc27a4,-0.152010985346688,0.670410105484524
Lrp1,-0.163402915624491,-0.44599078765158
Slc15a2,-0.174498876041478,-0.18615676975949
Slc44a1,-0.198017920477853,1.25092730813152
Slc5a1,-0.212022778233587,-0.183688151823547
Slc1a3,-0.251027044790607,0.0372907097593796
Slc29a4,-0.302552112127821,0
Slc2a4,-0.311975437753441,-0.483069921560625
Slc6a17,-0.327194685054016,0.0633239104442642
Slc4a8,-0.331135044427288,0.499703005301724
Slc7a1,-0.382009882766291,-0.512704161669225
Ocln,-0.41558081223185,-0.0586082821933325
Jam3,-0.439207502272694,-2.99944694487142
Slc6a1,-0.482307499031594,-1.29271576812375
Slc1a2,-0.493270901972588,-0.595862760930991
Mfsd2a,-0.666898455292665,0.046409241026754
Slc16a12,-0.74111138063731,-0.71429605143017
Slc2a13,-0.791382113870952,0.497726801434794
Slc6a6,-0.850635342567873,0.2383153243909
Slc7a5,-1.06248058229027,3.02202475465943
Slc6a13,-1.56522560232996,-0.816162460417467
Tfrc,-1.90840911215908,-5.77421646488989
