gene,wt_signed_log_p,ko_signed_log_p
Fgfr1,0.912936026825792,-0.107082678017074
Lrpap1,0.787570462438712,0.291806515575243
Col5a2,0.75493607873585,-0.63235906606001
Tnfrsf21,0.75493607873585,-0.63235906606001
Ccnd2,0.678768199694724,-1.05969385306449
Col3a1,0.546429893700925,-0.41025310626842
Jag1,0.505310131497675,-0.602584639268129
App,0.469107967797709,-0.211306360359137
Lpl,0.461328107936453,0.0940744369018955
Olr1,0.461328107936453,0
Pdgfa,0.461328107936453,-0.63235906606001
Pglyrp1,0.461328107936453,0
Postn,0.461328107936453,-0.63235906606001
Nrp1,0.445216175319334,0.374164467855552
Vtn,0.360077870168621,-1.64024732040093
Itgav,0.231148427940887,0.596628755321923
Vegfa,0.184696338715466,-0.249772892559417
Pf4,0.00958038134154453,0.374164467855552
Vav2,0.00932282628386255,-0.243591010527218
Apoh,0,0
Cxcl5,0,0
Kcnj8,0,0
Lum,0,-0.63235906606001
Msx1,0,0
Prg2,0,0
S100a4,0,0
Serpina5,0,0
Slco2a1,0,0
Spp1,0,-0.0940744369018955
Stc1,0,0
Thbd,0,-0.63235906606001
Vcan,0,-0.107082678017074
Fstl1,-0.0880967624584363,0.460042979422175
Jag2,-0.0915656985142038,1.00850143767201
Timp1,-0.225561947456948,0.0336480659911949
Ptk2,-0.771625250426721,1.2767719193194
