gene,wt_signed_log_p,ko_signed_log_p
Vegfa,11.8501478256574,6.47667189225703
Vtn,2.09673677767495,-0.102658825954219
Ccnd2,1.89564485208319,1.0861855581941
App,1.89067958449401,0.116307545954663
Jag1,1.77259243442406,-0.478613546080187
Pdgfa,1.02714171493683,0.89033524210774
Stc1,0.793236583271199,0.085264275276749
Timp1,0.760083279732651,0.059361134032509
Cxcl5,0.691727472455935,0
Ptk2,0.471639987282298,0.109964772983924
Fgfr1,0.392750910568672,0.18127864048278
Spp1,0.356428099417734,-0.541144687362586
Jag2,0.263030197121295,0.277604720877565
Postn,0.135237269460653,0
Apoh,0,0
Kcnj8,0,0
Olr1,0,0
Pf4,0,0
Pglyrp1,0,0
Serpina5,0,0
Slco2a1,0,0
Thbd,0,0
Vcan,-0.0144154221598555,-0.465973664058425
Msx1,-0.025387333373316,1.26557097435059
Itgav,-0.126611791745941,0.753148041870966
Nrp1,-0.137678752954519,2.53786169437076
Col3a1,-0.324307996649774,-0.196238506617343
Lum,-0.356428099417734,0
Prg2,-0.356428099417734,0
Lpl,-0.566711072848102,0
Fstl1,-0.59586422889195,-1.05932440914994
Col5a2,-0.728480014207752,0.838078948962069
Vav2,-0.9778110167042,-0.0216393881160621
S100a4,-1.12086080626621,-0.00479816364207799
Lrpap1,-3.92110060990179,-1.00860794835671
Tnfrsf21,-4.19071805731911,-0.0191936506326857
